Year,Value,Units,Series
2010,20.2,%,"Manufaktura-sektorearen balio erantsia, BPGrekiko proportzioan"
2011,20.6,%,"Manufaktura-sektorearen balio erantsia, BPGrekiko proportzioan"
2012,19.9,%,"Manufaktura-sektorearen balio erantsia, BPGrekiko proportzioan"
2013,19.8,%,"Manufaktura-sektorearen balio erantsia, BPGrekiko proportzioan"
2014,19.9,%,"Manufaktura-sektorearen balio erantsia, BPGrekiko proportzioan"
2015,20.1,%,"Manufaktura-sektorearen balio erantsia, BPGrekiko proportzioan"
2016,20.3,%,"Manufaktura-sektorearen balio erantsia, BPGrekiko proportzioan"
2017,20.3,%,"Manufaktura-sektorearen balio erantsia, BPGrekiko proportzioan"
2018,20.0,%,"Manufaktura-sektorearen balio erantsia, BPGrekiko proportzioan"
2019,19.8,%,"Manufaktura-sektorearen balio erantsia, BPGrekiko proportzioan"
2020,19.0,%,"Manufaktura-sektorearen balio erantsia, BPGrekiko proportzioan"
2021,19.5,%,"Manufaktura-sektorearen balio erantsia, BPGrekiko proportzioan"
2022,19.3,%,"Manufaktura-sektorearen balio erantsia, BPGrekiko proportzioan"
2023,18.9,%,"Manufaktura-sektorearen balio erantsia, BPGrekiko proportzioan"
2010,7033.8,Euro per capita,Manufaktura-sektorearen balio erantsia per capita
2011,7190.6,Euro per capita,Manufaktura-sektorearen balio erantsia per capita
2012,6772.9,Euro per capita,Manufaktura-sektorearen balio erantsia per capita
2013,6623.1,Euro per capita,Manufaktura-sektorearen balio erantsia per capita
2014,6804.9,Euro per capita,Manufaktura-sektorearen balio erantsia per capita
2015,7069.6,Euro per capita,Manufaktura-sektorearen balio erantsia per capita
2016,7372.0,Euro per capita,Manufaktura-sektorearen balio erantsia per capita
2017,7533.8,Euro per capita,Manufaktura-sektorearen balio erantsia per capita
2018,7637.4,Euro per capita,Manufaktura-sektorearen balio erantsia per capita
2019,7696.3,Euro per capita,Manufaktura-sektorearen balio erantsia per capita
2020,6697.6,Euro per capita,Manufaktura-sektorearen balio erantsia per capita
2021,7325.0,Euro per capita,Manufaktura-sektorearen balio erantsia per capita
2022,7654.4,Euro per capita,Manufaktura-sektorearen balio erantsia per capita
2023,7633.7,Euro per capita,Manufaktura-sektorearen balio erantsia per capita
