Year,Value,Units,Series
2017,83.41,Urteak,Bizi-itxaropena jaiotzean
2013,82.99,Urteak,Bizi-itxaropena jaiotzean
2010,82.27,Urteak,Bizi-itxaropena jaiotzean
2018,83.53,Urteak,Bizi-itxaropena jaiotzean
2011,82.38,Urteak,Bizi-itxaropena jaiotzean
2020,83.57,Urteak,Bizi-itxaropena jaiotzean
2019,83.77,Urteak,Bizi-itxaropena jaiotzean
2015,83.11,Urteak,Bizi-itxaropena jaiotzean
2012,82.48,Urteak,Bizi-itxaropena jaiotzean
2023,83.98,Urteak,Bizi-itxaropena jaiotzean
2021,83.57,Urteak,Bizi-itxaropena jaiotzean
2022,83.35,Urteak,Bizi-itxaropena jaiotzean
2014,83.09,Urteak,Bizi-itxaropena jaiotzean
2016,83.33,Urteak,Bizi-itxaropena jaiotzean
