Year,Value,Units,GeoCode
2014,1.3,%,
2010,0.8,%,
2021,3.5,%,
2018,2.0,%,
2019,2.5,%,
2013,1.2,%,
2012,1.1,%,
2023,4.8,%,
2016,1.5,%,
2009,0.7,%,
2011,0.9,%,
2020,3.0,%,
2015,1.3,%,
2022,4.1,%,
2017,1.9,%,
2008,0.6,%,
