Year,Value,Units
2018,164.2,10.000 biztanleko
2013,150.8,10.000 biztanleko
2011,147.2,10.000 biztanleko
2023,187.6,10.000 biztanleko
2015,156.7,10.000 biztanleko
2022,176.4,10.000 biztanleko
2016,159.5,10.000 biztanleko
2021,173.2,10.000 biztanleko
2017,161.6,10.000 biztanleko
2024,188.3,10.000 biztanleko
2014,154.1,10.000 biztanleko
2010,143.5,10.000 biztanleko
2012,149.0,10.000 biztanleko
2020,170.3,10.000 biztanleko
2019,167.0,10.000 biztanleko
