Year,Value,Units,Series
2022,448.5,Kg per capita,Biztanle bakoitzeko bildutako hiri-hondakinak
2012,475.6,Kg per capita,Biztanle bakoitzeko bildutako hiri-hondakinak
2024,434.1,Kg per capita,Biztanle bakoitzeko bildutako hiri-hondakinak
2016,478.8,Kg per capita,Biztanle bakoitzeko bildutako hiri-hondakinak
2013,462.4,Kg per capita,Biztanle bakoitzeko bildutako hiri-hondakinak
2020,450.5,Kg per capita,Biztanle bakoitzeko bildutako hiri-hondakinak
2014,473.7,Kg per capita,Biztanle bakoitzeko bildutako hiri-hondakinak
2018,488.9,Kg per capita,Biztanle bakoitzeko bildutako hiri-hondakinak
2015,465.6,Kg per capita,Biztanle bakoitzeko bildutako hiri-hondakinak
2010,491.5,Kg per capita,Biztanle bakoitzeko bildutako hiri-hondakinak
2021,457.7,Kg per capita,Biztanle bakoitzeko bildutako hiri-hondakinak
2023,426.5,Kg per capita,Biztanle bakoitzeko bildutako hiri-hondakinak
2017,476.3,Kg per capita,Biztanle bakoitzeko bildutako hiri-hondakinak
2011,485.9,Kg per capita,Biztanle bakoitzeko bildutako hiri-hondakinak
2019,474.6,Kg per capita,Biztanle bakoitzeko bildutako hiri-hondakinak
2022,100.0,%,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa
2024,100.0,%,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa
2021,100.0,%,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa
2023,100.0,%,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa
2011,100.0,%,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa
2018,100.0,%,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa
2017,100.0,%,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa
2010,100.0,%,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa
2013,100.0,%,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa
2016,100.0,%,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa
2020,100.0,%,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa
2015,100.0,%,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa
2014,100.0,%,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa
2019,100.0,%,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa
2012,100.0,%,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa
