Year,Value,Units,Series
2010,-17.19,Aurkibidea,_L_ES_090401_06
2011,-25.9,Aurkibidea,_L_ES_090401_06
2012,-21.64,Aurkibidea,_L_ES_090401_06
2013,-28.59,Aurkibidea,_L_ES_090401_06
2014,-29.31,Aurkibidea,_L_ES_090401_06
2015,-27.84,Aurkibidea,_L_ES_090401_06
2016,-28.02,Aurkibidea,_L_ES_090401_06
2017,-25.72,Aurkibidea,_L_ES_090401_06
2018,-26.89,Aurkibidea,_L_ES_090401_06
2019,-23.06,Aurkibidea,_L_ES_090401_06
2020,-32.28,Aurkibidea,_L_ES_090401_06
2021,-26.48,Aurkibidea,_L_ES_090401_06
2022,-20.65,Aurkibidea,_L_ES_090401_06
