Year,Value,Units,Series
2016,21507.9,Kilotona,Materialen etxeko kontsumoa termino absolutuetan
2011,23308.8,Kilotona,Materialen etxeko kontsumoa termino absolutuetan
2018,28476.5,Kilotona,Materialen etxeko kontsumoa termino absolutuetan
2015,23794.7,Kilotona,Materialen etxeko kontsumoa termino absolutuetan
2019,27538.3,Kilotona,Materialen etxeko kontsumoa termino absolutuetan
2013,18163.8,Kilotona,Materialen etxeko kontsumoa termino absolutuetan
2012,21098.6,Kilotona,Materialen etxeko kontsumoa termino absolutuetan
2014,19620.0,Kilotona,Materialen etxeko kontsumoa termino absolutuetan
2010,30845.5,Kilotona,Materialen etxeko kontsumoa termino absolutuetan
2017,26656.6,Kilotona,Materialen etxeko kontsumoa termino absolutuetan
2020,22964.9,Kilotona,Materialen etxeko kontsumoa termino absolutuetan
2020,10.5,Tonak per capita,Materialen etxeko kontsumoa per capita
2016,9.9,Tonak per capita,Materialen etxeko kontsumoa per capita
2014,9.0,Tonak per capita,Materialen etxeko kontsumoa per capita
2013,8.3,Tonak per capita,Materialen etxeko kontsumoa per capita
2018,13.0,Tonak per capita,Materialen etxeko kontsumoa per capita
2011,10.7,Tonak per capita,Materialen etxeko kontsumoa per capita
2012,9.7,Tonak per capita,Materialen etxeko kontsumoa per capita
2017,12.2,Tonak per capita,Materialen etxeko kontsumoa per capita
2015,11.0,Tonak per capita,Materialen etxeko kontsumoa per capita
2019,12.6,Tonak per capita,Materialen etxeko kontsumoa per capita
2010,14.2,Tonak per capita,Materialen etxeko kontsumoa per capita
2010,456.3,T_MILLON_EUR,"Materialen etxeko kontsumoa, BPGaren arabera"
2012,317.3,T_MILLON_EUR,"Materialen etxeko kontsumoa, BPGaren arabera"
2011,343.6,T_MILLON_EUR,"Materialen etxeko kontsumoa, BPGaren arabera"
2013,277.8,T_MILLON_EUR,"Materialen etxeko kontsumoa, BPGaren arabera"
2014,295.3,T_MILLON_EUR,"Materialen etxeko kontsumoa, BPGaren arabera"
2015,347.4,T_MILLON_EUR,"Materialen etxeko kontsumoa, BPGaren arabera"
2016,304.0,T_MILLON_EUR,"Materialen etxeko kontsumoa, BPGaren arabera"
2017,366.8,T_MILLON_EUR,"Materialen etxeko kontsumoa, BPGaren arabera"
2018,379.7,T_MILLON_EUR,"Materialen etxeko kontsumoa, BPGaren arabera"
2019,359.0,T_MILLON_EUR,"Materialen etxeko kontsumoa, BPGaren arabera"
2020,332.6,T_MILLON_EUR,"Materialen etxeko kontsumoa, BPGaren arabera"
