Year,Value,Units,Series
2011,573.0,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2014,870.0,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2017,1081.0,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2020,1259.46,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2010,422.54,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2022,1464.9,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2015,944.0,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2016,993.0,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2021,1406.46,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2018,1157.0,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2012,660.0,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2019,1215.46,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2013,783.0,Hektareak,Erabilera berrietarako berreskuratutako lurzoruaren azalera (metatua)
2010,5.01,%,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2011,6.47,%,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2012,7.15,%,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2013,8.35,%,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2014,9.24,%,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2015,10.0,%,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2016,10.91,%,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2017,11.37,%,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2018,12.61,%,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2019,13.19,%,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2020,13.99,%,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2021,14.58,%,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
2022,16.07,%,Erabilera berrietarako berreskuratutako lurzoruaren ehunekoa (metatua)
