Year,Value,Units,GeoCode
2022,4.6,10.000 biztanleko,
2019,3.8,10.000 biztanleko,
2023,5.7,10.000 biztanleko,
2021,4.0,10.000 biztanleko,
2020,3.1,10.000 biztanleko,
