Year,Value,Units
2011,3.4,Bizirik jaiotako 1.000 umeko
2010,3.5,Bizirik jaiotako 1.000 umeko
2020,3.1,Bizirik jaiotako 1.000 umeko
2014,2.9,Bizirik jaiotako 1.000 umeko
2013,2.8,Bizirik jaiotako 1.000 umeko
2024,2.3,Bizirik jaiotako 1.000 umeko
2021,2.9,Bizirik jaiotako 1.000 umeko
2019,3.6,Bizirik jaiotako 1.000 umeko
2023,3.1,Bizirik jaiotako 1.000 umeko
2016,3.2,Bizirik jaiotako 1.000 umeko
2015,3.4,Bizirik jaiotako 1.000 umeko
2018,3.6,Bizirik jaiotako 1.000 umeko
2012,3.2,Bizirik jaiotako 1.000 umeko
2017,2.8,Bizirik jaiotako 1.000 umeko
2022,3.6,Bizirik jaiotako 1.000 umeko
