Year,Value,Units
2010,15.6,%
2011,15.0,%
2012,13.9,%
2013,15.3,%
2014,16.0,%
2015,14.5,%
2016,15.7,%
2017,14.4,%
2018,17.8,%
2019,17.8,%
2020,19.8,%
2021,20.2,%
2022,18.2,%
2023,20.4,%
