Year,Value,Units,GeoCode
2017,169.5,W_PER_CAPITA,
2018,171.4,W_PER_CAPITA,
2015,169.3,W_PER_CAPITA,
2012,165.9,W_PER_CAPITA,
2023,218.1,W_PER_CAPITA,
2014,167.8,W_PER_CAPITA,
2016,169.3,W_PER_CAPITA,
2019,173.4,W_PER_CAPITA,
2022,198.3,W_PER_CAPITA,
2010,164.7,W_PER_CAPITA,
2013,167.3,W_PER_CAPITA,
2020,187.8,W_PER_CAPITA,
2021,197.6,W_PER_CAPITA,
2011,164.7,W_PER_CAPITA,
