Year,Value,Units,Series
2022,93,Erakundeak,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua
2021,85,Erakundeak,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua
2023,99,Erakundeak,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua
2016,40,Lizentziak,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2024,65,Lizentziak,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2023,61,Lizentziak,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2012,16,Lizentziak,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2011,15,Lizentziak,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2015,19,Lizentziak,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2020,55,Lizentziak,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2010,13,Lizentziak,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2017,43,Lizentziak,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2022,58,Lizentziak,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2021,57,Lizentziak,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2018,52,Lizentziak,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2014,19,Lizentziak,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2019,51,Lizentziak,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
2013,18,Lizentziak,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa)
