Year,Value,Units
2010,32.1,PT
2011,32.0,PT
2012,32.7,PT
2013,34.6,PT
2014,33.8,PT
2015,34.6,PT
2016,34.3,PT
2017,34.0,PT
2018,35.4,PT
2019,36.5,PT
2020,37.4,PT
2021,37.2,PT
2022,35.3,PT
2023,34.8,PT
