Year,Value,Units,GeoCode
2022,39.9,10.000 biztanleko,
2020,33.9,10.000 biztanleko,
2019,36.5,10.000 biztanleko,
2021,34.3,10.000 biztanleko,
2023,42.8,10.000 biztanleko,
