Year,Value,Units
2023,1.8,Bizirik jaiotako 1.000 umeko
2017,1.4,Bizirik jaiotako 1.000 umeko
2020,1.8,Bizirik jaiotako 1.000 umeko
2024,1.2,Bizirik jaiotako 1.000 umeko
2019,2.1,Bizirik jaiotako 1.000 umeko
2014,1.5,Bizirik jaiotako 1.000 umeko
2013,1.5,Bizirik jaiotako 1.000 umeko
2011,1.7,Bizirik jaiotako 1.000 umeko
2010,1.7,Bizirik jaiotako 1.000 umeko
2022,2.2,Bizirik jaiotako 1.000 umeko
2016,1.4,Bizirik jaiotako 1.000 umeko
2021,1.5,Bizirik jaiotako 1.000 umeko
2018,2.2,Bizirik jaiotako 1.000 umeko
2012,1.7,Bizirik jaiotako 1.000 umeko
2015,1.7,Bizirik jaiotako 1.000 umeko
