Year,Value,Units
2009,87.6,%
2018,95.8,%
2023,99.0,%
2013,93.3,%
2019,97.0,%
2020,96.9,%
2012,92.4,%
2016,95.8,%
2011,91.7,%
2017,96.1,%
2021,97.2,%
2022,97.6,%
2024,99.2,%
2014,93.6,%
2010,89.5,%
2008,87.8,%
2015,96.0,%
