Year,Value,Units
2015,6,Indizea
2016,6,Indizea
2017,6,Indizea
2018,6,Indizea
2019,6,Indizea
2020,6,Indizea
2021,6,Indizea
2022,6,Indizea
2023,6,Indizea
2024,6,Indizea
