Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2010,SG_DSR_SILS,,,ES01051,PT,ES01051,100.0
2020,SG_DSR_SILS,,,ES01051,PT,ES01051,100.0
2015,SG_DSR_SILS,,,ES01051,PT,ES01051,100.0
2022,SG_DSR_SILS,,,ES20016,PT,ES20016,0.0
2024,SG_DSR_SILS,,,ES20016,PT,ES20016,0.0
2013,SG_DSR_SILS,,,ES20016,PT,ES20016,0.0
2021,SG_DSR_SILS,,,ES20016,PT,ES20016,0.0
2012,SG_DSR_SILS,,,ES20016,PT,ES20016,0.0
2010,SG_DSR_SILS,,,ES20016,PT,ES20016,0.0
2017,SG_DSR_SILS,,,ES20016,PT,ES20016,0.0
2016,SG_DSR_SILS,,,ES20016,PT,ES20016,0.0
2015,SG_DSR_SILS,,,ES20016,PT,ES20016,0.0
2014,SG_DSR_SILS,,,ES20016,PT,ES20016,0.0
2023,SG_DSR_SILS,,,ES20016,PT,ES20016,0.0
2018,SG_DSR_SILS,,,ES20016,PT,ES20016,0.0
2019,SG_DSR_SILS,,,ES20016,PT,ES20016,0.0
2011,SG_DSR_SILS,,,ES20016,PT,ES20016,0.0
2020,SG_DSR_SILS,,,ES20016,PT,ES20016,0.0
2015,SG_DSR_SILS,,,ES20003,PT,ES20003,0.0
2021,SG_DSR_SILS,,,ES20003,PT,ES20003,0.0
2010,SG_DSR_SILS,,,ES20003,PT,ES20003,0.0
2013,SG_DSR_SILS,,,ES20003,PT,ES20003,0.0
2023,SG_DSR_SILS,,,ES20003,PT,ES20003,0.0
2020,SG_DSR_SILS,,,ES20003,PT,ES20003,0.0
2019,SG_DSR_SILS,,,ES20003,PT,ES20003,0.0
2024,SG_DSR_SILS,,,ES20003,PT,ES20003,0.0
2014,SG_DSR_SILS,,,ES20003,PT,ES20003,0.0
2016,SG_DSR_SILS,,,ES20003,PT,ES20003,0.0
2018,SG_DSR_SILS,,,ES20003,PT,ES20003,0.0
2022,SG_DSR_SILS,,,ES20003,PT,ES20003,0.0
2011,SG_DSR_SILS,,,ES20003,PT,ES20003,0.0
2017,SG_DSR_SILS,,,ES20003,PT,ES20003,0.0
2012,SG_DSR_SILS,,,ES20003,PT,ES20003,0.0
2020,SG_DSR_SILS,,,ES48911,PT,ES48911,0.0
2022,SG_DSR_SILS,,,ES48911,PT,ES48911,0.0
2011,SG_DSR_SILS,,,ES48911,PT,ES48911,0.0
2017,SG_DSR_SILS,,,ES48911,PT,ES48911,0.0
2015,SG_DSR_SILS,,,ES48911,PT,ES48911,0.0
2018,SG_DSR_SILS,,,ES48911,PT,ES48911,0.0
2023,SG_DSR_SILS,,,ES48911,PT,ES48911,0.0
2014,SG_DSR_SILS,,,ES48911,PT,ES48911,0.0
2019,SG_DSR_SILS,,,ES48911,PT,ES48911,0.0
2021,SG_DSR_SILS,,,ES48911,PT,ES48911,0.0
2024,SG_DSR_SILS,,,ES48911,PT,ES48911,0.0
2013,SG_DSR_SILS,,,ES48911,PT,ES48911,0.0
2010,SG_DSR_SILS,,,ES48911,PT,ES48911,0.0
2012,SG_DSR_SILS,,,ES48911,PT,ES48911,0.0
2016,SG_DSR_SILS,,,ES48911,PT,ES48911,0.0
2020,SG_DSR_SILS,,,ES20004,PT,ES20004,0.0
2023,SG_DSR_SILS,,,ES20004,PT,ES20004,0.0
2024,SG_DSR_SILS,,,ES20004,PT,ES20004,0.0
2016,SG_DSR_SILS,,,ES20004,PT,ES20004,0.0
2013,SG_DSR_SILS,,,ES20004,PT,ES20004,0.0
2021,SG_DSR_SILS,,,ES20004,PT,ES20004,0.0
2015,SG_DSR_SILS,,,ES20004,PT,ES20004,0.0
2010,SG_DSR_SILS,,,ES20004,PT,ES20004,0.0
2014,SG_DSR_SILS,,,ES20004,PT,ES20004,0.0
2019,SG_DSR_SILS,,,ES20004,PT,ES20004,0.0
2022,SG_DSR_SILS,,,ES20004,PT,ES20004,0.0
2018,SG_DSR_SILS,,,ES20004,PT,ES20004,0.0
2017,SG_DSR_SILS,,,ES20004,PT,ES20004,0.0
2012,SG_DSR_SILS,,,ES20004,PT,ES20004,0.0
2011,SG_DSR_SILS,,,ES20004,PT,ES20004,0.0
2019,SG_DSR_SILS,,,ES20005,PT,ES20005,0.0
2021,SG_DSR_SILS,,,ES20005,PT,ES20005,0.0
2011,SG_DSR_SILS,,,ES20005,PT,ES20005,0.0
2017,SG_DSR_SILS,,,ES20005,PT,ES20005,0.0
2018,SG_DSR_SILS,,,ES20005,PT,ES20005,0.0
2015,SG_DSR_SILS,,,ES20005,PT,ES20005,0.0
2012,SG_DSR_SILS,,,ES20005,PT,ES20005,0.0
2024,SG_DSR_SILS,,,ES20005,PT,ES20005,0.0
2014,SG_DSR_SILS,,,ES20005,PT,ES20005,0.0
2010,SG_DSR_SILS,,,ES20005,PT,ES20005,0.0
2016,SG_DSR_SILS,,,ES20005,PT,ES20005,0.0
2023,SG_DSR_SILS,,,ES20005,PT,ES20005,0.0
2013,SG_DSR_SILS,,,ES20005,PT,ES20005,0.0
2020,SG_DSR_SILS,,,ES20005,PT,ES20005,0.0
2022,SG_DSR_SILS,,,ES20005,PT,ES20005,0.0
2021,SG_DSR_SILS,,,ES01001,PT,ES01001,0.0
2010,SG_DSR_SILS,,,ES01001,PT,ES01001,0.0
2020,SG_DSR_SILS,,,ES01001,PT,ES01001,0.0
2012,SG_DSR_SILS,,,ES01001,PT,ES01001,0.0
2013,SG_DSR_SILS,,,ES01001,PT,ES01001,0.0
2014,SG_DSR_SILS,,,ES01001,PT,ES01001,0.0
2016,SG_DSR_SILS,,,ES01001,PT,ES01001,0.0
2017,SG_DSR_SILS,,,ES01001,PT,ES01001,0.0
2023,SG_DSR_SILS,,,ES01001,PT,ES01001,0.0
2019,SG_DSR_SILS,,,ES01001,PT,ES01001,0.0
2018,SG_DSR_SILS,,,ES01001,PT,ES01001,0.0
2015,SG_DSR_SILS,,,ES01001,PT,ES01001,0.0
2022,SG_DSR_SILS,,,ES01001,PT,ES01001,0.0
2011,SG_DSR_SILS,,,ES01001,PT,ES01001,0.0
2024,SG_DSR_SILS,,,ES01001,PT,ES01001,0.0
2017,SG_DSR_SILS,,,ES20006,PT,ES20006,0.0
2019,SG_DSR_SILS,,,ES20006,PT,ES20006,0.0
2021,SG_DSR_SILS,,,ES20006,PT,ES20006,0.0
2024,SG_DSR_SILS,,,ES20006,PT,ES20006,0.0
