Year,Series,Sexua,Lurralde historikoa,Units,Value
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,,100.000 biztanleko,30.7
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,,100.000 biztanleko,36.5
2018,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Araba / Álava,100.000 biztanleko,34.6
2020,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Araba / Álava,100.000 biztanleko,25.8
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Araba / Álava,100.000 biztanleko,30.8
2017,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Araba / Álava,100.000 biztanleko,23.6
2016,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Araba / Álava,100.000 biztanleko,23.2
2023,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Araba / Álava,100.000 biztanleko,20.3
2015,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Araba / Álava,100.000 biztanleko,34.0
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Araba / Álava,100.000 biztanleko,26.1
2021,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Araba / Álava,100.000 biztanleko,22.3
2017,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Bizkaia,100.000 biztanleko,34.8
2020,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Bizkaia,100.000 biztanleko,35.5
2015,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Bizkaia,100.000 biztanleko,44.7
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Bizkaia,100.000 biztanleko,35.4
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Bizkaia,100.000 biztanleko,42.7
2018,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Bizkaia,100.000 biztanleko,45.3
2021,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Bizkaia,100.000 biztanleko,35.5
2016,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Bizkaia,100.000 biztanleko,32.4
2023,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Bizkaia,100.000 biztanleko,33.8
2023,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Gipuzkoa,100.000 biztanleko,19.6
2020,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Gipuzkoa,100.000 biztanleko,20.7
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Gipuzkoa,100.000 biztanleko,24.9
2018,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Gipuzkoa,100.000 biztanleko,34.9
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Gipuzkoa,100.000 biztanleko,28.9
2015,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Gipuzkoa,100.000 biztanleko,31.5
2016,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Gipuzkoa,100.000 biztanleko,18.3
2017,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Gipuzkoa,100.000 biztanleko,20.6
2021,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Emakumea,Gipuzkoa,100.000 biztanleko,21.8
2018,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,,100.000 biztanleko,41.8
2016,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,,100.000 biztanleko,27.8
2015,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,,100.000 biztanleko,40.1
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,,100.000 biztanleko,32.0
2021,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,,100.000 biztanleko,31.1
2023,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,,100.000 biztanleko,28.3
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,,100.000 biztanleko,37.6
2017,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,,100.000 biztanleko,29.5
2020,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,,100.000 biztanleko,30.4
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Araba / Álava,100.000 biztanleko,32.0
2015,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Araba / Álava,100.000 biztanleko,35.1
2018,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Araba / Álava,100.000 biztanleko,35.9
2021,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Araba / Álava,100.000 biztanleko,23.8
2017,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Araba / Álava,100.000 biztanleko,23.9
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Araba / Álava,100.000 biztanleko,27.1
2020,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Araba / Álava,100.000 biztanleko,26.8
2016,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Araba / Álava,100.000 biztanleko,24.6
2023,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Araba / Álava,100.000 biztanleko,21.1
2016,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Bizkaia,100.000 biztanleko,33.9
2018,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Bizkaia,100.000 biztanleko,47.0
2017,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Bizkaia,100.000 biztanleko,35.9
2021,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Bizkaia,100.000 biztanleko,38.0
2015,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Bizkaia,100.000 biztanleko,46.1
2020,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Bizkaia,100.000 biztanleko,37.0
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Bizkaia,100.000 biztanleko,44.2
2023,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Bizkaia,100.000 biztanleko,35.2
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Bizkaia,100.000 biztanleko,36.9
2023,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Gipuzkoa,100.000 biztanleko,20.4
2021,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Gipuzkoa,100.000 biztanleko,23.3
2016,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Gipuzkoa,100.000 biztanleko,19.0
2020,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Gipuzkoa,100.000 biztanleko,21.5
2015,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Gipuzkoa,100.000 biztanleko,32.3
2017,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Gipuzkoa,100.000 biztanleko,21.1
2018,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Gipuzkoa,100.000 biztanleko,36.2
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Gipuzkoa,100.000 biztanleko,26.2
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren tasa 100.000 biztanleko,Gizona,Gipuzkoa,100.000 biztanleko,29.7
2023,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,,Zenbakia,569.0
2021,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,,Zenbakia,607.0
2016,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,,Zenbakia,560.0
2020,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,,Zenbakia,606.0
2018,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,,Zenbakia,836.0
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,,Zenbakia,636.0
2015,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,,Zenbakia,821.0
2017,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,,Zenbakia,594.0
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,,Zenbakia,750.0
2017,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Araba / Álava,Zenbakia,79.0
2015,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Araba / Álava,Zenbakia,115.0
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Araba / Álava,Zenbakia,91.0
2020,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Araba / Álava,Zenbakia,90.0
2021,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Araba / Álava,Zenbakia,79.0
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Araba / Álava,Zenbakia,108.0
2016,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Araba / Álava,Zenbakia,79.0
2018,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Araba / Álava,Zenbakia,119.0
2023,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Araba / Álava,Zenbakia,73.0
2017,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Bizkaia,Zenbakia,377.0
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Bizkaia,Zenbakia,456.0
2020,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Bizkaia,Zenbakia,381.0
2023,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Bizkaia,Zenbakia,367.0
2016,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Bizkaia,Zenbakia,357.0
2018,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Bizkaia,Zenbakia,488.0
2015,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Bizkaia,Zenbakia,494.0
2021,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Bizkaia,Zenbakia,384.0
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Bizkaia,Zenbakia,381.0
2017,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Gipuzkoa,Zenbakia,136.0
2023,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Gipuzkoa,Zenbakia,129.0
2015,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Gipuzkoa,Zenbakia,211.0
2016,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Gipuzkoa,Zenbakia,122.0
2020,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Gipuzkoa,Zenbakia,134.0
