Year,Series,Sex,Province,Units,Value
2010,Injury mortality rate due to traffic accidents.,Female,,"Per 100,000 inhabitants",1.6
2022,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",1.8
2015,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",1.2
2019,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",1.8
2018,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",1.2
2017,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",3.0
2023,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",1.2
2020,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",0.6
2011,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",0.6
2013,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",1.9
2016,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",0.0
2021,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",2.4
2012,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",2.5
2010,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",1.9
2014,Injury mortality rate due to traffic accidents.,Female,Araba/Álava,"Per 100,000 inhabitants",1.2
2010,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",1.7
2017,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",1.5
2022,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",1.7
2014,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",1.0
2020,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",2.2
2016,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",1.7
2018,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",1.4
2012,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",1.8
2015,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",1.5
2011,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",1.8
2019,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",0.8
2021,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",0.8
2023,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",0.8
2013,Injury mortality rate due to traffic accidents.,Female,Bizkaia,"Per 100,000 inhabitants",1.3
2011,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",2.5
2019,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",1.1
2020,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",0.8
2018,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",1.6
2016,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",1.4
2022,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",1.4
2023,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",1.1
2017,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",1.6
2014,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",1.4
2012,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",1.7
2013,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",1.4
2010,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",1.4
2021,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",0.5
2015,Injury mortality rate due to traffic accidents.,Female,Gipuzkoa,"Per 100,000 inhabitants",1.4
2018,Injury mortality rate due to traffic accidents.,Male,,"Per 100,000 inhabitants",4.3
2012,Injury mortality rate due to traffic accidents.,Male,,"Per 100,000 inhabitants",6.2
2021,Injury mortality rate due to traffic accidents.,Male,,"Per 100,000 inhabitants",4.9
2014,Injury mortality rate due to traffic accidents.,Male,,"Per 100,000 inhabitants",4.1
2022,Injury mortality rate due to traffic accidents.,Male,,"Per 100,000 inhabitants",6.0
2010,Injury mortality rate due to traffic accidents.,Male,,"Per 100,000 inhabitants",6.6
2015,Injury mortality rate due to traffic accidents.,Male,,"Per 100,000 inhabitants",5.6
2023,Injury mortality rate due to traffic accidents.,Male,,"Per 100,000 inhabitants",5.2
2013,Injury mortality rate due to traffic accidents.,Male,,"Per 100,000 inhabitants",6.0
2011,Injury mortality rate due to traffic accidents.,Male,,"Per 100,000 inhabitants",5.6
2020,Injury mortality rate due to traffic accidents.,Male,,"Per 100,000 inhabitants",3.9
2019,Injury mortality rate due to traffic accidents.,Male,,"Per 100,000 inhabitants",5.4
2017,Injury mortality rate due to traffic accidents.,Male,,"Per 100,000 inhabitants",4.5
2016,Injury mortality rate due to traffic accidents.,Male,,"Per 100,000 inhabitants",6.3
2023,Injury mortality rate due to traffic accidents.,Male,Araba/Álava,"Per 100,000 inhabitants",3.1
2011,Injury mortality rate due to traffic accidents.,Male,Araba/Álava,"Per 100,000 inhabitants",3.8
2022,Injury mortality rate due to traffic accidents.,Male,Araba/Álava,"Per 100,000 inhabitants",6.1
2012,Injury mortality rate due to traffic accidents.,Male,Araba/Álava,"Per 100,000 inhabitants",6.3
2015,Injury mortality rate due to traffic accidents.,Male,Araba/Álava,"Per 100,000 inhabitants",3.1
2017,Injury mortality rate due to traffic accidents.,Male,Araba/Álava,"Per 100,000 inhabitants",3.8
2010,Injury mortality rate due to traffic accidents.,Male,Araba/Álava,"Per 100,000 inhabitants",4.4
2016,Injury mortality rate due to traffic accidents.,Male,Araba/Álava,"Per 100,000 inhabitants",4.4
2013,Injury mortality rate due to traffic accidents.,Male,Araba/Álava,"Per 100,000 inhabitants",6.3
2019,Injury mortality rate due to traffic accidents.,Male,Araba/Álava,"Per 100,000 inhabitants",8.7
2014,Injury mortality rate due to traffic accidents.,Male,Araba/Álava,"Per 100,000 inhabitants",6.3
2020,Injury mortality rate due to traffic accidents.,Male,Araba/Álava,"Per 100,000 inhabitants",2.5
2021,Injury mortality rate due to traffic accidents.,Male,Araba/Álava,"Per 100,000 inhabitants",2.5
2018,Injury mortality rate due to traffic accidents.,Male,Araba/Álava,"Per 100,000 inhabitants",5.6
2010,Injury mortality rate due to traffic accidents.,Male,Bizkaia,"Per 100,000 inhabitants",6.6
2013,Injury mortality rate due to traffic accidents.,Male,Bizkaia,"Per 100,000 inhabitants",5.2
2022,Injury mortality rate due to traffic accidents.,Male,Bizkaia,"Per 100,000 inhabitants",5.3
2023,Injury mortality rate due to traffic accidents.,Male,Bizkaia,"Per 100,000 inhabitants",3.6
2020,Injury mortality rate due to traffic accidents.,Male,Bizkaia,"Per 100,000 inhabitants",3.6
2018,Injury mortality rate due to traffic accidents.,Male,Bizkaia,"Per 100,000 inhabitants",3.8
2019,Injury mortality rate due to traffic accidents.,Male,Bizkaia,"Per 100,000 inhabitants",5.3
2016,Injury mortality rate due to traffic accidents.,Male,Bizkaia,"Per 100,000 inhabitants",6.7
2014,Injury mortality rate due to traffic accidents.,Male,Bizkaia,"Per 100,000 inhabitants",3.8
2021,Injury mortality rate due to traffic accidents.,Male,Bizkaia,"Per 100,000 inhabitants",5.5
2017,Injury mortality rate due to traffic accidents.,Male,Bizkaia,"Per 100,000 inhabitants",2.4
2015,Injury mortality rate due to traffic accidents.,Male,Bizkaia,"Per 100,000 inhabitants",3.8
2012,Injury mortality rate due to traffic accidents.,Male,Bizkaia,"Per 100,000 inhabitants",7.2
2011,Injury mortality rate due to traffic accidents.,Male,Bizkaia,"Per 100,000 inhabitants",5.6
2023,Injury mortality rate due to traffic accidents.,Male,Gipuzkoa,"Per 100,000 inhabitants",8.5
2021,Injury mortality rate due to traffic accidents.,Male,Gipuzkoa,"Per 100,000 inhabitants",5.1
2020,Injury mortality rate due to traffic accidents.,Male,Gipuzkoa,"Per 100,000 inhabitants",5.1
2018,Injury mortality rate due to traffic accidents.,Male,Gipuzkoa,"Per 100,000 inhabitants",4.6
2011,Injury mortality rate due to traffic accidents.,Male,Gipuzkoa,"Per 100,000 inhabitants",6.4
2016,Injury mortality rate due to traffic accidents.,Male,Gipuzkoa,"Per 100,000 inhabitants",6.6
2019,Injury mortality rate due to traffic accidents.,Male,Gipuzkoa,"Per 100,000 inhabitants",4.0
2013,Injury mortality rate due to traffic accidents.,Male,Gipuzkoa,"Per 100,000 inhabitants",7.2
2017,Injury mortality rate due to traffic accidents.,Male,Gipuzkoa,"Per 100,000 inhabitants",8.3
2014,Injury mortality rate due to traffic accidents.,Male,Gipuzkoa,"Per 100,000 inhabitants",3.5
2015,Injury mortality rate due to traffic accidents.,Male,Gipuzkoa,"Per 100,000 inhabitants",9.5
2012,Injury mortality rate due to traffic accidents.,Male,Gipuzkoa,"Per 100,000 inhabitants",4.6
2010,Injury mortality rate due to traffic accidents.,Male,Gipuzkoa,"Per 100,000 inhabitants",7.6
2022,Injury mortality rate due to traffic accidents.,Male,Gipuzkoa,"Per 100,000 inhabitants",7.1
