Year,Series,Sex,Province,Units,Value
2016,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Bizkaia,"Per 100,000",32.4
2023,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Bizkaia,"Per 100,000",33.8
2023,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Gipuzkoa,"Per 100,000",19.6
2020,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Gipuzkoa,"Per 100,000",20.7
2019,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Gipuzkoa,"Per 100,000",24.9
2018,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Gipuzkoa,"Per 100,000",34.9
2022,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Gipuzkoa,"Per 100,000",28.9
2015,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Gipuzkoa,"Per 100,000",31.5
2016,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Gipuzkoa,"Per 100,000",18.3
2017,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Gipuzkoa,"Per 100,000",20.6
2021,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Female,Gipuzkoa,"Per 100,000",21.8
2018,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,,"Per 100,000",41.8
2016,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,,"Per 100,000",27.8
2015,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,,"Per 100,000",40.1
2019,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,,"Per 100,000",32.0
2021,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,,"Per 100,000",31.1
2023,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,,"Per 100,000",28.3
2022,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,,"Per 100,000",37.6
2017,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,,"Per 100,000",29.5
2020,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,,"Per 100,000",30.4
2022,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Araba/Álava,"Per 100,000",32.0
2015,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Araba/Álava,"Per 100,000",35.1
2018,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Araba/Álava,"Per 100,000",35.9
2021,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Araba/Álava,"Per 100,000",23.8
2017,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Araba/Álava,"Per 100,000",23.9
2019,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Araba/Álava,"Per 100,000",27.1
2020,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Araba/Álava,"Per 100,000",26.8
2016,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Araba/Álava,"Per 100,000",24.6
2023,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Araba/Álava,"Per 100,000",21.1
2016,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Bizkaia,"Per 100,000",33.9
2018,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Bizkaia,"Per 100,000",47.0
2017,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Bizkaia,"Per 100,000",35.9
2021,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Bizkaia,"Per 100,000",38.0
2015,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Bizkaia,"Per 100,000",46.1
2020,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Bizkaia,"Per 100,000",37.0
2022,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Bizkaia,"Per 100,000",44.2
2023,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Bizkaia,"Per 100,000",35.2
2019,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Bizkaia,"Per 100,000",36.9
2023,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Gipuzkoa,"Per 100,000",20.4
2021,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Gipuzkoa,"Per 100,000",23.3
2016,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Gipuzkoa,"Per 100,000",19.0
2020,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Gipuzkoa,"Per 100,000",21.5
2015,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Gipuzkoa,"Per 100,000",32.3
2017,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Gipuzkoa,"Per 100,000",21.1
2018,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Gipuzkoa,"Per 100,000",36.2
2019,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Gipuzkoa,"Per 100,000",26.2
2022,"Premature deaths rate due to exposure to fine particulate matter per 100,000 inhabitants",Male,Gipuzkoa,"Per 100,000",29.7
2023,Number of premature deaths due to exposure to fine particulate matter,,,Number,569.0
2021,Number of premature deaths due to exposure to fine particulate matter,,,Number,607.0
2016,Number of premature deaths due to exposure to fine particulate matter,,,Number,560.0
2020,Number of premature deaths due to exposure to fine particulate matter,,,Number,606.0
2018,Number of premature deaths due to exposure to fine particulate matter,,,Number,836.0
2019,Number of premature deaths due to exposure to fine particulate matter,,,Number,636.0
2015,Number of premature deaths due to exposure to fine particulate matter,,,Number,821.0
2017,Number of premature deaths due to exposure to fine particulate matter,,,Number,594.0
2022,Number of premature deaths due to exposure to fine particulate matter,,,Number,750.0
2017,Number of premature deaths due to exposure to fine particulate matter,,Araba/Álava,Number,79.0
2015,Number of premature deaths due to exposure to fine particulate matter,,Araba/Álava,Number,115.0
2019,Number of premature deaths due to exposure to fine particulate matter,,Araba/Álava,Number,91.0
2020,Number of premature deaths due to exposure to fine particulate matter,,Araba/Álava,Number,90.0
2021,Number of premature deaths due to exposure to fine particulate matter,,Araba/Álava,Number,79.0
2022,Number of premature deaths due to exposure to fine particulate matter,,Araba/Álava,Number,108.0
2016,Number of premature deaths due to exposure to fine particulate matter,,Araba/Álava,Number,79.0
2018,Number of premature deaths due to exposure to fine particulate matter,,Araba/Álava,Number,119.0
2023,Number of premature deaths due to exposure to fine particulate matter,,Araba/Álava,Number,73.0
2017,Number of premature deaths due to exposure to fine particulate matter,,Bizkaia,Number,377.0
2022,Number of premature deaths due to exposure to fine particulate matter,,Bizkaia,Number,456.0
2020,Number of premature deaths due to exposure to fine particulate matter,,Bizkaia,Number,381.0
2023,Number of premature deaths due to exposure to fine particulate matter,,Bizkaia,Number,367.0
2016,Number of premature deaths due to exposure to fine particulate matter,,Bizkaia,Number,357.0
2018,Number of premature deaths due to exposure to fine particulate matter,,Bizkaia,Number,488.0
2015,Number of premature deaths due to exposure to fine particulate matter,,Bizkaia,Number,494.0
2021,Number of premature deaths due to exposure to fine particulate matter,,Bizkaia,Number,384.0
2019,Number of premature deaths due to exposure to fine particulate matter,,Bizkaia,Number,381.0
2017,Number of premature deaths due to exposure to fine particulate matter,,Gipuzkoa,Number,136.0
2023,Number of premature deaths due to exposure to fine particulate matter,,Gipuzkoa,Number,129.0
2015,Number of premature deaths due to exposure to fine particulate matter,,Gipuzkoa,Number,211.0
2016,Number of premature deaths due to exposure to fine particulate matter,,Gipuzkoa,Number,122.0
2020,Number of premature deaths due to exposure to fine particulate matter,,Gipuzkoa,Number,134.0
2019,Number of premature deaths due to exposure to fine particulate matter,,Gipuzkoa,Number,163.0
2018,Number of premature deaths due to exposure to fine particulate matter,,Gipuzkoa,Number,228.0
2022,Number of premature deaths due to exposure to fine particulate matter,,Gipuzkoa,Number,185.0
2021,Number of premature deaths due to exposure to fine particulate matter,,Gipuzkoa,Number,142.0
2021,Number of premature deaths due to exposure to fine particulate matter,Female,,Number,299.0
2016,Number of premature deaths due to exposure to fine particulate matter,Female,,Number,278.0
2023,Number of premature deaths due to exposure to fine particulate matter,Female,,Number,285.0
2018,Number of premature deaths due to exposure to fine particulate matter,Female,,Number,418.0
2022,Number of premature deaths due to exposure to fine particulate matter,Female,,Number,376.0
2019,Number of premature deaths due to exposure to fine particulate matter,Female,,Number,317.0
2020,Number of premature deaths due to exposure to fine particulate matter,Female,,Number,303.0
2015,Number of premature deaths due to exposure to fine particulate matter,Female,,Number,411.0
2017,Number of premature deaths due to exposure to fine particulate matter,Female,,Number,298.0
2021,Number of premature deaths due to exposure to fine particulate matter,Female,Araba/Álava,Number,39.0
2022,Number of premature deaths due to exposure to fine particulate matter,Female,Araba/Álava,Number,54.0
2017,Number of premature deaths due to exposure to fine particulate matter,Female,Araba/Álava,Number,40.0
2015,Number of premature deaths due to exposure to fine particulate matter,Female,Araba/Álava,Number,57.0
2016,Number of premature deaths due to exposure to fine particulate matter,Female,Araba/Álava,Number,39.0
2018,Number of premature deaths due to exposure to fine particulate matter,Female,Araba/Álava,Number,59.0
2019,Number of premature deaths due to exposure to fine particulate matter,Female,Araba/Álava,Number,45.0
2020,Number of premature deaths due to exposure to fine particulate matter,Female,Araba/Álava,Number,45.0
2023,Number of premature deaths due to exposure to fine particulate matter,Female,Araba/Álava,Number,36.0
2021,Number of premature deaths due to exposure to fine particulate matter,Female,Bizkaia,Number,189.0
2017,Number of premature deaths due to exposure to fine particulate matter,Female,Bizkaia,Number,189.0
2015,Number of premature deaths due to exposure to fine particulate matter,Female,Bizkaia,Number,247.0
2018,Number of premature deaths due to exposure to fine particulate matter,Female,Bizkaia,Number,244.0
2020,Number of premature deaths due to exposure to fine particulate matter,Female,Bizkaia,Number,190.0
2022,Number of premature deaths due to exposure to fine particulate matter,Female,Bizkaia,Number,228.0
2023,Number of premature deaths due to exposure to fine particulate matter,Female,Bizkaia,Number,183.0
2016,Number of premature deaths due to exposure to fine particulate matter,Female,Bizkaia,Number,177.0
2019,Number of premature deaths due to exposure to fine particulate matter,Female,Bizkaia,Number,190.0
2015,Number of premature deaths due to exposure to fine particulate matter,Female,Gipuzkoa,Number,106.0
2016,Number of premature deaths due to exposure to fine particulate matter,Female,Gipuzkoa,Number,61.0
2018,Number of premature deaths due to exposure to fine particulate matter,Female,Gipuzkoa,Number,114.0
2020,Number of premature deaths due to exposure to fine particulate matter,Female,Gipuzkoa,Number,67.0
2017,Number of premature deaths due to exposure to fine particulate matter,Female,Gipuzkoa,Number,68.0
2021,Number of premature deaths due to exposure to fine particulate matter,Female,Gipuzkoa,Number,70.0
2019,Number of premature deaths due to exposure to fine particulate matter,Female,Gipuzkoa,Number,81.0
2023,Number of premature deaths due to exposure to fine particulate matter,Female,Gipuzkoa,Number,64.0
2022,Number of premature deaths due to exposure to fine particulate matter,Female,Gipuzkoa,Number,93.0
2017,Number of premature deaths due to exposure to fine particulate matter,Male,,Number,296.0
2019,Number of premature deaths due to exposure to fine particulate matter,Male,,Number,319.0
2018,Number of premature deaths due to exposure to fine particulate matter,Male,,Number,417.0
2015,Number of premature deaths due to exposure to fine particulate matter,Male,,Number,410.0
2022,Number of premature deaths due to exposure to fine particulate matter,Male,,Number,373.0
2020,Number of premature deaths due to exposure to fine particulate matter,Male,,Number,303.0
2021,Number of premature deaths due to exposure to fine particulate matter,Male,,Number,308.0
2016,Number of premature deaths due to exposure to fine particulate matter,Male,,Number,281.0
2023,Number of premature deaths due to exposure to fine particulate matter,Male,,Number,284.0
2021,Number of premature deaths due to exposure to fine particulate matter,Male,Araba/Álava,Number,40.0
2019,Number of premature deaths due to exposure to fine particulate matter,Male,Araba/Álava,Number,45.0
2023,Number of premature deaths due to exposure to fine particulate matter,Male,Araba/Álava,Number,36.0
2022,Number of premature deaths due to exposure to fine particulate matter,Male,Araba/Álava,Number,54.0
2016,Number of premature deaths due to exposure to fine particulate matter,Male,Araba/Álava,Number,40.0
2020,Number of premature deaths due to exposure to fine particulate matter,Male,Araba/Álava,Number,45.0
2018,Number of premature deaths due to exposure to fine particulate matter,Male,Araba/Álava,Number,59.0
2017,Number of premature deaths due to exposure to fine particulate matter,Male,Araba/Álava,Number,39.0
2015,Number of premature deaths due to exposure to fine particulate matter,Male,Araba/Álava,Number,57.0
2018,Number of premature deaths due to exposure to fine particulate matter,Male,Bizkaia,Number,244.0
2017,Number of premature deaths due to exposure to fine particulate matter,Male,Bizkaia,Number,188.0
2021,Number of premature deaths due to exposure to fine particulate matter,Male,Bizkaia,Number,195.0
2015,Number of premature deaths due to exposure to fine particulate matter,Male,Bizkaia,Number,246.0
2016,Number of premature deaths due to exposure to fine particulate matter,Male,Bizkaia,Number,179.0
2022,Number of premature deaths due to exposure to fine particulate matter,Male,Bizkaia,Number,227.0
2020,Number of premature deaths due to exposure to fine particulate matter,Male,Bizkaia,Number,191.0
2023,Number of premature deaths due to exposure to fine particulate matter,Male,Bizkaia,Number,183.0
2019,Number of premature deaths due to exposure to fine particulate matter,Male,Bizkaia,Number,191.0
2016,Number of premature deaths due to exposure to fine particulate matter,Male,Gipuzkoa,Number,61.0
2017,Number of premature deaths due to exposure to fine particulate matter,Male,Gipuzkoa,Number,67.0
2019,Number of premature deaths due to exposure to fine particulate matter,Male,Gipuzkoa,Number,82.0
2018,Number of premature deaths due to exposure to fine particulate matter,Male,Gipuzkoa,Number,114.0
2023,Number of premature deaths due to exposure to fine particulate matter,Male,Gipuzkoa,Number,64.0
2020,Number of premature deaths due to exposure to fine particulate matter,Male,Gipuzkoa,Number,67.0
2015,Number of premature deaths due to exposure to fine particulate matter,Male,Gipuzkoa,Number,105.0
2021,Number of premature deaths due to exposure to fine particulate matter,Male,Gipuzkoa,Number,72.0
2022,Number of premature deaths due to exposure to fine particulate matter,Male,Gipuzkoa,Number,92.0
