Year,Sexua,Adina,Nazionalitatea,Desgaitasuna,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2020,,,,,,,Armiñón,%,Armiñón,6.7
2018,,,,,,,Armiñón,%,Armiñón,7.6
2016,,,,,,,Armiñón,%,Armiñón,12.1
2019,,,,,,,Armiñón,%,Armiñón,7.9
2022,,,,,,,Armiñón,%,Armiñón,3.1
2023,,,,,,,Armiñón,%,Armiñón,4.9
2018,,,,,,,Arraia-Maeztu,%,Arraia-Maeztu,7.2
2022,,,,,,,Arraia-Maeztu,%,Arraia-Maeztu,4.8
2019,,,,,,,Arraia-Maeztu,%,Arraia-Maeztu,5.1
2016,,,,,,,Arraia-Maeztu,%,Arraia-Maeztu,8.9
2020,,,,,,,Arraia-Maeztu,%,Arraia-Maeztu,4.3
2023,,,,,,,Arraia-Maeztu,%,Arraia-Maeztu,3.0
2021,,,,,,,Arraia-Maeztu,%,Arraia-Maeztu,6.7
2010,,,,,,,Arraia-Maeztu,%,Arraia-Maeztu,5.3
2015,,,,,,,Arraia-Maeztu,%,Arraia-Maeztu,10.4
2020,,,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,9.4
2018,,,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,9.2
2015,,,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,14.4
2016,,,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,12.7
2022,,,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,7.2
2021,,,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,8.4
2010,,,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,7.6
2023,,,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,5.7
2019,,,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,9.3
2016,,,,,,,Arrasate / Mondragón,%,Arrasate / Mondragón,14.5
2022,,,,,,,Arrasate / Mondragón,%,Arrasate / Mondragón,8.4
2023,,,,,,,Arrasate / Mondragón,%,Arrasate / Mondragón,8.4
2021,,,,,,,Arrasate / Mondragón,%,Arrasate / Mondragón,10.5
2019,,,,,,,Arrasate / Mondragón,%,Arrasate / Mondragón,10.2
2015,,,,,,,Arrasate / Mondragón,%,Arrasate / Mondragón,15.6
