Year,Units,Value
2010,"Logikoa (1 = Bai, -1 = Ez)",1
2011,"Logikoa (1 = Bai, -1 = Ez)",1
2012,"Logikoa (1 = Bai, -1 = Ez)",1
2013,"Logikoa (1 = Bai, -1 = Ez)",1
2014,"Logikoa (1 = Bai, -1 = Ez)",1
2015,"Logikoa (1 = Bai, -1 = Ez)",1
2016,"Logikoa (1 = Bai, -1 = Ez)",1
2017,"Logikoa (1 = Bai, -1 = Ez)",1
2018,"Logikoa (1 = Bai, -1 = Ez)",1
2019,"Logikoa (1 = Bai, -1 = Ez)",1
2020,"Logikoa (1 = Bai, -1 = Ez)",1
2021,"Logikoa (1 = Bai, -1 = Ez)",1
2022,"Logikoa (1 = Bai, -1 = Ez)",1
2023,"Logikoa (1 = Bai, -1 = Ez)",1
2024,"Logikoa (1 = Bai, -1 = Ez)",1
