Year,Trebetasun informatikoa,Sexua,Adina,Lurralde historikoa,Units,Value
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,25-74 urte,Bizkaia,%,47.33
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,25-74 urte,Gipuzkoa,%,53.94
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,25-74 urte,Gipuzkoa,%,52.18
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,25-74 urte,Gipuzkoa,%,51.94
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,25-74 urte,Gipuzkoa,%,48.54
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Emakumea,25-74 urte,Gipuzkoa,%,58.7
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-24 urte,,%,85.58
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-24 urte,,%,85.21
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-24 urte,,%,87.49
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-24 urte,,%,85.09
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-24 urte,,%,85.38
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-24 urte,Araba / Álava,%,93.34
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-24 urte,Araba / Álava,%,84.98
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-24 urte,Araba / Álava,%,80.49
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-24 urte,Araba / Álava,%,90.23
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-24 urte,Araba / Álava,%,73.96
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-24 urte,Bizkaia,%,89.47
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-24 urte,Bizkaia,%,81.67
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-24 urte,Bizkaia,%,83.88
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-24 urte,Bizkaia,%,87.06
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-24 urte,Bizkaia,%,85.75
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-24 urte,Gipuzkoa,%,89.39
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-24 urte,Gipuzkoa,%,92.67
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-24 urte,Gipuzkoa,%,84.13
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-24 urte,Gipuzkoa,%,80.51
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-24 urte,Gipuzkoa,%,85.97
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-74 urte,,%,57.3
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-74 urte,,%,57.94
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-74 urte,,%,56.67
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-74 urte,,%,62.72
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-74 urte,,%,57.75
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-74 urte,Araba / Álava,%,60.01
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-74 urte,Araba / Álava,%,54.1
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-74 urte,Araba / Álava,%,64.32
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-74 urte,Araba / Álava,%,55.89
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-74 urte,Araba / Álava,%,54.32
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-74 urte,Bizkaia,%,57.51
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-74 urte,Bizkaia,%,56.95
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-74 urte,Bizkaia,%,63.83
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-74 urte,Bizkaia,%,58.08
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-74 urte,Bizkaia,%,58.64
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-74 urte,Gipuzkoa,%,58.37
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-74 urte,Gipuzkoa,%,58.68
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-74 urte,Gipuzkoa,%,60.21
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-74 urte,Gipuzkoa,%,55.37
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,16-74 urte,Gipuzkoa,%,57.43
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,25-74 urte,,%,54.17
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,25-74 urte,,%,59.16
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,25-74 urte,,%,53.66
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,25-74 urte,,%,54.64
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,25-74 urte,,%,52.63
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,25-74 urte,Araba / Álava,%,61.18
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,25-74 urte,Araba / Álava,%,50.74
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,25-74 urte,Araba / Álava,%,47.9
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,25-74 urte,Araba / Álava,%,56.81
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,25-74 urte,Araba / Álava,%,53.67
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,25-74 urte,Bizkaia,%,55.58
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,25-74 urte,Bizkaia,%,54.51
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,25-74 urte,Bizkaia,%,54.3
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,25-74 urte,Bizkaia,%,60.48
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,25-74 urte,Bizkaia,%,53.4
2022,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,25-74 urte,Gipuzkoa,%,54.18
2020,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,25-74 urte,Gipuzkoa,%,53.66
2021,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,25-74 urte,Gipuzkoa,%,56.08
2019,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,25-74 urte,Gipuzkoa,%,52.15
2023,Fitxategiak edo karpetak kopiatu edo mugitu,Gizona,25-74 urte,Gipuzkoa,%,53.59
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-24 urte,,%,85.32
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-24 urte,,%,82.84
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-24 urte,,%,81.29
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-24 urte,,%,83.54
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-24 urte,,%,86.45
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-24 urte,Araba / Álava,%,83.61
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-24 urte,Araba / Álava,%,77.02
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-24 urte,Araba / Álava,%,83.68
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-24 urte,Araba / Álava,%,89.2
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-24 urte,Araba / Álava,%,78.9
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-24 urte,Bizkaia,%,86.64
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-24 urte,Bizkaia,%,82.03
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-24 urte,Bizkaia,%,83.32
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-24 urte,Bizkaia,%,82.68
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-24 urte,Bizkaia,%,88.1
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-24 urte,Gipuzkoa,%,85.71
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-24 urte,Gipuzkoa,%,78.19
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-24 urte,Gipuzkoa,%,84.72
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-24 urte,Gipuzkoa,%,79.9
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-24 urte,Gipuzkoa,%,89.58
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-74 urte,,%,45.95
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-74 urte,,%,42.31
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-74 urte,,%,45.0
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-74 urte,,%,42.23
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-74 urte,,%,41.06
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-74 urte,Araba / Álava,%,43.03
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-74 urte,Araba / Álava,%,38.38
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-74 urte,Araba / Álava,%,46.61
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-74 urte,Araba / Álava,%,43.54
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-74 urte,Araba / Álava,%,41.77
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-74 urte,Bizkaia,%,45.11
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-74 urte,Bizkaia,%,42.38
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-74 urte,Bizkaia,%,46.11
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-74 urte,Bizkaia,%,41.94
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-74 urte,Bizkaia,%,40.68
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-74 urte,Gipuzkoa,%,42.92
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-74 urte,Gipuzkoa,%,42.32
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-74 urte,Gipuzkoa,%,42.21
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-74 urte,Gipuzkoa,%,45.38
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,16-74 urte,Gipuzkoa,%,45.75
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,25-74 urte,,%,37.16
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,25-74 urte,,%,39.86
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,25-74 urte,,%,41.0
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,25-74 urte,,%,35.44
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,25-74 urte,,%,37.38
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,25-74 urte,Araba / Álava,%,36.41
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,25-74 urte,Araba / Álava,%,32.14
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,25-74 urte,Araba / Álava,%,38.53
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,25-74 urte,Araba / Álava,%,42.45
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,25-74 urte,Araba / Álava,%,38.74
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,25-74 urte,Bizkaia,%,40.16
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,25-74 urte,Bizkaia,%,35.46
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,25-74 urte,Bizkaia,%,37.57
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,25-74 urte,Bizkaia,%,41.38
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,25-74 urte,Bizkaia,%,36.63
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,25-74 urte,Gipuzkoa,%,40.01
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,25-74 urte,Gipuzkoa,%,39.69
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,25-74 urte,Gipuzkoa,%,37.28
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,25-74 urte,Gipuzkoa,%,37.51
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",,25-74 urte,Gipuzkoa,%,36.94
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-24 urte,,%,83.18
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-24 urte,,%,85.68
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-24 urte,,%,88.68
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-24 urte,,%,90.28
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-24 urte,,%,86.5
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-24 urte,Araba / Álava,%,92.24
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-24 urte,Araba / Álava,%,74.79
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-24 urte,Araba / Álava,%,94.03
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-24 urte,Araba / Álava,%,89.77
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-24 urte,Araba / Álava,%,83.9
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-24 urte,Bizkaia,%,80.24
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-24 urte,Bizkaia,%,90.71
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-24 urte,Bizkaia,%,84.29
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-24 urte,Bizkaia,%,88.74
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-24 urte,Bizkaia,%,87.56
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-24 urte,Gipuzkoa,%,87.54
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-24 urte,Gipuzkoa,%,91.74
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-24 urte,Gipuzkoa,%,85.35
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-24 urte,Gipuzkoa,%,90.02
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-24 urte,Gipuzkoa,%,84.41
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-74 urte,,%,42.93
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-74 urte,,%,41.81
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-74 urte,,%,45.07
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-74 urte,,%,41.74
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-74 urte,,%,44.55
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-74 urte,Araba / Álava,%,39.57
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-74 urte,Araba / Álava,%,44.31
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-74 urte,Araba / Álava,%,42.42
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-74 urte,Araba / Álava,%,42.88
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-74 urte,Araba / Álava,%,44.91
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-74 urte,Bizkaia,%,42.08
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-74 urte,Bizkaia,%,43.91
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-74 urte,Bizkaia,%,40.65
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-74 urte,Bizkaia,%,42.12
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-74 urte,Bizkaia,%,43.95
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-74 urte,Gipuzkoa,%,42.33
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-74 urte,Gipuzkoa,%,46.51
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-74 urte,Gipuzkoa,%,43.69
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-74 urte,Gipuzkoa,%,47.05
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,16-74 urte,Gipuzkoa,%,43.01
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,25-74 urte,,%,35.74
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,25-74 urte,,%,36.51
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,25-74 urte,,%,39.61
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,25-74 urte,,%,40.29
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,25-74 urte,,%,37.51
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,25-74 urte,Araba / Álava,%,37.25
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,25-74 urte,Araba / Álava,%,40.16
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,25-74 urte,Araba / Álava,%,38.54
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,25-74 urte,Araba / Álava,%,38.71
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,25-74 urte,Araba / Álava,%,33.32
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,25-74 urte,Bizkaia,%,39.4
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,25-74 urte,Bizkaia,%,35.49
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,25-74 urte,Bizkaia,%,36.49
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,25-74 urte,Bizkaia,%,36.8
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,25-74 urte,Bizkaia,%,38.97
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,25-74 urte,Gipuzkoa,%,41.83
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,25-74 urte,Gipuzkoa,%,38.22
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,25-74 urte,Gipuzkoa,%,41.08
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,25-74 urte,Gipuzkoa,%,37.87
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Emakumea,25-74 urte,Gipuzkoa,%,35.63
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-24 urte,,%,86.4
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-24 urte,,%,77.2
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-24 urte,,%,81.93
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-24 urte,,%,77.02
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-24 urte,,%,82.55
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-24 urte,Araba / Álava,%,71.4
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-24 urte,Araba / Álava,%,88.54
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-24 urte,Araba / Álava,%,73.54
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-24 urte,Araba / Álava,%,76.92
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-24 urte,Araba / Álava,%,82.49
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-24 urte,Bizkaia,%,85.49
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-24 urte,Bizkaia,%,85.77
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-24 urte,Bizkaia,%,81.08
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-24 urte,Bizkaia,%,75.48
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-24 urte,Bizkaia,%,86.33
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-24 urte,Gipuzkoa,%,79.85
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-24 urte,Gipuzkoa,%,74.65
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-24 urte,Gipuzkoa,%,82.42
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-24 urte,Gipuzkoa,%,89.18
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-24 urte,Gipuzkoa,%,72.35
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-74 urte,,%,45.46
