Year,Teknologia berriztagarri mota,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2019,,,,Aia,Watts per capita,Aia,43.4
2012,,,,Aia,Watts per capita,Aia,26.6
2010,,,,Aia,Watts per capita,Aia,25.7
2018,,,,Aia,Watts per capita,Aia,37.8
2022,,,,Aia,Watts per capita,Aia,77.6
2017,,,,Aia,Watts per capita,Aia,37.4
2023,,,,Aia,Watts per capita,Aia,85.9
2021,,,,Aia,Watts per capita,Aia,75.9
2011,,,,Aia,Watts per capita,Aia,26.9
2016,,,,Aia,Watts per capita,Aia,35.8
2013,,,,Aia,Watts per capita,Aia,28.9
2020,,,,Aia,Watts per capita,Aia,58.3
2014,,,,Aia,Watts per capita,Aia,29.2
2021,,,,Aizarnazabal,Watts per capita,Aizarnazabal,351.7
2014,,,,Aizarnazabal,Watts per capita,Aizarnazabal,345.7
2019,,,,Aizarnazabal,Watts per capita,Aizarnazabal,339.5
2015,,,,Aizarnazabal,Watts per capita,Aizarnazabal,346.3
2012,,,,Aizarnazabal,Watts per capita,Aizarnazabal,348.1
2011,,,,Aizarnazabal,Watts per capita,Aizarnazabal,356.4
2016,,,,Aizarnazabal,Watts per capita,Aizarnazabal,339.5
2018,,,,Aizarnazabal,Watts per capita,Aizarnazabal,342.2
2020,,,,Aizarnazabal,Watts per capita,Aizarnazabal,338.7
2023,,,,Aizarnazabal,Watts per capita,Aizarnazabal,350.5
2013,,,,Aizarnazabal,Watts per capita,Aizarnazabal,346.3
2017,,,,Aizarnazabal,Watts per capita,Aizarnazabal,340.9
2010,,,,Aizarnazabal,Watts per capita,Aizarnazabal,370.4
2022,,,,Aizarnazabal,Watts per capita,Aizarnazabal,353.1
2015,,,,Ajangiz,Watts per capita,Ajangiz,93.0
2021,,,,Ajangiz,Watts per capita,Ajangiz,93.1
2016,,,,Ajangiz,Watts per capita,Ajangiz,93.5
2018,,,,Ajangiz,Watts per capita,Ajangiz,95.4
2023,,,,Ajangiz,Watts per capita,Ajangiz,156.7
2014,,,,Ajangiz,Watts per capita,Ajangiz,95.5
2022,,,,Ajangiz,Watts per capita,Ajangiz,102.6
2011,,,,Ajangiz,Watts per capita,Ajangiz,58.4
2020,,,,Ajangiz,Watts per capita,Ajangiz,92.7
2019,,,,Ajangiz,Watts per capita,Ajangiz,98.2
2010,,,,Ajangiz,Watts per capita,Ajangiz,58.5
2013,,,,Ajangiz,Watts per capita,Ajangiz,94.7
2012,,,,Ajangiz,Watts per capita,Ajangiz,59.5
2017,,,,Ajangiz,Watts per capita,Ajangiz,94.3
2023,,,,Albiztur,Watts per capita,Albiztur,724.9
2013,,,,Albiztur,Watts per capita,Albiztur,17.6
2017,,,,Albiztur,Watts per capita,Albiztur,54.3
2022,,,,Albiztur,Watts per capita,Albiztur,699.4
2014,,,,Albiztur,Watts per capita,Albiztur,16.7
2015,,,,Albiztur,Watts per capita,Albiztur,17.5
2012,,,,Albiztur,Watts per capita,Albiztur,17.9
2018,,,,Albiztur,Watts per capita,Albiztur,55.4
2020,,,,Albiztur,Watts per capita,Albiztur,384.1
2021,,,,Albiztur,Watts per capita,Albiztur,720.3
2010,,,,Albiztur,Watts per capita,Albiztur,17.3
2019,,,,Albiztur,Watts per capita,Albiztur,395.9
2016,,,,Albiztur,Watts per capita,Albiztur,53.9
2011,,,,Albiztur,Watts per capita,Albiztur,17.0
2017,,,,Alegia,Watts per capita,Alegia,1.7
2016,,,,Alegia,Watts per capita,Alegia,1.7
2023,,,,Alegia,Watts per capita,Alegia,12.3
2019,,,,Alegia,Watts per capita,Alegia,1.7
2013,,,,Alegia,Watts per capita,Alegia,1.7
2015,,,,Alegia,Watts per capita,Alegia,1.7
2020,,,,Alegia,Watts per capita,Alegia,1.7
2021,,,,Alegia,Watts per capita,Alegia,9.2
2014,,,,Alegia,Watts per capita,Alegia,1.7
2018,,,,Alegia,Watts per capita,Alegia,1.7
2011,,,,Alegia,Watts per capita,Alegia,1.7
2012,,,,Alegia,Watts per capita,Alegia,1.7
2022,,,,Alegia,Watts per capita,Alegia,9.1
2010,,,,Alegia,Watts per capita,Alegia,1.7
2010,,,,Alegría-Dulantzi,Watts per capita,Alegría-Dulantzi,80.2
2023,,,,Alegría-Dulantzi,Watts per capita,Alegría-Dulantzi,176.9
2017,,,,Alegría-Dulantzi,Watts per capita,Alegría-Dulantzi,76.2
2013,,,,Alegría-Dulantzi,Watts per capita,Alegría-Dulantzi,76.7
2021,,,,Alegría-Dulantzi,Watts per capita,Alegría-Dulantzi,80.5
2019,,,,Alegría-Dulantzi,Watts per capita,Alegría-Dulantzi,77.6
2011,,,,Alegría-Dulantzi,Watts per capita,Alegría-Dulantzi,77.9
2018,,,,Alegría-Dulantzi,Watts per capita,Alegría-Dulantzi,77.8
2012,,,,Alegría-Dulantzi,Watts per capita,Alegría-Dulantzi,78.5
2016,,,,Alegría-Dulantzi,Watts per capita,Alegría-Dulantzi,77.1
2014,,,,Alegría-Dulantzi,Watts per capita,Alegría-Dulantzi,77.8
2020,,,,Alegría-Dulantzi,Watts per capita,Alegría-Dulantzi,80.3
2022,,,,Alegría-Dulantzi,Watts per capita,Alegría-Dulantzi,82.3
2015,,,,Alegría-Dulantzi,Watts per capita,Alegría-Dulantzi,78.5
2020,,,,Alkiza,Watts per capita,Alkiza,333.9
2016,,,,Alkiza,Watts per capita,Alkiza,333.0
2017,,,,Alkiza,Watts per capita,Alkiza,328.2
2012,,,,Alkiza,Watts per capita,Alkiza,295.4
2013,,,,Alkiza,Watts per capita,Alkiza,311.1
2023,,,,Alkiza,Watts per capita,Alkiza,394.5
2018,,,,Alkiza,Watts per capita,Alkiza,335.8
2014,,,,Alkiza,Watts per capita,Alkiza,319.3
2010,,,,Alkiza,Watts per capita,Alkiza,236.2
2019,,,,Alkiza,Watts per capita,Alkiza,332.0
2011,,,,Alkiza,Watts per capita,Alkiza,226.9
2015,,,,Alkiza,Watts per capita,Alkiza,336.4
2021,,,,Alkiza,Watts per capita,Alkiza,400.3
2022,,,,Alkiza,Watts per capita,Alkiza,385.7
2013,,,,Alonsotegi,Watts per capita,Alonsotegi,322.9
2023,,,,Alonsotegi,Watts per capita,Alonsotegi,303.7
2012,,,,Alonsotegi,Watts per capita,Alonsotegi,323.4
2016,,,,Alonsotegi,Watts per capita,Alonsotegi,325.0
2021,,,,Alonsotegi,Watts per capita,Alonsotegi,311.5
2017,,,,Alonsotegi,Watts per capita,Alonsotegi,324.1
2010,,,,Alonsotegi,Watts per capita,Alonsotegi,333.3
2015,,,,Alonsotegi,Watts per capita,Alonsotegi,323.0
2019,,,,Alonsotegi,Watts per capita,Alonsotegi,326.7
2018,,,,Alonsotegi,Watts per capita,Alonsotegi,323.3
2014,,,,Alonsotegi,Watts per capita,Alonsotegi,321.6
2011,,,,Alonsotegi,Watts per capita,Alonsotegi,329.4
2020,,,,Alonsotegi,Watts per capita,Alonsotegi,313.0
2022,,,,Alonsotegi,Watts per capita,Alonsotegi,311.6
2020,,,,Altzaga,Watts per capita,Altzaga,27.6
2010,,,,Altzaga,Watts per capita,Altzaga,0.0
2011,,,,Altzaga,Watts per capita,Altzaga,0.0
2017,,,,Altzaga,Watts per capita,Altzaga,0.0
2023,,,,Altzaga,Watts per capita,Altzaga,100.6
2021,,,,Altzaga,Watts per capita,Altzaga,27.5
2019,,,,Altzaga,Watts per capita,Altzaga,0.0
2014,,,,Altzaga,Watts per capita,Altzaga,0.0
2012,,,,Altzaga,Watts per capita,Altzaga,0.0
2015,,,,Altzaga,Watts per capita,Altzaga,0.0
2022,,,,Altzaga,Watts per capita,Altzaga,28.3
2013,,,,Altzaga,Watts per capita,Altzaga,0.0
2016,,,,Altzaga,Watts per capita,Altzaga,0.0
2018,,,,Altzaga,Watts per capita,Altzaga,0.0
2015,,,,Altzo,Watts per capita,Altzo,21.3
2012,,,,Altzo,Watts per capita,Altzo,8.5
2013,,,,Altzo,Watts per capita,Altzo,8.7
2019,,,,Altzo,Watts per capita,Altzo,20.0
2014,,,,Altzo,Watts per capita,Altzo,8.7
2021,,,,Altzo,Watts per capita,Altzo,393.4
2016,,,,Altzo,Watts per capita,Altzo,22.0
2010,,,,Altzo,Watts per capita,Altzo,8.5
2023,,,,Altzo,Watts per capita,Altzo,414.4
2018,,,,Altzo,Watts per capita,Altzo,21.3
2020,,,,Altzo,Watts per capita,Altzo,24.5
2011,,,,Altzo,Watts per capita,Altzo,8.4
2022,,,,Altzo,Watts per capita,Altzo,372.6
2017,,,,Altzo,Watts per capita,Altzo,21.8
2010,,,,Amezketa,Watts per capita,Amezketa,630.9
2015,,,,Amezketa,Watts per capita,Amezketa,668.4
2021,,,,Amezketa,Watts per capita,Amezketa,682.4
2019,,,,Amezketa,Watts per capita,Amezketa,674.5
2023,,,,Amezketa,Watts per capita,Amezketa,713.5
2014,,,,Amezketa,Watts per capita,Amezketa,657.9
2013,,,,Amezketa,Watts per capita,Amezketa,635.9
2018,,,,Amezketa,Watts per capita,Amezketa,684.1
2012,,,,Amezketa,Watts per capita,Amezketa,631.9
2016,,,,Amezketa,Watts per capita,Amezketa,673.7
2020,,,,Amezketa,Watts per capita,Amezketa,675.1
2022,,,,Amezketa,Watts per capita,Amezketa,702.4
2017,,,,Amezketa,Watts per capita,Amezketa,672.3
2011,,,,Amezketa,Watts per capita,Amezketa,631.4
2017,,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,16.3
2022,,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,36.6
2015,,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,12.8
2020,,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,25.4
2010,,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,10.0
2021,,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,36.3
2013,,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,12.3
2023,,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,90.0
2012,,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,12.2
2018,,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,17.3
2019,,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,21.1
2014,,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,13.0
2016,,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,14.1
2011,,,,Amorebieta-Etxano,Watts per capita,Amorebieta-Etxano,11.1
2021,,,,Amoroto,Watts per capita,Amoroto,387.7
2017,,,,Amoroto,Watts per capita,Amoroto,42.2
2018,,,,Amoroto,Watts per capita,Amoroto,43.3
2020,,,,Amoroto,Watts per capita,Amoroto,43.6
2015,,,,Amoroto,Watts per capita,Amoroto,42.4
2010,,,,Amoroto,Watts per capita,Amoroto,22.7
2022,,,,Amoroto,Watts per capita,Amoroto,394.8
2016,,,,Amoroto,Watts per capita,Amoroto,42.2
2013,,,,Amoroto,Watts per capita,Amoroto,23.3
2014,,,,Amoroto,Watts per capita,Amoroto,44.4
2012,,,,Amoroto,Watts per capita,Amoroto,24.0
2019,,,,Amoroto,Watts per capita,Amoroto,42.7
2011,,,,Amoroto,Watts per capita,Amoroto,23.1
2023,,,,Amoroto,Watts per capita,Amoroto,441.3
2018,,,,Amurrio,Watts per capita,Amurrio,21.2
2020,,,,Amurrio,Watts per capita,Amurrio,23.4
2017,,,,Amurrio,Watts per capita,Amurrio,19.4
2021,,,,Amurrio,Watts per capita,Amurrio,28.5
2011,,,,Amurrio,Watts per capita,Amurrio,16.8
2014,,,,Amurrio,Watts per capita,Amurrio,16.8
2022,,,,Amurrio,Watts per capita,Amurrio,29.8
2015,,,,Amurrio,Watts per capita,Amurrio,16.8
2023,,,,Amurrio,Watts per capita,Amurrio,54.7
2013,,,,Amurrio,Watts per capita,Amurrio,16.5
2010,,,,Amurrio,Watts per capita,Amurrio,15.9
2012,,,,Amurrio,Watts per capita,Amurrio,16.7
2019,,,,Amurrio,Watts per capita,Amurrio,23.1
2016,,,,Amurrio,Watts per capita,Amurrio,18.1
2022,,,,Andoain,Watts per capita,Andoain,375.3
2023,,,,Andoain,Watts per capita,Andoain,402.5
2014,,,,Andoain,Watts per capita,Andoain,357.9
2017,,,,Andoain,Watts per capita,Andoain,356.7
2015,,,,Andoain,Watts per capita,Andoain,359.2
2010,,,,Andoain,Watts per capita,Andoain,355.8
2012,,,,Andoain,Watts per capita,Andoain,358.0
2011,,,,Andoain,Watts per capita,Andoain,355.3
2021,,,,Andoain,Watts per capita,Andoain,375.2
2020,,,,Andoain,Watts per capita,Andoain,359.7
2018,,,,Andoain,Watts per capita,Andoain,356.4
2019,,,,Andoain,Watts per capita,Andoain,356.8
2016,,,,Andoain,Watts per capita,Andoain,356.8
2013,,,,Andoain,Watts per capita,Andoain,357.6
2013,,,,Anoeta,Watts per capita,Anoeta,183.5
2010,,,,Anoeta,Watts per capita,Anoeta,155.8
2022,,,,Anoeta,Watts per capita,Anoeta,225.4
2011,,,,Anoeta,Watts per capita,Anoeta,156.4
2015,,,,Anoeta,Watts per capita,Anoeta,175.5
2014,,,,Anoeta,Watts per capita,Anoeta,178.7
2020,,,,Anoeta,Watts per capita,Anoeta,174.0
2017,,,,Anoeta,Watts per capita,Anoeta,176.7
2012,,,,Anoeta,Watts per capita,Anoeta,183.6
2019,,,,Anoeta,Watts per capita,Anoeta,172.6
2021,,,,Anoeta,Watts per capita,Anoeta,227.3
2016,,,,Anoeta,Watts per capita,Anoeta,177.4
2018,,,,Anoeta,Watts per capita,Anoeta,172.1
2023,,,,Anoeta,Watts per capita,Anoeta,309.2
2019,,,,Antzuola,Watts per capita,Antzuola,14.0
2017,,,,Antzuola,Watts per capita,Antzuola,11.1
2014,,,,Antzuola,Watts per capita,Antzuola,10.5
2020,,,,Antzuola,Watts per capita,Antzuola,18.5
2012,,,,Antzuola,Watts per capita,Antzuola,7.7
2013,,,,Antzuola,Watts per capita,Antzuola,7.7
2022,,,,Antzuola,Watts per capita,Antzuola,52.4
2018,,,,Antzuola,Watts per capita,Antzuola,12.3
2016,,,,Antzuola,Watts per capita,Antzuola,11.2
2010,,,,Antzuola,Watts per capita,Antzuola,7.8
2023,,,,Antzuola,Watts per capita,Antzuola,52.5
2011,,,,Antzuola,Watts per capita,Antzuola,7.8
2021,,,,Antzuola,Watts per capita,Antzuola,49.8
2015,,,,Antzuola,Watts per capita,Antzuola,10.7
2013,,,,Añana,Watts per capita,Añana,33.9
2017,,,,Añana,Watts per capita,Añana,33.3
2015,,,,Añana,Watts per capita,Añana,35.2
2011,,,,Añana,Watts per capita,Añana,34.5
2016,,,,Añana,Watts per capita,Añana,33.5
2018,,,,Añana,Watts per capita,Añana,32.3
2022,,,,Añana,Watts per capita,Añana,33.7
2023,,,,Añana,Watts per capita,Añana,35.9
2014,,,,Añana,Watts per capita,Añana,35.9
2019,,,,Añana,Watts per capita,Añana,33.5
2012,,,,Añana,Watts per capita,Añana,36.1
2010,,,,Añana,Watts per capita,Añana,34.7
2020,,,,Añana,Watts per capita,Añana,34.3
2021,,,,Añana,Watts per capita,Añana,33.7
2023,,,,Arakaldo,Watts per capita,Arakaldo,36.0
2016,,,,Arakaldo,Watts per capita,Arakaldo,0.0
2019,,,,Arakaldo,Watts per capita,Arakaldo,0.0
2022,,,,Arakaldo,Watts per capita,Arakaldo,35.4
2013,,,,Arakaldo,Watts per capita,Arakaldo,0.0
2017,,,,Arakaldo,Watts per capita,Arakaldo,0.0
2014,,,,Arakaldo,Watts per capita,Arakaldo,0.0
2020,,,,Arakaldo,Watts per capita,Arakaldo,0.0
2018,,,,Arakaldo,Watts per capita,Arakaldo,0.0
2010,,,,Arakaldo,Watts per capita,Arakaldo,0.0
2021,,,,Arakaldo,Watts per capita,Arakaldo,37.3
2015,,,,Arakaldo,Watts per capita,Arakaldo,0.0
2011,,,,Arakaldo,Watts per capita,Arakaldo,0.0
2012,,,,Arakaldo,Watts per capita,Arakaldo,0.0
2017,,,,Arama,Watts per capita,Arama,110.0
2013,,,,Arama,Watts per capita,Arama,104.5
2021,,,,Arama,Watts per capita,Arama,116.2
2012,,,,Arama,Watts per capita,Arama,104.5
2011,,,,Arama,Watts per capita,Arama,115.0
2015,,,,Arama,Watts per capita,Arama,109.5
2018,,,,Arama,Watts per capita,Arama,113.9
2023,,,,Arama,Watts per capita,Arama,143.8
2022,,,,Arama,Watts per capita,Arama,117.9
2016,,,,Arama,Watts per capita,Arama,109.0
2014,,,,Arama,Watts per capita,Arama,108.0
2010,,,,Arama,Watts per capita,Arama,0.0
2020,,,,Arama,Watts per capita,Arama,112.2
2019,,,,Arama,Watts per capita,Arama,112.7
2019,,,,Aramaio,Watts per capita,Aramaio,73.0
2020,,,,Aramaio,Watts per capita,Aramaio,74.6
2018,,,,Aramaio,Watts per capita,Aramaio,71.7
2011,,,,Aramaio,Watts per capita,Aramaio,37.5
2010,,,,Aramaio,Watts per capita,Aramaio,38.0
2014,,,,Aramaio,Watts per capita,Aramaio,52.8
2015,,,,Aramaio,Watts per capita,Aramaio,54.0
2022,,,,Aramaio,Watts per capita,Aramaio,95.4
2013,,,,Aramaio,Watts per capita,Aramaio,52.6
2017,,,,Aramaio,Watts per capita,Aramaio,54.6
2016,,,,Aramaio,Watts per capita,Aramaio,54.7
2012,,,,Aramaio,Watts per capita,Aramaio,44.8
2023,,,,Aramaio,Watts per capita,Aramaio,228.0
2021,,,,Aramaio,Watts per capita,Aramaio,83.0
2014,,,,Arantzazu,Watts per capita,Arantzazu,18.2
2020,,,,Arantzazu,Watts per capita,Arantzazu,27.1
2018,,,,Arantzazu,Watts per capita,Arantzazu,19.6
2011,,,,Arantzazu,Watts per capita,Arantzazu,16.6
2015,,,,Arantzazu,Watts per capita,Arantzazu,19.6
2021,,,,Arantzazu,Watts per capita,Arantzazu,38.6
2012,,,,Arantzazu,Watts per capita,Arantzazu,17.4
2016,,,,Arantzazu,Watts per capita,Arantzazu,19.8
2019,,,,Arantzazu,Watts per capita,Arantzazu,19.1
2013,,,,Arantzazu,Watts per capita,Arantzazu,19.2
2010,,,,Arantzazu,Watts per capita,Arantzazu,17.1
2022,,,,Arantzazu,Watts per capita,Arantzazu,39.3
2023,,,,Arantzazu,Watts per capita,Arantzazu,323.4
2017,,,,Arantzazu,Watts per capita,Arantzazu,20.1
2016,,,,Areatza,Watts per capita,Areatza,36.7
2012,,,,Areatza,Watts per capita,Areatza,33.9
2020,,,,Areatza,Watts per capita,Areatza,62.6
2014,,,,Areatza,Watts per capita,Areatza,37.9
2017,,,,Areatza,Watts per capita,Areatza,36.2
2021,,,,Areatza,Watts per capita,Areatza,65.2
2015,,,,Areatza,Watts per capita,Areatza,37.0
2022,,,,Areatza,Watts per capita,Areatza,65.3
2018,,,,Areatza,Watts per capita,Areatza,36.4
2011,,,,Areatza,Watts per capita,Areatza,34.1
2013,,,,Areatza,Watts per capita,Areatza,34.7
2010,,,,Areatza,Watts per capita,Areatza,29.3
2023,,,,Areatza,Watts per capita,Areatza,75.4
2019,,,,Areatza,Watts per capita,Areatza,35.9
2023,,,,Aretxabaleta,Watts per capita,Aretxabaleta,351.5
2011,,,,Aretxabaleta,Watts per capita,Aretxabaleta,306.2
2019,,,,Aretxabaleta,Watts per capita,Aretxabaleta,329.7
2016,,,,Aretxabaleta,Watts per capita,Aretxabaleta,317.9
2018,,,,Aretxabaleta,Watts per capita,Aretxabaleta,327.2
2010,,,,Aretxabaleta,Watts per capita,Aretxabaleta,308.4
2020,,,,Aretxabaleta,Watts per capita,Aretxabaleta,329.6
2021,,,,Aretxabaleta,Watts per capita,Aretxabaleta,335.0
2017,,,,Aretxabaleta,Watts per capita,Aretxabaleta,318.4
2012,,,,Aretxabaleta,Watts per capita,Aretxabaleta,319.6
2013,,,,Aretxabaleta,Watts per capita,Aretxabaleta,316.5
2015,,,,Aretxabaleta,Watts per capita,Aretxabaleta,317.2
2014,,,,Aretxabaleta,Watts per capita,Aretxabaleta,317.7
2022,,,,Aretxabaleta,Watts per capita,Aretxabaleta,334.3
2019,,,,Armiñón,Watts per capita,Armiñón,449.3
2010,,,,Armiñón,Watts per capita,Armiñón,497.5
2016,,,,Armiñón,Watts per capita,Armiñón,445.3
2023,,,,Armiñón,Watts per capita,Armiñón,421.0
2018,,,,Armiñón,Watts per capita,Armiñón,449.3
2012,,,,Armiñón,Watts per capita,Armiñón,458.7
2013,,,,Armiñón,Watts per capita,Armiñón,435.7
2015,,,,Armiñón,Watts per capita,Armiñón,451.4
2014,,,,Armiñón,Watts per capita,Armiñón,440.5
2021,,,,Armiñón,Watts per capita,Armiñón,439.5
2022,,,,Armiñón,Watts per capita,Armiñón,445.3
2017,,,,Armiñón,Watts per capita,Armiñón,468.2
2011,,,,Armiñón,Watts per capita,Armiñón,478.5
2020,,,,Armiñón,Watts per capita,Armiñón,447.3
2016,,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,69.2
2019,,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,187.2
2017,,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,69.6
2010,,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,43.3
2011,,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,42.5
2013,,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,58.0
2018,,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,78.4
2012,,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,56.4
2020,,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,182.0
2014,,,,Arraia-Maeztu,Watts per capita,Arraia-Maeztu,62.1
