Year,Sexua,Units,Value
2014,,%,18.5
2016,,%,16.4
2024,,%,17.8
2018,,%,17.7
2008,,%,14.8
2022,,%,16.5
2020,,%,17.8
2012,,%,15.4
2012,Emakumea,%,16.7
2014,Emakumea,%,19.4
2016,Emakumea,%,17.6
2008,Emakumea,%,16.6
2020,Emakumea,%,18.9
2018,Emakumea,%,18.8
2022,Emakumea,%,17.7
2016,Gizona,%,15.1
2012,Gizona,%,14.0
2008,Gizona,%,12.9
2018,Gizona,%,16.5
2020,Gizona,%,16.6
2014,Gizona,%,17.6
2022,Gizona,%,15.2
