Year,Units,Value
2010,Indizea,27.77
2011,Indizea,14.35
2012,Indizea,20.93
2013,Indizea,10.21
2014,Indizea,9.14
2015,Indizea,11.32
2016,Indizea,11.07
2017,Indizea,16.14
2018,Indizea,12.75
2019,Indizea,18.58
2020,Indizea,4.45
2021,Indizea,13.03
2022,Indizea,21.02
2023,Indizea,4.19
