Year,Lanbidea,Lan-egoera,Sexua,Lurralde historikoa,Units,Value
2012,,,,Bizkaia,10.000 biztanleko,150.9
2020,,,,Bizkaia,10.000 biztanleko,176.0
2010,,Ez erretiratuak,,Bizkaia,10.000 biztanleko,138.6
2021,,Erretiratuak,,Bizkaia,10.000 biztanleko,14.4
2013,,Erretiratuak,,Bizkaia,10.000 biztanleko,6.3
2022,,Erretiratuak,,Bizkaia,10.000 biztanleko,14.6
2014,,Erretiratuak,,Bizkaia,10.000 biztanleko,6.6
2018,,,,Bizkaia,10.000 biztanleko,168.2
2024,,Ez erretiratuak,,Bizkaia,10.000 biztanleko,169.1
2010,,Erretiratuak,,Bizkaia,10.000 biztanleko,5.4
2023,,,,Bizkaia,10.000 biztanleko,184.4
2022,,,,Bizkaia,10.000 biztanleko,181.0
2016,,Erretiratuak,,Bizkaia,10.000 biztanleko,7.9
2017,,,,Bizkaia,10.000 biztanleko,165.0
2020,,Ez erretiratuak,,Bizkaia,10.000 biztanleko,162.5
2024,,Erretiratuak,,Bizkaia,10.000 biztanleko,18.0
2011,,,,Bizkaia,10.000 biztanleko,148.2
2011,,Ez erretiratuak,,Bizkaia,10.000 biztanleko,134.2
2012,,Ez erretiratuak,,Bizkaia,10.000 biztanleko,144.2
2014,,Ez erretiratuak,,Bizkaia,10.000 biztanleko,148.9
2012,,Erretiratuak,,Bizkaia,10.000 biztanleko,6.3
2023,,Ez erretiratuak,,Bizkaia,10.000 biztanleko,167.5
2015,,Erretiratuak,,Bizkaia,10.000 biztanleko,7.1
2017,,Ez erretiratuak,,Bizkaia,10.000 biztanleko,155.6
2013,,,,Bizkaia,10.000 biztanleko,153.3
2010,,,,Bizkaia,10.000 biztanleko,144.3
2023,,Erretiratuak,,Bizkaia,10.000 biztanleko,16.8
2013,,Ez erretiratuak,,Bizkaia,10.000 biztanleko,146.5
2011,,Erretiratuak,,Bizkaia,10.000 biztanleko,5.8
2024,,,,Bizkaia,10.000 biztanleko,187.2
2019,,Erretiratuak,,Bizkaia,10.000 biztanleko,11.8
2020,,,,Gipuzkoa,10.000 biztanleko,161.9
2019,,Erretiratuak,,Gipuzkoa,10.000 biztanleko,11.7
2022,,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,151.3
2021,,Erretiratuak,,Gipuzkoa,10.000 biztanleko,14.0
2015,,Erretiratuak,,Gipuzkoa,10.000 biztanleko,8.0
2019,,,,Gipuzkoa,10.000 biztanleko,157.3
