Year,Lanbidea,Lan-egoera,Sexua,Lurralde historikoa,Units,Value
2012,,,Gizona,Araba / Álava,10.000 biztanleko,76.3
2021,,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,17.1
2011,,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,62.9
2016,,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,12.5
2018,,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,14.5
2020,,,Gizona,Araba / Álava,10.000 biztanleko,85.1
2020,,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,68.8
2022,,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,66.9
2017,,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,68.1
2013,,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,9.0
2020,,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,16.3
2010,,,Gizona,Araba / Álava,10.000 biztanleko,75.2
2017,,,Gizona,Araba / Álava,10.000 biztanleko,81.8
2015,,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,68.4
2024,,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,67.3
2023,,,Gizona,Araba / Álava,10.000 biztanleko,86.2
2018,,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,68.1
2018,,,Gizona,Araba / Álava,10.000 biztanleko,82.6
2013,,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,67.9
2010,,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,7.2
2015,,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,11.0
2023,,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,19.4
2024,,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,19.2
2014,,,Gizona,Araba / Álava,10.000 biztanleko,78.6
2019,,,Gizona,Araba / Álava,10.000 biztanleko,83.9
2011,,,Gizona,Araba / Álava,10.000 biztanleko,76.3
2017,,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,13.7
2023,,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,66.8
2021,,,Gizona,Araba / Álava,10.000 biztanleko,86.3
2013,,,Gizona,Araba / Álava,10.000 biztanleko,77.0
2014,,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,9.7
2012,,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,8.0
2016,,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,68.1
2014,,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,68.9
2019,,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,68.6
2022,,,Gizona,Araba / Álava,10.000 biztanleko,85.6
2016,,,Gizona,Araba / Álava,10.000 biztanleko,80.6
2012,,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,68.3
2019,,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,15.3
2015,,,Gizona,Araba / Álava,10.000 biztanleko,79.4
2024,,,Gizona,Araba / Álava,10.000 biztanleko,86.5
2010,,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,67.7
2017,,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,82.1
2011,,,Gizona,Bizkaia,10.000 biztanleko,90.5
2011,,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,72.6
2016,,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,82.3
2013,,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,80.7
2014,,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,10.5
2019,,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,82.1
2022,,,Gizona,Bizkaia,10.000 biztanleko,103.7
2012,,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,79.3
2015,,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,10.9
2010,,,Gizona,Bizkaia,10.000 biztanleko,89.3
2017,,,Gizona,Bizkaia,10.000 biztanleko,95.2
2022,,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,19.5
2021,,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,19.0
2021,,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,83.9
2012,,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,10.1
2023,,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,21.9
2017,,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,12.9
2015,,,Gizona,Bizkaia,10.000 biztanleko,92.9
2018,,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,83.0
2021,,,Gizona,Bizkaia,10.000 biztanleko,102.9
2012,,,Gizona,Bizkaia,10.000 biztanleko,89.5
2020,,,Gizona,Bizkaia,10.000 biztanleko,101.6
2018,,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,14.0
2013,,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,10.0
2024,,,Gizona,Bizkaia,10.000 biztanleko,106.6
2024,,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,23.2
2016,,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,11.7
2023,,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,83.8
2020,,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,83.8
2019,,,Gizona,Bizkaia,10.000 biztanleko,98.5
2011,,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,9.3
2010,,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,8.8
2018,,,Gizona,Bizkaia,10.000 biztanleko,97.1
2014,,,Gizona,Bizkaia,10.000 biztanleko,92.2
2013,,,Gizona,Bizkaia,10.000 biztanleko,90.9
2022,,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,84.2
2010,,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,80.3
2024,,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,83.4
2023,,,Gizona,Bizkaia,10.000 biztanleko,105.7
2016,,,Gizona,Bizkaia,10.000 biztanleko,94.2
2014,,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,81.5
2019,,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,16.3
2015,,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,81.7
2020,,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,17.7
2021,,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,17.4
2015,,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,11.5
2020,,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,63.4
2018,,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,63.4
2016,,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,11.9
2014,,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,10.0
2010,,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,6.8
2012,,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,9.0
2015,,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,64.3
2022,,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,18.4
2016,,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,64.6
2024,,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,23.4
2022,,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,63.3
2021,,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,62.9
2012,,,Gizona,Gipuzkoa,10.000 biztanleko,78.3
2013,,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,9.4
2013,,,Gizona,Gipuzkoa,10.000 biztanleko,75.1
2019,,,Gizona,Gipuzkoa,10.000 biztanleko,78.5
2022,,,Gizona,Gipuzkoa,10.000 biztanleko,81.7
2023,,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,25.3
2016,,,Gizona,Gipuzkoa,10.000 biztanleko,76.5
2010,,,Gizona,Gipuzkoa,10.000 biztanleko,74.2
2014,,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,65.4
2015,,,Gizona,Gipuzkoa,10.000 biztanleko,75.8
2020,,,Gizona,Gipuzkoa,10.000 biztanleko,79.6
2011,,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,6.8
2013,,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,65.7
2020,,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,16.2
2023,,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,61.9
2021,,,Gizona,Gipuzkoa,10.000 biztanleko,80.3
2011,,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,64.5
2010,,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,67.4
2023,,,Gizona,Gipuzkoa,10.000 biztanleko,87.1
2019,,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,14.9
2017,,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,12.6
2019,,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,63.6
2018,,,Gizona,Gipuzkoa,10.000 biztanleko,76.7
2018,,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,13.3
2014,,,Gizona,Gipuzkoa,10.000 biztanleko,75.5
2024,,,Gizona,Gipuzkoa,10.000 biztanleko,84.6
2012,,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,69.4
2017,,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,63.5
2024,,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,61.2
2017,,,Gizona,Gipuzkoa,10.000 biztanleko,76.1
2011,,,Gizona,Gipuzkoa,10.000 biztanleko,79.5
2024,Medikua,Ez erretiratuak,,,10.000 biztanleko,57.6
2024,Medikua,Erretiratuak,,,10.000 biztanleko,15.7
2023,Medikua,Erretiratuak,,,10.000 biztanleko,14.7
2012,Medikua,Erretiratuak,,,10.000 biztanleko,5.0
2022,Medikua,,,,10.000 biztanleko,70.3
2012,Medikua,Ez erretiratuak,,,10.000 biztanleko,52.1
2017,Medikua,Ez erretiratuak,,,10.000 biztanleko,54.1
2010,Medikua,,,,10.000 biztanleko,54.3
2020,Medikua,Erretiratuak,,,10.000 biztanleko,11.3
2011,Medikua,Ez erretiratuak,,,10.000 biztanleko,51.2
2011,Medikua,Erretiratuak,,,10.000 biztanleko,4.3
2013,Medikua,Erretiratuak,,,10.000 biztanleko,5.2
2014,Medikua,Erretiratuak,,,10.000 biztanleko,5.7
2021,Medikua,Erretiratuak,,,10.000 biztanleko,12.4
2022,Medikua,Ez erretiratuak,,,10.000 biztanleko,57.1
2019,Medikua,Erretiratuak,,,10.000 biztanleko,10.3
2012,Medikua,,,,10.000 biztanleko,57.1
2014,Medikua,Ez erretiratuak,,,10.000 biztanleko,53.6
2022,Medikua,Erretiratuak,,,10.000 biztanleko,13.1
2019,Medikua,Ez erretiratuak,,,10.000 biztanleko,54.8
2018,Medikua,,,,10.000 biztanleko,63.4
2024,Medikua,,,,10.000 biztanleko,73.2
2017,Medikua,,,,10.000 biztanleko,62.1
2018,Medikua,Erretiratuak,,,10.000 biztanleko,8.8
2015,Medikua,Ez erretiratuak,,,10.000 biztanleko,53.7
2016,Medikua,Ez erretiratuak,,,10.000 biztanleko,53.9
2013,Medikua,Ez erretiratuak,,,10.000 biztanleko,53.1
2023,Medikua,Ez erretiratuak,,,10.000 biztanleko,57.1
2011,Medikua,,,,10.000 biztanleko,55.6
2010,Medikua,Ez erretiratuak,,,10.000 biztanleko,50.2
2021,Medikua,,,,10.000 biztanleko,68.9
2015,Medikua,Erretiratuak,,,10.000 biztanleko,6.3
2023,Medikua,,,,10.000 biztanleko,71.8
2016,Medikua,Erretiratuak,,,10.000 biztanleko,7.1
2016,Medikua,,,,10.000 biztanleko,61.0
2021,Medikua,Ez erretiratuak,,,10.000 biztanleko,56.5
2020,Medikua,Ez erretiratuak,,,10.000 biztanleko,55.8
2014,Medikua,,,,10.000 biztanleko,59.3
2018,Medikua,Ez erretiratuak,,,10.000 biztanleko,54.6
2015,Medikua,,,,10.000 biztanleko,60.0
2017,Medikua,Erretiratuak,,,10.000 biztanleko,7.9
2010,Medikua,Erretiratuak,,,10.000 biztanleko,4.1
2020,Medikua,,,,10.000 biztanleko,67.1
2019,Medikua,,,,10.000 biztanleko,65.0
2013,Medikua,,,,10.000 biztanleko,58.2
2010,Medikua,Ez erretiratuak,,Araba / Álava,10.000 biztanleko,47.9
2020,Medikua,Erretiratuak,,Araba / Álava,10.000 biztanleko,10.9
2016,Medikua,Erretiratuak,,Araba / Álava,10.000 biztanleko,7.5
2010,Medikua,Erretiratuak,,Araba / Álava,10.000 biztanleko,3.7
2018,Medikua,,,Araba / Álava,10.000 biztanleko,59.2
2023,Medikua,Ez erretiratuak,,Araba / Álava,10.000 biztanleko,50.8
2011,Medikua,Erretiratuak,,Araba / Álava,10.000 biztanleko,3.7
2020,Medikua,Ez erretiratuak,,Araba / Álava,10.000 biztanleko,50.4
2017,Medikua,Erretiratuak,,Araba / Álava,10.000 biztanleko,8.4
2014,Medikua,Erretiratuak,,Araba / Álava,10.000 biztanleko,5.3
2015,Medikua,,,Araba / Álava,10.000 biztanleko,57.9
2013,Medikua,Ez erretiratuak,,Araba / Álava,10.000 biztanleko,51.8
2024,Medikua,Erretiratuak,,Araba / Álava,10.000 biztanleko,14.2
2017,Medikua,Ez erretiratuak,,Araba / Álava,10.000 biztanleko,50.6
2011,Medikua,Ez erretiratuak,,Araba / Álava,10.000 biztanleko,49.8
2019,Medikua,Erretiratuak,,Araba / Álava,10.000 biztanleko,10.2
2022,Medikua,Ez erretiratuak,,Araba / Álava,10.000 biztanleko,50.5
2023,Medikua,Erretiratuak,,Araba / Álava,10.000 biztanleko,13.8
2015,Medikua,Erretiratuak,,Araba / Álava,10.000 biztanleko,6.3
2024,Medikua,Ez erretiratuak,,Araba / Álava,10.000 biztanleko,51.9
2018,Medikua,Ez erretiratuak,,Araba / Álava,10.000 biztanleko,50.2
2013,Medikua,Erretiratuak,,Araba / Álava,10.000 biztanleko,4.7
2012,Medikua,,,Araba / Álava,10.000 biztanleko,55.4
2012,Medikua,Erretiratuak,,Araba / Álava,10.000 biztanleko,4.0
2019,Medikua,Ez erretiratuak,,Araba / Álava,10.000 biztanleko,50.1
2023,Medikua,,,Araba / Álava,10.000 biztanleko,64.7
2010,Medikua,,,Araba / Álava,10.000 biztanleko,51.6
2014,Medikua,,,Araba / Álava,10.000 biztanleko,57.6
2019,Medikua,,,Araba / Álava,10.000 biztanleko,60.3
2012,Medikua,Ez erretiratuak,,Araba / Álava,10.000 biztanleko,51.3
2018,Medikua,Erretiratuak,,Araba / Álava,10.000 biztanleko,9.1
2014,Medikua,Ez erretiratuak,,Araba / Álava,10.000 biztanleko,52.3
2011,Medikua,,,Araba / Álava,10.000 biztanleko,53.4
2024,Medikua,,,Araba / Álava,10.000 biztanleko,66.1
2016,Medikua,,,Araba / Álava,10.000 biztanleko,58.6
2016,Medikua,Ez erretiratuak,,Araba / Álava,10.000 biztanleko,51.1
2017,Medikua,,,Araba / Álava,10.000 biztanleko,59.1
2013,Medikua,,,Araba / Álava,10.000 biztanleko,56.5
2021,Medikua,,,Araba / Álava,10.000 biztanleko,62.6
2021,Medikua,Ez erretiratuak,,Araba / Álava,10.000 biztanleko,51.1
2021,Medikua,Erretiratuak,,Araba / Álava,10.000 biztanleko,11.5
2022,Medikua,,,Araba / Álava,10.000 biztanleko,63.5
2020,Medikua,,,Araba / Álava,10.000 biztanleko,61.3
2015,Medikua,Ez erretiratuak,,Araba / Álava,10.000 biztanleko,51.7
2022,Medikua,Erretiratuak,,Araba / Álava,10.000 biztanleko,13.0
2024,Medikua,,,Bizkaia,10.000 biztanleko,79.6
2021,Medikua,Ez erretiratuak,,Bizkaia,10.000 biztanleko,61.1
2018,Medikua,Ez erretiratuak,,Bizkaia,10.000 biztanleko,59.1
2022,Medikua,Ez erretiratuak,,Bizkaia,10.000 biztanleko,62.4
2024,Medikua,Ez erretiratuak,,Bizkaia,10.000 biztanleko,62.8
2014,Medikua,Erretiratuak,,Bizkaia,10.000 biztanleko,5.7
2023,Medikua,Ez erretiratuak,,Bizkaia,10.000 biztanleko,62.3
2013,Medikua,,,Bizkaia,10.000 biztanleko,61.5
2017,Medikua,,,Bizkaia,10.000 biztanleko,66.2
2017,Medikua,Ez erretiratuak,,Bizkaia,10.000 biztanleko,58.2
2022,Medikua,Erretiratuak,,Bizkaia,10.000 biztanleko,13.6
2013,Medikua,Erretiratuak,,Bizkaia,10.000 biztanleko,5.4
2020,Medikua,Ez erretiratuak,,Bizkaia,10.000 biztanleko,60.4
2015,Medikua,Ez erretiratuak,,Bizkaia,10.000 biztanleko,57.3
2019,Medikua,Ez erretiratuak,,Bizkaia,10.000 biztanleko,59.1
2019,Medikua,,,Bizkaia,10.000 biztanleko,70.0
2015,Medikua,,,Bizkaia,10.000 biztanleko,63.6
2010,Medikua,Ez erretiratuak,,Bizkaia,10.000 biztanleko,52.6
2016,Medikua,,,Bizkaia,10.000 biztanleko,64.8
2020,Medikua,,,Bizkaia,10.000 biztanleko,72.5
2017,Medikua,Erretiratuak,,Bizkaia,10.000 biztanleko,8.0
2012,Medikua,,,Bizkaia,10.000 biztanleko,60.1
2011,Medikua,,,Bizkaia,10.000 biztanleko,58.5
2023,Medikua,,,Bizkaia,10.000 biztanleko,78.0
2019,Medikua,Erretiratuak,,Bizkaia,10.000 biztanleko,10.9
2016,Medikua,Ez erretiratuak,,Bizkaia,10.000 biztanleko,57.8
2022,Medikua,,,Bizkaia,10.000 biztanleko,75.9
2014,Medikua,Ez erretiratuak,,Bizkaia,10.000 biztanleko,56.8
2020,Medikua,Erretiratuak,,Bizkaia,10.000 biztanleko,12.1
2021,Medikua,Erretiratuak,,Bizkaia,10.000 biztanleko,13.4
2023,Medikua,Erretiratuak,,Bizkaia,10.000 biztanleko,15.7
2014,Medikua,,,Bizkaia,10.000 biztanleko,62.6
2012,Medikua,Ez erretiratuak,,Bizkaia,10.000 biztanleko,54.7
2013,Medikua,Ez erretiratuak,,Bizkaia,10.000 biztanleko,56.1
2011,Medikua,Ez erretiratuak,,Bizkaia,10.000 biztanleko,53.6
2021,Medikua,,,Bizkaia,10.000 biztanleko,74.4
2010,Medikua,,,Bizkaia,10.000 biztanleko,57.2
2018,Medikua,Erretiratuak,,Bizkaia,10.000 biztanleko,9.0
2016,Medikua,Erretiratuak,,Bizkaia,10.000 biztanleko,7.0
2024,Medikua,Erretiratuak,,Bizkaia,10.000 biztanleko,16.8
2015,Medikua,Erretiratuak,,Bizkaia,10.000 biztanleko,6.3
2012,Medikua,Erretiratuak,,Bizkaia,10.000 biztanleko,5.4
2010,Medikua,Erretiratuak,,Bizkaia,10.000 biztanleko,4.6
2018,Medikua,,,Bizkaia,10.000 biztanleko,68.1
2011,Medikua,Erretiratuak,,Bizkaia,10.000 biztanleko,4.9
2014,Medikua,,,Gipuzkoa,10.000 biztanleko,54.8
2018,Medikua,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,49.5
2020,Medikua,,,Gipuzkoa,10.000 biztanleko,61.2
2013,Medikua,,,Gipuzkoa,10.000 biztanleko,53.8
2015,Medikua,Erretiratuak,,Gipuzkoa,10.000 biztanleko,6.5
2022,Medikua,,,Gipuzkoa,10.000 biztanleko,64.4
2021,Medikua,Erretiratuak,,Gipuzkoa,10.000 biztanleko,11.3
2021,Medikua,,,Gipuzkoa,10.000 biztanleko,63.0
2013,Medikua,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,48.8
2024,Medikua,,,Gipuzkoa,10.000 biztanleko,66.3
2010,Medikua,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,47.3
2024,Medikua,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,51.9
2015,Medikua,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,48.9
2022,Medikua,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,51.8
2014,Medikua,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,49.1
2020,Medikua,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,51.0
2016,Medikua,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,49.0
2017,Medikua,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,49.3
2011,Medikua,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,47.9
2012,Medikua,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,48.2
2016,Medikua,,,Gipuzkoa,10.000 biztanleko,55.9
2019,Medikua,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,49.9
2012,Medikua,Erretiratuak,,Gipuzkoa,10.000 biztanleko,4.7
2023,Medikua,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,51.7
2010,Medikua,,,Gipuzkoa,10.000 biztanleko,50.9
2018,Medikua,,,Gipuzkoa,10.000 biztanleko,57.9
2017,Medikua,Erretiratuak,,Gipuzkoa,10.000 biztanleko,7.6
2020,Medikua,Erretiratuak,,Gipuzkoa,10.000 biztanleko,10.3
2019,Medikua,Erretiratuak,,Gipuzkoa,10.000 biztanleko,9.4
2014,Medikua,Erretiratuak,,Gipuzkoa,10.000 biztanleko,5.7
2023,Medikua,Erretiratuak,,Gipuzkoa,10.000 biztanleko,13.5
2024,Medikua,Erretiratuak,,Gipuzkoa,10.000 biztanleko,14.4
2022,Medikua,Erretiratuak,,Gipuzkoa,10.000 biztanleko,12.5
2012,Medikua,,,Gipuzkoa,10.000 biztanleko,52.9
2018,Medikua,Erretiratuak,,Gipuzkoa,10.000 biztanleko,8.3
2013,Medikua,Erretiratuak,,Gipuzkoa,10.000 biztanleko,5.0
2011,Medikua,,,Gipuzkoa,10.000 biztanleko,51.8
2011,Medikua,Erretiratuak,,Gipuzkoa,10.000 biztanleko,3.7
2023,Medikua,,,Gipuzkoa,10.000 biztanleko,65.2
2016,Medikua,Erretiratuak,,Gipuzkoa,10.000 biztanleko,6.9
2010,Medikua,Erretiratuak,,Gipuzkoa,10.000 biztanleko,3.5
2019,Medikua,,,Gipuzkoa,10.000 biztanleko,59.3
2021,Medikua,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,51.7
2017,Medikua,,,Gipuzkoa,10.000 biztanleko,56.9
2015,Medikua,,,Gipuzkoa,10.000 biztanleko,55.3
2021,Medikua,,Emakumea,,10.000 biztanleko,75.4
2023,Medikua,Ez erretiratuak,Emakumea,,10.000 biztanleko,70.1
2021,Medikua,Erretiratuak,Emakumea,,10.000 biztanleko,8.1
2011,Medikua,,Emakumea,,10.000 biztanleko,54.3
2017,Medikua,,Emakumea,,10.000 biztanleko,64.9
2010,Medikua,,Emakumea,,10.000 biztanleko,52.3
2014,Medikua,Ez erretiratuak,Emakumea,,10.000 biztanleko,57.9
2011,Medikua,Ez erretiratuak,Emakumea,,10.000 biztanleko,52.9
2020,Medikua,Ez erretiratuak,Emakumea,,10.000 biztanleko,65.5
2018,Medikua,,Emakumea,,10.000 biztanleko,66.9
2015,Medikua,,Emakumea,,10.000 biztanleko,61.6
2022,Medikua,Ez erretiratuak,Emakumea,,10.000 biztanleko,68.9
2024,Medikua,Erretiratuak,Emakumea,,10.000 biztanleko,11.2
2012,Medikua,Erretiratuak,Emakumea,,10.000 biztanleko,1.8
2021,Medikua,Ez erretiratuak,Emakumea,,10.000 biztanleko,67.3
2015,Medikua,Ez erretiratuak,Emakumea,,10.000 biztanleko,58.9
2017,Medikua,Ez erretiratuak,Emakumea,,10.000 biztanleko,60.7
2018,Medikua,Erretiratuak,Emakumea,,10.000 biztanleko,4.9
2024,Medikua,Ez erretiratuak,Emakumea,,10.000 biztanleko,71.6
2022,Medikua,,Emakumea,,10.000 biztanleko,77.7
2020,Medikua,Erretiratuak,Emakumea,,10.000 biztanleko,7.0
2014,Medikua,Erretiratuak,Emakumea,,10.000 biztanleko,2.2
2016,Medikua,Ez erretiratuak,Emakumea,,10.000 biztanleko,59.7
2016,Medikua,,Emakumea,,10.000 biztanleko,63.1
2016,Medikua,Erretiratuak,Emakumea,,10.000 biztanleko,3.4
2010,Medikua,Erretiratuak,Emakumea,,10.000 biztanleko,1.1
2014,Medikua,,Emakumea,,10.000 biztanleko,60.1
2022,Medikua,Erretiratuak,Emakumea,,10.000 biztanleko,8.8
2020,Medikua,,Emakumea,,10.000 biztanleko,72.5
2023,Medikua,Erretiratuak,Emakumea,,10.000 biztanleko,10.2
2023,Medikua,,Emakumea,,10.000 biztanleko,80.3
2019,Medikua,Ez erretiratuak,Emakumea,,10.000 biztanleko,63.2
2019,Medikua,,Emakumea,,10.000 biztanleko,69.4
2012,Medikua,,Emakumea,,10.000 biztanleko,56.8
2012,Medikua,Ez erretiratuak,Emakumea,,10.000 biztanleko,55.0
2013,Medikua,Erretiratuak,Emakumea,,10.000 biztanleko,1.8
2013,Medikua,,Emakumea,,10.000 biztanleko,58.6
2018,Medikua,Ez erretiratuak,Emakumea,,10.000 biztanleko,61.9
2010,Medikua,Ez erretiratuak,Emakumea,,10.000 biztanleko,51.2
2011,Medikua,Erretiratuak,Emakumea,,10.000 biztanleko,1.4
2019,Medikua,Erretiratuak,Emakumea,,10.000 biztanleko,6.3
2013,Medikua,Ez erretiratuak,Emakumea,,10.000 biztanleko,56.8
2017,Medikua,Erretiratuak,Emakumea,,10.000 biztanleko,4.2
2024,Medikua,,Emakumea,,10.000 biztanleko,82.8
2015,Medikua,Erretiratuak,Emakumea,,10.000 biztanleko,2.7
2018,Medikua,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,4.4
2016,Medikua,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,60.1
2017,Medikua,,Emakumea,Araba / Álava,10.000 biztanleko,63.4
2017,Medikua,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,59.6
2024,Medikua,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,9.9
2015,Medikua,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,2.1
2017,Medikua,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,3.9
2018,Medikua,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,59.7
2010,Medikua,,Emakumea,Araba / Álava,10.000 biztanleko,52.4
2020,Medikua,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,6.3
2019,Medikua,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,5.8
2012,Medikua,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,56.9
2011,Medikua,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,0.6
2022,Medikua,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,8.0
2012,Medikua,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,0.6
2024,Medikua,,Emakumea,Araba / Álava,10.000 biztanleko,77.3
2020,Medikua,,Emakumea,Araba / Álava,10.000 biztanleko,67.6
2019,Medikua,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,60.0
2023,Medikua,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,65.2
2020,Medikua,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,61.3
2011,Medikua,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,54.0
2014,Medikua,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,59.6
2022,Medikua,,Emakumea,Araba / Álava,10.000 biztanleko,72.0
2021,Medikua,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,6.7
