Year,Oinarrizko zerbitzuak,Units,Value
2010,Elektrizitatea,%,100.0
2022,Elektrizitatea,%,100.0
2017,Elektrizitatea,%,100.0
2014,Elektrizitatea,%,100.0
2015,Elektrizitatea,%,100.0
2023,Elektrizitatea,%,100.0
2018,Elektrizitatea,%,100.0
2013,Elektrizitatea,%,100.0
2016,Elektrizitatea,%,100.0
2019,Elektrizitatea,%,100.0
2020,Elektrizitatea,%,100.0
2011,Elektrizitatea,%,100.0
2021,Elektrizitatea,%,100.0
2012,Elektrizitatea,%,100.0
2011,Interneterako konexioa,%,99.8
2015,Interneterako konexioa,%,99.8
2021,Interneterako konexioa,%,100.0
2012,Interneterako konexioa,%,99.8
2017,Interneterako konexioa,%,100.0
2019,Interneterako konexioa,%,99.9
2023,Interneterako konexioa,%,99.9
2013,Interneterako konexioa,%,99.5
2016,Interneterako konexioa,%,99.9
2014,Interneterako konexioa,%,99.8
2020,Bainuak sexuaren arabera bereizita,%,100.0
2014,Bainuak sexuaren arabera bereizita,%,100.0
2016,Bainuak sexuaren arabera bereizita,%,100.0
2018,Bainuak sexuaren arabera bereizita,%,100.0
2019,Bainuak sexuaren arabera bereizita,%,100.0
2017,Bainuak sexuaren arabera bereizita,%,100.0
2015,Bainuak sexuaren arabera bereizita,%,100.0
2012,Bainuak sexuaren arabera bereizita,%,100.0
2011,Bainuak sexuaren arabera bereizita,%,100.0
2010,Bainuak sexuaren arabera bereizita,%,100.0
2013,Bainuak sexuaren arabera bereizita,%,100.0
2021,Bainuak sexuaren arabera bereizita,%,100.0
2022,Bainuak sexuaren arabera bereizita,%,100.0
2023,Bainuak sexuaren arabera bereizita,%,100.0
2010,Edateko ura,%,100.0
2016,Edateko ura,%,100.0
2011,Edateko ura,%,100.0
2012,Edateko ura,%,100.0
2013,Edateko ura,%,100.0
2014,Edateko ura,%,100.0
2015,Edateko ura,%,100.0
2017,Edateko ura,%,100.0
2018,Edateko ura,%,100.0
2019,Edateko ura,%,100.0
2020,Edateko ura,%,100.0
2021,Edateko ura,%,100.0
2022,Edateko ura,%,100.0
2023,Edateko ura,%,100.0
2010,Eskuak garbitzeko lekua,%,100.0
2011,Eskuak garbitzeko lekua,%,100.0
2012,Eskuak garbitzeko lekua,%,100.0
2013,Eskuak garbitzeko lekua,%,100.0
2014,Eskuak garbitzeko lekua,%,100.0
2015,Eskuak garbitzeko lekua,%,100.0
2016,Eskuak garbitzeko lekua,%,100.0
2017,Eskuak garbitzeko lekua,%,100.0
2018,Eskuak garbitzeko lekua,%,100.0
2019,Eskuak garbitzeko lekua,%,100.0
2020,Eskuak garbitzeko lekua,%,100.0
2021,Eskuak garbitzeko lekua,%,100.0
2022,Eskuak garbitzeko lekua,%,100.0
2023,Eskuak garbitzeko lekua,%,100.0
