Year,Sexua,Lurralde historikoa,Units,Value
2021,Emakumea,Bizkaia,Bizirik jaiotako 1.000 umeko,2.7
2013,Emakumea,Bizkaia,Bizirik jaiotako 1.000 umeko,2.75
2012,Emakumea,Bizkaia,Bizirik jaiotako 1.000 umeko,3.2
2015,Emakumea,Bizkaia,Bizirik jaiotako 1.000 umeko,5.42
2011,Emakumea,Bizkaia,Bizirik jaiotako 1.000 umeko,4.72
2010,Emakumea,Bizkaia,Bizirik jaiotako 1.000 umeko,4.24
2020,Emakumea,Bizkaia,Bizirik jaiotako 1.000 umeko,3.14
2022,Emakumea,Gipuzkoa,Bizirik jaiotako 1.000 umeko,2.8
2021,Emakumea,Gipuzkoa,Bizirik jaiotako 1.000 umeko,2.51
2020,Emakumea,Gipuzkoa,Bizirik jaiotako 1.000 umeko,2.87
2019,Emakumea,Gipuzkoa,Bizirik jaiotako 1.000 umeko,2.77
2018,Emakumea,Gipuzkoa,Bizirik jaiotako 1.000 umeko,3.41
2017,Emakumea,Gipuzkoa,Bizirik jaiotako 1.000 umeko,1.49
2023,Emakumea,Gipuzkoa,Bizirik jaiotako 1.000 umeko,2.22
2016,Emakumea,Gipuzkoa,Bizirik jaiotako 1.000 umeko,2.73
2015,Emakumea,Gipuzkoa,Bizirik jaiotako 1.000 umeko,1.58
2014,Emakumea,Gipuzkoa,Bizirik jaiotako 1.000 umeko,2.88
2013,Emakumea,Gipuzkoa,Bizirik jaiotako 1.000 umeko,2.61
2012,Emakumea,Gipuzkoa,Bizirik jaiotako 1.000 umeko,3.7
2011,Emakumea,Gipuzkoa,Bizirik jaiotako 1.000 umeko,2.91
2010,Emakumea,Gipuzkoa,Bizirik jaiotako 1.000 umeko,3.66
2021,Gizona,,Bizirik jaiotako 1.000 umeko,3.1
2023,Gizona,,Bizirik jaiotako 1.000 umeko,3.19
2019,Gizona,,Bizirik jaiotako 1.000 umeko,3.8
2013,Gizona,,Bizirik jaiotako 1.000 umeko,2.95
2020,Gizona,,Bizirik jaiotako 1.000 umeko,3.27
2016,Gizona,,Bizirik jaiotako 1.000 umeko,3.43
2015,Gizona,,Bizirik jaiotako 1.000 umeko,3.49
2010,Gizona,,Bizirik jaiotako 1.000 umeko,3.24
2018,Gizona,,Bizirik jaiotako 1.000 umeko,3.52
2017,Gizona,,Bizirik jaiotako 1.000 umeko,3.29
2012,Gizona,,Bizirik jaiotako 1.000 umeko,2.8
2022,Gizona,,Bizirik jaiotako 1.000 umeko,4.7
2014,Gizona,,Bizirik jaiotako 1.000 umeko,2.94
2011,Gizona,,Bizirik jaiotako 1.000 umeko,2.51
2021,Gizona,Araba / Álava,Bizirik jaiotako 1.000 umeko,4.05
2022,Gizona,Araba / Álava,Bizirik jaiotako 1.000 umeko,6.8
