Year,Series,Sexua,Lurralde historikoa,Units,Value
2015,Bizi-itxaropena jaiotzean,Emakumea,Araba / Álava,Urteak,86.5
2012,Bizi-itxaropena jaiotzean,Emakumea,Araba / Álava,Urteak,86.18
2014,Bizi-itxaropena jaiotzean,Emakumea,Araba / Álava,Urteak,86.59
2022,Bizi-itxaropena jaiotzean,Emakumea,Araba / Álava,Urteak,86.26
2021,Bizi-itxaropena jaiotzean,Emakumea,Araba / Álava,Urteak,87.2
2021,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,86.32
2024,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,86.86
2022,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,86.16
2020,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,86.1
2013,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,85.79
2014,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,85.83
2019,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,86.27
2018,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,86.32
2010,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,85.45
2011,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,85.29
2023,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,86.39
2017,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,86.11
2012,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,85.3
2015,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,85.95
2016,Bizi-itxaropena jaiotzean,Emakumea,Bizkaia,Urteak,85.97
2019,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,86.59
2014,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,86.33
2021,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,86.13
2020,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,86.37
2017,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,86.39
2015,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,85.85
2024,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,87.05
2023,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,86.77
2012,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,85.81
2016,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,86.3
2013,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,86.25
2011,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,85.82
2018,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,86.25
2022,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,85.84
2010,Bizi-itxaropena jaiotzean,Emakumea,Gipuzkoa,Urteak,85.49
2024,Bizi-itxaropena jaiotzean,Gizona,,Urteak,81.65
2013,Bizi-itxaropena jaiotzean,Gizona,,Urteak,79.78
2019,Bizi-itxaropena jaiotzean,Gizona,,Urteak,80.82
2023,Bizi-itxaropena jaiotzean,Gizona,,Urteak,81.17
2018,Bizi-itxaropena jaiotzean,Gizona,,Urteak,80.54
2011,Bizi-itxaropena jaiotzean,Gizona,,Urteak,79.08
2012,Bizi-itxaropena jaiotzean,Gizona,,Urteak,79.27
2022,Bizi-itxaropena jaiotzean,Gizona,,Urteak,80.52
2015,Bizi-itxaropena jaiotzean,Gizona,,Urteak,80.08
2021,Bizi-itxaropena jaiotzean,Gizona,,Urteak,80.64
2014,Bizi-itxaropena jaiotzean,Gizona,,Urteak,79.91
2017,Bizi-itxaropena jaiotzean,Gizona,,Urteak,80.37
2016,Bizi-itxaropena jaiotzean,Gizona,,Urteak,80.34
2020,Bizi-itxaropena jaiotzean,Gizona,,Urteak,80.68
2010,Bizi-itxaropena jaiotzean,Gizona,,Urteak,78.88
2010,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,79.68
2024,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,82.1
2017,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,81.28
2016,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,81.38
2023,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,82.05
2022,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,81.37
2011,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,80.14
2018,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,81.22
2015,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,80.84
2014,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,80.51
2020,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,81.34
2013,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,80.58
2012,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,80.54
2021,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,81.3
2019,Bizi-itxaropena jaiotzean,Gizona,Araba / Álava,Urteak,80.97
2011,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,78.53
2024,Bizi-itxaropena jaiotzean,Gizona,Bizkaia,Urteak,81.7
