Year,Lurralde historikoa,Units,Value
2023,,%,22.1
2018,,%,15.6
2013,,%,23.0
2013,Araba / Álava,%,18.9
2018,Araba / Álava,%,7.3
2023,Araba / Álava,%,14.5
2018,Bizkaia,%,12.8
2023,Bizkaia,%,24.9
2013,Bizkaia,%,20.2
2023,Gipuzkoa,%,22.6
2013,Gipuzkoa,%,25.7
2018,Gipuzkoa,%,19.5
