Year,Series,Hondakinen tratamendua,Lurralde historikoa,Units,Value
2017,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Gipuzkoa,%,48.7
2019,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Gipuzkoa,%,59.3
2021,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Gipuzkoa,%,63.4
2022,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Gipuzkoa,%,63.5
2013,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Gipuzkoa,%,31.9
2014,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Gipuzkoa,%,41.9
2016,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Birziklatzea,Gipuzkoa,%,48.4
2021,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,%,32.5
2012,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,%,20.9
2011,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,%,23.3
2022,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,%,33.9
2013,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,%,26.6
2017,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,%,24.3
2014,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,%,25.6
2018,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,%,22.8
2015,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,%,27.9
2020,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,%,30.8
2019,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,%,23.5
2010,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,%,21.4
2016,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",,%,24.7
2013,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,%,3.7
2019,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,%,2.9
2015,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,%,4.3
2016,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,%,4.4
2017,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,%,4.2
2021,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,%,1.6
2014,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,%,3.5
2022,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,%,1.3
2018,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,%,4.4
2020,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Araba / Álava,%,2.1
2020,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,%,42.2
2015,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,%,49.4
2014,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,%,44.2
2013,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,%,43.0
2022,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,%,43.8
2018,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,%,39.6
2019,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,%,41.2
2016,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,%,42.5
2017,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,%,41.9
2021,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Bizkaia,%,41.2
2020,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,%,21.9
2016,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,%,6.9
2014,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,%,7.4
2015,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,%,6.9
2013,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,%,9.3
2022,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,%,29.8
2021,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,%,30.1
2018,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,%,5.6
2017,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,%,5.4
2019,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta","Errausketa, energia berreskurapenarekin",Gipuzkoa,%,1.1
2010,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,%,53.9
2016,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,%,37.3
2020,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,%,21.9
2011,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,%,51.1
2017,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,%,36.4
2014,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,%,41.2
2013,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,%,45.2
2022,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,%,18.6
2019,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,%,31.7
2021,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,%,22.1
2018,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,%,35.7
2012,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,%,50.7
2015,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,,%,35.6
2019,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Araba / Álava,%,58.7
2016,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Araba / Álava,%,61.8
2020,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Araba / Álava,%,58.8
2013,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Araba / Álava,%,72.1
2018,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Araba / Álava,%,64.0
2015,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Araba / Álava,%,65.1
2021,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Araba / Álava,%,59.5
2022,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Araba / Álava,%,53.8
2014,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Araba / Álava,%,69.5
2017,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Araba / Álava,%,64.5
2018,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Bizkaia,%,24.5
2019,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Bizkaia,%,21.0
2016,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Bizkaia,%,26.4
2014,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Bizkaia,%,27.6
2015,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Bizkaia,%,21.9
2017,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Bizkaia,%,23.3
2021,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Bizkaia,%,21.7
2022,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Bizkaia,%,17.0
2020,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Bizkaia,%,19.7
2013,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Bizkaia,%,30.4
2022,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Gipuzkoa,%,6.6
2020,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Gipuzkoa,%,8.8
2021,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Gipuzkoa,%,6.6
2018,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Gipuzkoa,%,41.4
2016,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Gipuzkoa,%,44.7
2019,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Gipuzkoa,%,39.6
2014,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Gipuzkoa,%,50.7
2017,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Gipuzkoa,%,45.9
2013,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Gipuzkoa,%,58.8
2015,"Tratatutako hiri-hondakinen proportzioa, tratamendu-motaren arabera banakatuta",Zabortegia,Gipuzkoa,%,44.8
