Year,Series,Units,Value
2016,Turisten ostatu-gauak biztanleko,Ostatu-gauak biztanleko,12.2
2017,Turisten ostatu-gauak biztanleko,Ostatu-gauak biztanleko,10.8
2018,Turisten ostatu-gauak biztanleko,Ostatu-gauak biztanleko,10.4
2019,Turisten ostatu-gauak biztanleko,Ostatu-gauak biztanleko,10.0
2020,Turisten ostatu-gauak biztanleko,Ostatu-gauak biztanleko,6.0
2021,Turisten ostatu-gauak biztanleko,Ostatu-gauak biztanleko,7.3
2022,Turisten ostatu-gauak biztanleko,Ostatu-gauak biztanleko,9.3
2023,Turisten ostatu-gauak biztanleko,Ostatu-gauak biztanleko,10.5
2024,Turisten ostatu-gauak biztanleko,Ostatu-gauak biztanleko,11.0
2016,Egoiliarrak ez diren turisten ostatu-gauak biztanleko,Ostatu-gauak biztanleko,9.3
2017,Egoiliarrak ez diren turisten ostatu-gauak biztanleko,Ostatu-gauak biztanleko,8.5
2018,Egoiliarrak ez diren turisten ostatu-gauak biztanleko,Ostatu-gauak biztanleko,8.0
2019,Egoiliarrak ez diren turisten ostatu-gauak biztanleko,Ostatu-gauak biztanleko,7.4
2020,Egoiliarrak ez diren turisten ostatu-gauak biztanleko,Ostatu-gauak biztanleko,3.6
2021,Egoiliarrak ez diren turisten ostatu-gauak biztanleko,Ostatu-gauak biztanleko,4.7
2022,Egoiliarrak ez diren turisten ostatu-gauak biztanleko,Ostatu-gauak biztanleko,7.6
2023,Egoiliarrak ez diren turisten ostatu-gauak biztanleko,Ostatu-gauak biztanleko,8.7
2024,Egoiliarrak ez diren turisten ostatu-gauak biztanleko,Ostatu-gauak biztanleko,8.9
2016,"Gehieneko okupazioko bi hilabeteetan turistek igarotako gauen proportzioa, turisten ostatu-gau guztien aldean",%,33.7
2017,"Gehieneko okupazioko bi hilabeteetan turistek igarotako gauen proportzioa, turisten ostatu-gau guztien aldean",%,30.7
2018,"Gehieneko okupazioko bi hilabeteetan turistek igarotako gauen proportzioa, turisten ostatu-gau guztien aldean",%,31.2
2019,"Gehieneko okupazioko bi hilabeteetan turistek igarotako gauen proportzioa, turisten ostatu-gau guztien aldean",%,27.8
2020,"Gehieneko okupazioko bi hilabeteetan turistek igarotako gauen proportzioa, turisten ostatu-gau guztien aldean",%,36.8
2021,"Gehieneko okupazioko bi hilabeteetan turistek igarotako gauen proportzioa, turisten ostatu-gau guztien aldean",%,40.6
2022,"Gehieneko okupazioko bi hilabeteetan turistek igarotako gauen proportzioa, turisten ostatu-gau guztien aldean",%,27.9
2023,"Gehieneko okupazioko bi hilabeteetan turistek igarotako gauen proportzioa, turisten ostatu-gau guztien aldean",%,28.6
2024,"Gehieneko okupazioko bi hilabeteetan turistek igarotako gauen proportzioa, turisten ostatu-gau guztien aldean",%,28.0
2016,"Gehieneko okupazioko bi hilabeteetan egoiliarrak ez diren turisten ostatu-gauen proportzioa, egoiliarrak ez diren turisten ostatu-gauen guztizkoen artean",%,32.1
2017,"Gehieneko okupazioko bi hilabeteetan egoiliarrak ez diren turisten ostatu-gauen proportzioa, egoiliarrak ez diren turisten ostatu-gauen guztizkoen artean",%,30.5
2018,"Gehieneko okupazioko bi hilabeteetan egoiliarrak ez diren turisten ostatu-gauen proportzioa, egoiliarrak ez diren turisten ostatu-gauen guztizkoen artean",%,30.6
2019,"Gehieneko okupazioko bi hilabeteetan egoiliarrak ez diren turisten ostatu-gauen proportzioa, egoiliarrak ez diren turisten ostatu-gauen guztizkoen artean",%,27.4
2020,"Gehieneko okupazioko bi hilabeteetan egoiliarrak ez diren turisten ostatu-gauen proportzioa, egoiliarrak ez diren turisten ostatu-gauen guztizkoen artean",%,40.0
2021,"Gehieneko okupazioko bi hilabeteetan egoiliarrak ez diren turisten ostatu-gauen proportzioa, egoiliarrak ez diren turisten ostatu-gauen guztizkoen artean",%,40.9
2022,"Gehieneko okupazioko bi hilabeteetan egoiliarrak ez diren turisten ostatu-gauen proportzioa, egoiliarrak ez diren turisten ostatu-gauen guztizkoen artean",%,29.8
2023,"Gehieneko okupazioko bi hilabeteetan egoiliarrak ez diren turisten ostatu-gauen proportzioa, egoiliarrak ez diren turisten ostatu-gauen guztizkoen artean",%,26.6
2024,"Gehieneko okupazioko bi hilabeteetan egoiliarrak ez diren turisten ostatu-gauen proportzioa, egoiliarrak ez diren turisten ostatu-gauen guztizkoen artean",%,27.1
