Year,Series,Lurralde historikoa,Units,Value
2020,Airez garraiatutako bidaiariak,,Bidaiariak milaka,1817.6
2012,Airez garraiatutako bidaiariak,,Bidaiariak milaka,4458.2
2011,Airez garraiatutako bidaiariak,,Bidaiariak milaka,4322.4
2022,Airez garraiatutako bidaiariak,,Bidaiariak milaka,5748.5
2025,Airez garraiatutako bidaiariak,,Bidaiariak milaka,7842.5
2024,Airez garraiatutako bidaiariak,,Bidaiariak milaka,7528.0
2016,Airez garraiatutako bidaiariak,,Bidaiariak milaka,4889.7
2023,Airez garraiatutako bidaiariak,,Bidaiariak milaka,7129.0
2015,Airez garraiatutako bidaiariak,,Bidaiariak milaka,4544.0
2019,Airez garraiatutako bidaiariak,,Bidaiariak milaka,6400.3
2021,Airez garraiatutako bidaiariak,,Bidaiariak milaka,2864.8
2018,Airez garraiatutako bidaiariak,,Bidaiariak milaka,5899.7
2017,Airez garraiatutako bidaiariak,,Bidaiariak milaka,5339.9
2010,Airez garraiatutako bidaiariak,,Bidaiariak milaka,4217.1
2013,Airez garraiatutako bidaiariak,,Bidaiariak milaka,4052.7
2014,Airez garraiatutako bidaiariak,,Bidaiariak milaka,4267.8
2024,Airez garraiatutako bidaiariak,Araba / Álava,Bidaiariak milaka,263.9
2021,Airez garraiatutako bidaiariak,Araba / Álava,Bidaiariak milaka,128.4
2023,Airez garraiatutako bidaiariak,Araba / Álava,Bidaiariak milaka,309.9
2022,Airez garraiatutako bidaiariak,Araba / Álava,Bidaiariak milaka,235.4
2018,Airez garraiatutako bidaiariak,Araba / Álava,Bidaiariak milaka,140.9
2025,Airez garraiatutako bidaiariak,Araba / Álava,Bidaiariak milaka,307.2
2017,Airez garraiatutako bidaiariak,Araba / Álava,Bidaiariak milaka,84.3
2014,Airez garraiatutako bidaiariak,Araba / Álava,Bidaiariak milaka,7.1
2015,Airez garraiatutako bidaiariak,Araba / Álava,Bidaiariak milaka,11.2
2016,Airez garraiatutako bidaiariak,Araba / Álava,Bidaiariak milaka,36.9
2020,Airez garraiatutako bidaiariak,Araba / Álava,Bidaiariak milaka,43.8
2019,Airez garraiatutako bidaiariak,Araba / Álava,Bidaiariak milaka,174.0
2011,Airez garraiatutako bidaiariak,Araba / Álava,Bidaiariak milaka,28.2
2013,Airez garraiatutako bidaiariak,Araba / Álava,Bidaiariak milaka,6.9
2012,Airez garraiatutako bidaiariak,Araba / Álava,Bidaiariak milaka,24.4
2010,Airez garraiatutako bidaiariak,Araba / Álava,Bidaiariak milaka,42.1
2015,Airez garraiatutako bidaiariak,Bizkaia,Bidaiariak milaka,4277.7
2020,Airez garraiatutako bidaiariak,Bizkaia,Bidaiariak milaka,1690.0
2019,Airez garraiatutako bidaiariak,Bizkaia,Bidaiariak milaka,5905.8
2013,Airez garraiatutako bidaiariak,Bizkaia,Bidaiariak milaka,3800.8
2018,Airez garraiatutako bidaiariak,Bizkaia,Bidaiariak milaka,5469.4
2012,Airez garraiatutako bidaiariak,Bizkaia,Bidaiariak milaka,4171.1
2010,Airez garraiatutako bidaiariak,Bizkaia,Bidaiariak milaka,3889.0
2016,Airez garraiatutako bidaiariak,Bizkaia,Bidaiariak milaka,4588.3
2024,Airez garraiatutako bidaiariak,Bizkaia,Bidaiariak milaka,6777.6
2011,Airez garraiatutako bidaiariak,Bizkaia,Bidaiariak milaka,4046.2
2021,Airez garraiatutako bidaiariak,Bizkaia,Bidaiariak milaka,2581.1
2022,Airez garraiatutako bidaiariak,Bizkaia,Bidaiariak milaka,5129.6
2023,Airez garraiatutako bidaiariak,Bizkaia,Bidaiariak milaka,6336.4
