Year,Lurralde historikoa,Sexua,Units,Value
2020,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,0.86
2018,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,0.0
2019,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,2.39
2017,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,1.95
2019,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,2.41
2021,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,0.9
2023,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,1.53
2016,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,1.57
2015,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,2.93
2013,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,1.06
2012,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,2.0
2011,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,3.21
2010,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,2.31
2014,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,1.26
2018,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,3.07
2020,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,2.57
2022,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,2.07
2010,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,1.41
2012,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,1.23
2013,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,1.3
2015,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,0.63
2023,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,1.33
2022,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,1.4
2021,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,1.26
2020,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,2.05
2019,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,1.19
2018,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,2.27
2017,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,0.37
2016,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,0.68
2014,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,0.96
2011,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,1.75
2020,,Gizona,Bizirik jaiotako 1.000 umeko,1.44
2021,,Gizona,Bizirik jaiotako 1.000 umeko,1.75
2019,,Gizona,Bizirik jaiotako 1.000 umeko,2.15
2017,,Gizona,Bizirik jaiotako 1.000 umeko,1.47
2022,,Gizona,Bizirik jaiotako 1.000 umeko,2.7
2012,,Gizona,Bizirik jaiotako 1.000 umeko,1.58
2014,,Gizona,Bizirik jaiotako 1.000 umeko,1.72
2013,,Gizona,Bizirik jaiotako 1.000 umeko,1.93
2010,,Gizona,Bizirik jaiotako 1.000 umeko,1.76
2018,,Gizona,Bizirik jaiotako 1.000 umeko,2.06
2011,,Gizona,Bizirik jaiotako 1.000 umeko,0.84
2015,,Gizona,Bizirik jaiotako 1.000 umeko,1.64
2016,,Gizona,Bizirik jaiotako 1.000 umeko,1.61
2023,,Gizona,Bizirik jaiotako 1.000 umeko,1.89
2013,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,2.47
2011,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,1.72
2017,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,0.67
2016,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,1.94
2021,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,3.24
2015,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,1.22
2022,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,5.1
