Year,Sexua,Units,Value
2018,,%,12.8
2014,,%,13.0
2013,,%,14.5
2023,,%,14.0
2011,,%,15.3
2017,,%,13.8
2019,,%,13.5
2011,Emakumea,%,15.3
2013,Emakumea,%,13.8
2014,Emakumea,%,11.9
2017,Emakumea,%,13.5
2019,Emakumea,%,13.5
2018,Emakumea,%,11.7
2023,Emakumea,%,13.5
2023,Gizona,%,14.6
2017,Gizona,%,14.2
2013,Gizona,%,15.2
2011,Gizona,%,15.2
2018,Gizona,%,14.0
2019,Gizona,%,13.5
2014,Gizona,%,14.2
