Year,Series,Sexua,Kontratu mota,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2020,Okupazio-tasa,,,,,Zumaia,%,Zumaia,75.6
2019,Okupazio-tasa,,,,,Zumaia,%,Zumaia,73.9
2023,Okupazio-tasa,,,,,Zumaia,%,Zumaia,78.4
2010,Okupazio-tasa,,,,,Zumaia,%,Zumaia,67.9
2016,Okupazio-tasa,,,,,Zumaia,%,Zumaia,67.8
2018,Okupazio-tasa,,,,,Zumarraga,%,Zumarraga,69.9
2019,Okupazio-tasa,,,,,Zumarraga,%,Zumarraga,70.5
2015,Okupazio-tasa,,,,,Zumarraga,%,Zumarraga,66.8
2020,Okupazio-tasa,,,,,Zumarraga,%,Zumarraga,72.2
2023,Okupazio-tasa,,,,,Zumarraga,%,Zumarraga,74.5
2021,Okupazio-tasa,,,,,Zumarraga,%,Zumarraga,70.4
2016,Okupazio-tasa,,,,,Zumarraga,%,Zumarraga,66.9
2010,Okupazio-tasa,,,,,Zumarraga,%,Zumarraga,65.2
2022,Okupazio-tasa,,,,,Zumarraga,%,Zumarraga,71.8
2023,Okupazio-tasa,,,,Añana (eskualdea),,%,Añana (eskualdea),72.8
2018,Okupazio-tasa,,,,Añana (eskualdea),,%,Añana (eskualdea),68.0
2020,Okupazio-tasa,,,,Añana (eskualdea),,%,Añana (eskualdea),69.4
2021,Okupazio-tasa,,,,Añana (eskualdea),,%,Añana (eskualdea),68.8
2016,Okupazio-tasa,,,,Añana (eskualdea),,%,Añana (eskualdea),65.9
2022,Okupazio-tasa,,,,Añana (eskualdea),,%,Añana (eskualdea),71.2
2019,Okupazio-tasa,,,,Añana (eskualdea),,%,Añana (eskualdea),69.4
2010,Okupazio-tasa,,,,Añana (eskualdea),,%,Añana (eskualdea),66.9
2015,Okupazio-tasa,,,,Añana (eskualdea),,%,Añana (eskualdea),67.1
2019,Okupazio-tasa,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,66.3
2022,Okupazio-tasa,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,69.4
2020,Okupazio-tasa,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,65.5
2015,Okupazio-tasa,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,63.9
2010,Okupazio-tasa,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,62.3
2023,Okupazio-tasa,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,71.0
2016,Okupazio-tasa,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,62.4
2018,Okupazio-tasa,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,65.5
2021,Okupazio-tasa,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,66.6
2016,Okupazio-tasa,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,65.9
2022,Okupazio-tasa,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,73.2
2023,Okupazio-tasa,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,74.2
2021,Okupazio-tasa,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,70.3
2020,Okupazio-tasa,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,70.4
2010,Okupazio-tasa,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,65.8
2019,Okupazio-tasa,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,70.0
2018,Okupazio-tasa,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,68.9
2015,Okupazio-tasa,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,65.9
2019,Okupazio-tasa,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,71.5
2020,Okupazio-tasa,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,71.8
2016,Okupazio-tasa,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,68.0
2015,Okupazio-tasa,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,68.2
2018,Okupazio-tasa,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,70.7
2023,Okupazio-tasa,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,74.1
2010,Okupazio-tasa,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,67.2
2022,Okupazio-tasa,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,72.9
2021,Okupazio-tasa,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,70.8
2018,Okupazio-tasa,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,74.7
2010,Okupazio-tasa,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,72.2
2016,Okupazio-tasa,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,74.5
2019,Okupazio-tasa,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,76.6
2023,Okupazio-tasa,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,77.7
2015,Okupazio-tasa,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,73.5
2020,Okupazio-tasa,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,76.0
2021,Okupazio-tasa,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,75.0
2022,Okupazio-tasa,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,76.8
2010,Okupazio-tasa,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,68.8
2019,Okupazio-tasa,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,71.7
2022,Okupazio-tasa,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,72.3
2018,Okupazio-tasa,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,70.8
2016,Okupazio-tasa,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,68.8
2015,Okupazio-tasa,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,68.4
2020,Okupazio-tasa,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,71.6
2021,Okupazio-tasa,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,70.3
2023,Okupazio-tasa,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,74.4
2019,Okupazio-tasa,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,69.3
2021,Okupazio-tasa,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,69.1
2016,Okupazio-tasa,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,64.8
2018,Okupazio-tasa,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,68.4
2010,Okupazio-tasa,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,65.2
2020,Okupazio-tasa,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,69.5
2015,Okupazio-tasa,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,65.3
2022,Okupazio-tasa,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,71.2
2023,Okupazio-tasa,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,73.7
2010,Okupazio-tasa,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,63.7
2019,Okupazio-tasa,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,68.1
2021,Okupazio-tasa,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,68.1
2015,Okupazio-tasa,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,63.9
2023,Okupazio-tasa,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,72.4
2018,Okupazio-tasa,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,66.8
2016,Okupazio-tasa,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,64.0
2020,Okupazio-tasa,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,68.9
2022,Okupazio-tasa,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,70.0
2018,Okupazio-tasa,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,70.6
2023,Okupazio-tasa,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,74.8
2020,Okupazio-tasa,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,71.3
2016,Okupazio-tasa,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,66.7
2019,Okupazio-tasa,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,71.4
2022,Okupazio-tasa,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,72.7
2015,Okupazio-tasa,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,66.7
2021,Okupazio-tasa,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,70.8
2010,Okupazio-tasa,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,66.6
2016,Okupazio-tasa,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,69.1
2020,Okupazio-tasa,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,73.9
2021,Okupazio-tasa,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,73.1
2018,Okupazio-tasa,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,72.8
2022,Okupazio-tasa,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,75.0
2023,Okupazio-tasa,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,76.5
2015,Okupazio-tasa,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,68.8
2019,Okupazio-tasa,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,73.5
2010,Okupazio-tasa,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,68.8
2019,Okupazio-tasa,,,,Donostialdea,,%,Donostialdea,72.9
2022,Okupazio-tasa,,,,Donostialdea,,%,Donostialdea,74.3
2018,Okupazio-tasa,,,,Donostialdea,,%,Donostialdea,71.7
2023,Okupazio-tasa,,,,Donostialdea,,%,Donostialdea,76.5
2021,Okupazio-tasa,,,,Donostialdea,,%,Donostialdea,72.3
2010,Okupazio-tasa,,,,Donostialdea,,%,Donostialdea,67.5
2020,Okupazio-tasa,,,,Donostialdea,,%,Donostialdea,73.3
2016,Okupazio-tasa,,,,Donostialdea,,%,Donostialdea,68.6
2015,Okupazio-tasa,,,,Donostialdea,,%,Donostialdea,68.7
2019,Okupazio-tasa,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,72.1
2020,Okupazio-tasa,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,72.3
2022,Okupazio-tasa,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,73.9
2010,Okupazio-tasa,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,66.2
2018,Okupazio-tasa,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,71.0
2015,Okupazio-tasa,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,67.7
2023,Okupazio-tasa,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,76.1
2021,Okupazio-tasa,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,71.9
2016,Okupazio-tasa,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,68.6
2010,Okupazio-tasa,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,64.4
2021,Okupazio-tasa,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,67.4
2019,Okupazio-tasa,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,66.2
2015,Okupazio-tasa,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,62.4
2023,Okupazio-tasa,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,71.2
2018,Okupazio-tasa,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,65.2
2022,Okupazio-tasa,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,69.2
2016,Okupazio-tasa,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,62.1
2020,Okupazio-tasa,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,67.1
2023,Okupazio-tasa,,,,Gernika-Bermeo,,%,Gernika-Bermeo,73.0
2022,Okupazio-tasa,,,,Gernika-Bermeo,,%,Gernika-Bermeo,70.9
2019,Okupazio-tasa,,,,Gernika-Bermeo,,%,Gernika-Bermeo,68.6
2020,Okupazio-tasa,,,,Gernika-Bermeo,,%,Gernika-Bermeo,68.9
2016,Okupazio-tasa,,,,Gernika-Bermeo,,%,Gernika-Bermeo,65.1
2015,Okupazio-tasa,,,,Gernika-Bermeo,,%,Gernika-Bermeo,64.4
2018,Okupazio-tasa,,,,Gernika-Bermeo,,%,Gernika-Bermeo,67.7
2021,Okupazio-tasa,,,,Gernika-Bermeo,,%,Gernika-Bermeo,68.6
2010,Okupazio-tasa,,,,Gernika-Bermeo,,%,Gernika-Bermeo,64.4
2010,Okupazio-tasa,,,,Goierri,,%,Goierri,67.6
2019,Okupazio-tasa,,,,Goierri,,%,Goierri,73.4
2022,Okupazio-tasa,,,,Goierri,,%,Goierri,74.5
2020,Okupazio-tasa,,,,Goierri,,%,Goierri,74.0
2021,Okupazio-tasa,,,,Goierri,,%,Goierri,72.8
2015,Okupazio-tasa,,,,Goierri,,%,Goierri,69.1
2016,Okupazio-tasa,,,,Goierri,,%,Goierri,69.4
2018,Okupazio-tasa,,,,Goierri,,%,Goierri,72.3
2023,Okupazio-tasa,,,,Goierri,,%,Goierri,76.1
2010,Okupazio-tasa,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,73.0
2023,Okupazio-tasa,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,77.0
2020,Okupazio-tasa,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,76.2
2018,Okupazio-tasa,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,76.4
2019,Okupazio-tasa,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,75.8
2022,Okupazio-tasa,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,77.1
2016,Okupazio-tasa,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,73.1
2015,Okupazio-tasa,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,73.3
2021,Okupazio-tasa,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,74.7
2018,Okupazio-tasa,,,,Markina-Ondarroa,,%,Markina-Ondarroa,67.1
2015,Okupazio-tasa,,,,Markina-Ondarroa,,%,Markina-Ondarroa,64.5
2019,Okupazio-tasa,,,,Markina-Ondarroa,,%,Markina-Ondarroa,67.5
2016,Okupazio-tasa,,,,Markina-Ondarroa,,%,Markina-Ondarroa,64.7
2021,Okupazio-tasa,,,,Markina-Ondarroa,,%,Markina-Ondarroa,67.6
2022,Okupazio-tasa,,,,Markina-Ondarroa,,%,Markina-Ondarroa,70.9
2020,Okupazio-tasa,,,,Markina-Ondarroa,,%,Markina-Ondarroa,68.4
2010,Okupazio-tasa,,,,Markina-Ondarroa,,%,Markina-Ondarroa,64.2
2023,Okupazio-tasa,,,,Markina-Ondarroa,,%,Markina-Ondarroa,73.3
2019,Okupazio-tasa,,,,Plentzia-Mungia,,%,Plentzia-Mungia,72.1
2018,Okupazio-tasa,,,,Plentzia-Mungia,,%,Plentzia-Mungia,71.3
2015,Okupazio-tasa,,,,Plentzia-Mungia,,%,Plentzia-Mungia,68.9
2021,Okupazio-tasa,,,,Plentzia-Mungia,,%,Plentzia-Mungia,72.1
2023,Okupazio-tasa,,,,Plentzia-Mungia,,%,Plentzia-Mungia,76.4
2020,Okupazio-tasa,,,,Plentzia-Mungia,,%,Plentzia-Mungia,72.7
2022,Okupazio-tasa,,,,Plentzia-Mungia,,%,Plentzia-Mungia,73.9
2010,Okupazio-tasa,,,,Plentzia-Mungia,,%,Plentzia-Mungia,68.0
2016,Okupazio-tasa,,,,Plentzia-Mungia,,%,Plentzia-Mungia,69.0
2016,Okupazio-tasa,,,,Tolosaldea,,%,Tolosaldea,70.3
2020,Okupazio-tasa,,,,Tolosaldea,,%,Tolosaldea,74.5
2019,Okupazio-tasa,,,,Tolosaldea,,%,Tolosaldea,74.4
2015,Okupazio-tasa,,,,Tolosaldea,,%,Tolosaldea,69.6
2022,Okupazio-tasa,,,,Tolosaldea,,%,Tolosaldea,75.9
2018,Okupazio-tasa,,,,Tolosaldea,,%,Tolosaldea,73.0
2010,Okupazio-tasa,,,,Tolosaldea,,%,Tolosaldea,69.2
2023,Okupazio-tasa,,,,Tolosaldea,,%,Tolosaldea,77.6
2021,Okupazio-tasa,,,,Tolosaldea,,%,Tolosaldea,73.8
2015,Okupazio-tasa,,,,Urola Kosta,,%,Urola Kosta,68.0
2022,Okupazio-tasa,,,,Urola Kosta,,%,Urola Kosta,76.7
2019,Okupazio-tasa,,,,Urola Kosta,,%,Urola Kosta,73.9
2016,Okupazio-tasa,,,,Urola Kosta,,%,Urola Kosta,68.5
2021,Okupazio-tasa,,,,Urola Kosta,,%,Urola Kosta,73.9
2010,Okupazio-tasa,,,,Urola Kosta,,%,Urola Kosta,67.8
2020,Okupazio-tasa,,,,Urola Kosta,,%,Urola Kosta,74.6
2018,Okupazio-tasa,,,,Urola Kosta,,%,Urola Kosta,72.6
2023,Okupazio-tasa,,,,Urola Kosta,,%,Urola Kosta,78.3
2012,Okupazio-tasa,,,Araba / Álava,,,%,Araba / Álava,66.8
2010,Okupazio-tasa,,,Araba / Álava,,,%,Araba / Álava,68.4
2014,Okupazio-tasa,,,Araba / Álava,,,%,Araba / Álava,67.1
2018,Okupazio-tasa,,,Araba / Álava,,,%,Araba / Álava,73.6
2022,Okupazio-tasa,,,Araba / Álava,,,%,Araba / Álava,73.3
2015,Okupazio-tasa,,,Araba / Álava,,,%,Araba / Álava,68.4
2019,Okupazio-tasa,,,Araba / Álava,,,%,Araba / Álava,72.7
2021,Okupazio-tasa,,,Araba / Álava,,,%,Araba / Álava,73.1
2023,Okupazio-tasa,,,Araba / Álava,,,%,Araba / Álava,73.9
2020,Okupazio-tasa,,,Araba / Álava,,,%,Araba / Álava,71.6
2011,Okupazio-tasa,,,Araba / Álava,,,%,Araba / Álava,68.5
2013,Okupazio-tasa,,,Araba / Álava,,,%,Araba / Álava,65.8
2016,Okupazio-tasa,,,Araba / Álava,,,%,Araba / Álava,68.5
2017,Okupazio-tasa,,,Araba / Álava,,,%,Araba / Álava,70.9
2016,Okupazio-tasa,,,Bizkaia,,,%,Bizkaia,67.7
2010,Okupazio-tasa,,,Bizkaia,,,%,Bizkaia,66.9
2014,Okupazio-tasa,,,Bizkaia,,,%,Bizkaia,64.2
2018,Okupazio-tasa,,,Bizkaia,,,%,Bizkaia,70.3
2020,Okupazio-tasa,,,Bizkaia,,,%,Bizkaia,69.2
2015,Okupazio-tasa,,,Bizkaia,,,%,Bizkaia,66.0
2017,Okupazio-tasa,,,Bizkaia,,,%,Bizkaia,68.4
2021,Okupazio-tasa,,,Bizkaia,,,%,Bizkaia,70.6
2013,Okupazio-tasa,,,Bizkaia,,,%,Bizkaia,64.1
2011,Okupazio-tasa,,,Bizkaia,,,%,Bizkaia,65.5
2022,Okupazio-tasa,,,Bizkaia,,,%,Bizkaia,72.8
2023,Okupazio-tasa,,,Bizkaia,,,%,Bizkaia,73.2
2012,Okupazio-tasa,,,Bizkaia,,,%,Bizkaia,64.2
2019,Okupazio-tasa,,,Bizkaia,,,%,Bizkaia,71.1
2014,Okupazio-tasa,,,Gipuzkoa,,,%,Gipuzkoa,69.8
2020,Okupazio-tasa,,,Gipuzkoa,,,%,Gipuzkoa,73.4
2013,Okupazio-tasa,,,Gipuzkoa,,,%,Gipuzkoa,69.2
2011,Okupazio-tasa,,,Gipuzkoa,,,%,Gipuzkoa,71.0
2023,Okupazio-tasa,,,Gipuzkoa,,,%,Gipuzkoa,77.0
2022,Okupazio-tasa,,,Gipuzkoa,,,%,Gipuzkoa,76.3
2016,Okupazio-tasa,,,Gipuzkoa,,,%,Gipuzkoa,70.9
2012,Okupazio-tasa,,,Gipuzkoa,,,%,Gipuzkoa,69.5
2015,Okupazio-tasa,,,Gipuzkoa,,,%,Gipuzkoa,69.9
2019,Okupazio-tasa,,,Gipuzkoa,,,%,Gipuzkoa,75.1
2017,Okupazio-tasa,,,Gipuzkoa,,,%,Gipuzkoa,72.3
2021,Okupazio-tasa,,,Gipuzkoa,,,%,Gipuzkoa,74.2
2018,Okupazio-tasa,,,Gipuzkoa,,,%,Gipuzkoa,73.9
2010,Okupazio-tasa,,,Gipuzkoa,,,%,Gipuzkoa,70.6
2012,Okupazio-tasa,Emakumea,,,,,%,,61.9
2011,Okupazio-tasa,Emakumea,,,,,%,,62.3
2020,Okupazio-tasa,Emakumea,,,,,%,,67.5
2015,Okupazio-tasa,Emakumea,,,,,%,,63.8
2010,Okupazio-tasa,Emakumea,,,,,%,,61.4
2019,Okupazio-tasa,Emakumea,,,,,%,,68.5
2022,Okupazio-tasa,Emakumea,,,,,%,,70.4
2016,Okupazio-tasa,Emakumea,,,,,%,,65.0
2021,Okupazio-tasa,Emakumea,,,,,%,,69.0
2017,Okupazio-tasa,Emakumea,,,,,%,,66.0
2023,Okupazio-tasa,Emakumea,,,,,%,,71.2
2018,Okupazio-tasa,Emakumea,,,,,%,,67.6
2013,Okupazio-tasa,Emakumea,,,,,%,,61.8
2014,Okupazio-tasa,Emakumea,,,,,%,,62.6
2020,Okupazio-tasa,Emakumea,,,,Abadiño,%,Abadiño,69.8
2023,Okupazio-tasa,Emakumea,,,,Abadiño,%,Abadiño,73.2
2010,Okupazio-tasa,Emakumea,,,,Abadiño,%,Abadiño,57.9
2016,Okupazio-tasa,Emakumea,,,,Abadiño,%,Abadiño,63.4
2021,Okupazio-tasa,Emakumea,,,,Abadiño,%,Abadiño,69.4
2015,Okupazio-tasa,Emakumea,,,,Abadiño,%,Abadiño,63.6
2019,Okupazio-tasa,Emakumea,,,,Abadiño,%,Abadiño,68.0
2022,Okupazio-tasa,Emakumea,,,,Abadiño,%,Abadiño,71.4
2018,Okupazio-tasa,Emakumea,,,,Abadiño,%,Abadiño,66.4
2010,Okupazio-tasa,Emakumea,,,,Abaltzisketa,%,Abaltzisketa,65.1
2021,Okupazio-tasa,Emakumea,,,,Abaltzisketa,%,Abaltzisketa,76.4
2015,Okupazio-tasa,Emakumea,,,,Abaltzisketa,%,Abaltzisketa,71.6
2022,Okupazio-tasa,Emakumea,,,,Abaltzisketa,%,Abaltzisketa,80.2
2018,Okupazio-tasa,Emakumea,,,,Abaltzisketa,%,Abaltzisketa,66.3
2019,Okupazio-tasa,Emakumea,,,,Abaltzisketa,%,Abaltzisketa,73.3
2016,Okupazio-tasa,Emakumea,,,,Abaltzisketa,%,Abaltzisketa,67.1
2023,Okupazio-tasa,Emakumea,,,,Abaltzisketa,%,Abaltzisketa,77.9
2020,Okupazio-tasa,Emakumea,,,,Abaltzisketa,%,Abaltzisketa,80.0
2023,Okupazio-tasa,Emakumea,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,69.9
2020,Okupazio-tasa,Emakumea,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,64.8
2010,Okupazio-tasa,Emakumea,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,58.3
2016,Okupazio-tasa,Emakumea,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,58.5
2015,Okupazio-tasa,Emakumea,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,59.9
2019,Okupazio-tasa,Emakumea,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,63.2
2022,Okupazio-tasa,Emakumea,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,67.0
2021,Okupazio-tasa,Emakumea,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,64.9
2018,Okupazio-tasa,Emakumea,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,61.4
2021,Okupazio-tasa,Emakumea,,,,Aduna,%,Aduna,82.4
2023,Okupazio-tasa,Emakumea,,,,Aduna,%,Aduna,87.9
2015,Okupazio-tasa,Emakumea,,,,Aduna,%,Aduna,68.7
2020,Okupazio-tasa,Emakumea,,,,Aduna,%,Aduna,78.5
2016,Okupazio-tasa,Emakumea,,,,Aduna,%,Aduna,75.4
2010,Okupazio-tasa,Emakumea,,,,Aduna,%,Aduna,67.4
2019,Okupazio-tasa,Emakumea,,,,Aduna,%,Aduna,81.7
2018,Okupazio-tasa,Emakumea,,,,Aduna,%,Aduna,81.9
2022,Okupazio-tasa,Emakumea,,,,Aduna,%,Aduna,83.0
2010,Okupazio-tasa,Emakumea,,,,Agurain / Salvatierra,%,Agurain / Salvatierra,62.4
2018,Okupazio-tasa,Emakumea,,,,Agurain / Salvatierra,%,Agurain / Salvatierra,62.8
