Year,Series,Sexua,Kontratu mota,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2016,Okupazio-tasa,,,,,Aizarnazabal,%,Aizarnazabal,64.8
2015,Okupazio-tasa,,,,,Aizarnazabal,%,Aizarnazabal,65.5
2023,Okupazio-tasa,,,,,Aizarnazabal,%,Aizarnazabal,77.4
2010,Okupazio-tasa,,,,,Aizarnazabal,%,Aizarnazabal,68.4
2018,Okupazio-tasa,,,,,Aizarnazabal,%,Aizarnazabal,69.0
2019,Okupazio-tasa,,,,,Aizarnazabal,%,Aizarnazabal,71.8
2021,Okupazio-tasa,,,,,Aizarnazabal,%,Aizarnazabal,71.0
2015,Okupazio-tasa,,,,,Ajangiz,%,Ajangiz,76.2
2018,Okupazio-tasa,,,,,Ajangiz,%,Ajangiz,78.5
2016,Okupazio-tasa,,,,,Ajangiz,%,Ajangiz,78.6
2019,Okupazio-tasa,,,,,Ajangiz,%,Ajangiz,81.5
2021,Okupazio-tasa,,,,,Ajangiz,%,Ajangiz,73.7
2010,Okupazio-tasa,,,,,Ajangiz,%,Ajangiz,76.0
2023,Okupazio-tasa,,,,,Ajangiz,%,Ajangiz,79.7
2020,Okupazio-tasa,,,,,Ajangiz,%,Ajangiz,77.5
2022,Okupazio-tasa,,,,,Ajangiz,%,Ajangiz,78.4
2010,Okupazio-tasa,,,,,Albiztur,%,Albiztur,70.8
2020,Okupazio-tasa,,,,,Albiztur,%,Albiztur,82.2
2015,Okupazio-tasa,,,,,Albiztur,%,Albiztur,79.8
2021,Okupazio-tasa,,,,,Albiztur,%,Albiztur,77.4
2018,Okupazio-tasa,,,,,Albiztur,%,Albiztur,79.6
2016,Okupazio-tasa,,,,,Albiztur,%,Albiztur,76.1
2022,Okupazio-tasa,,,,,Albiztur,%,Albiztur,80.6
2019,Okupazio-tasa,,,,,Albiztur,%,Albiztur,83.4
2023,Okupazio-tasa,,,,,Albiztur,%,Albiztur,84.7
2023,Okupazio-tasa,,,,,Alegia,%,Alegia,73.5
2016,Okupazio-tasa,,,,,Alegia,%,Alegia,66.7
2019,Okupazio-tasa,,,,,Alegia,%,Alegia,72.3
2015,Okupazio-tasa,,,,,Alegia,%,Alegia,66.5
2010,Okupazio-tasa,,,,,Alegia,%,Alegia,68.7
2020,Okupazio-tasa,,,,,Alegia,%,Alegia,72.9
2022,Okupazio-tasa,,,,,Alegia,%,Alegia,75.0
2021,Okupazio-tasa,,,,,Alegia,%,Alegia,71.6
2018,Okupazio-tasa,,,,,Alegia,%,Alegia,71.7
2010,Okupazio-tasa,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,76.0
2020,Okupazio-tasa,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,77.1
2021,Okupazio-tasa,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,74.1
2015,Okupazio-tasa,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,75.5
2022,Okupazio-tasa,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,75.6
2023,Okupazio-tasa,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,77.8
2018,Okupazio-tasa,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,76.8
2019,Okupazio-tasa,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,76.3
2016,Okupazio-tasa,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,74.2
2021,Okupazio-tasa,,,,,Alkiza,%,Alkiza,76.3
2018,Okupazio-tasa,,,,,Alkiza,%,Alkiza,82.1
2010,Okupazio-tasa,,,,,Alkiza,%,Alkiza,77.5
2022,Okupazio-tasa,,,,,Alkiza,%,Alkiza,82.4
2019,Okupazio-tasa,,,,,Alkiza,%,Alkiza,80.1
2015,Okupazio-tasa,,,,,Alkiza,%,Alkiza,79.5
2023,Okupazio-tasa,,,,,Alkiza,%,Alkiza,78.9
2020,Okupazio-tasa,,,,,Alkiza,%,Alkiza,79.9
2016,Okupazio-tasa,,,,,Alkiza,%,Alkiza,78.6
2010,Okupazio-tasa,,,,,Alonsotegi,%,Alonsotegi,64.2
2022,Okupazio-tasa,,,,,Alonsotegi,%,Alonsotegi,70.1
2023,Okupazio-tasa,,,,,Alonsotegi,%,Alonsotegi,71.4
2020,Okupazio-tasa,,,,,Alonsotegi,%,Alonsotegi,68.8
2019,Okupazio-tasa,,,,,Alonsotegi,%,Alonsotegi,66.3
2016,Okupazio-tasa,,,,,Alonsotegi,%,Alonsotegi,62.9
2015,Okupazio-tasa,,,,,Alonsotegi,%,Alonsotegi,62.3
2018,Okupazio-tasa,,,,,Alonsotegi,%,Alonsotegi,67.5
2021,Okupazio-tasa,,,,,Alonsotegi,%,Alonsotegi,68.1
2021,Okupazio-tasa,,,,,Altzaga,%,Altzaga,74.4
2010,Okupazio-tasa,,,,,Altzaga,%,Altzaga,80.0
2019,Okupazio-tasa,,,,,Altzaga,%,Altzaga,76.3
2023,Okupazio-tasa,,,,,Altzaga,%,Altzaga,79.8
2018,Okupazio-tasa,,,,,Altzaga,%,Altzaga,71.9
2022,Okupazio-tasa,,,,,Altzaga,%,Altzaga,81.7
2020,Okupazio-tasa,,,,,Altzaga,%,Altzaga,71.9
2016,Okupazio-tasa,,,,,Altzaga,%,Altzaga,76.7
2015,Okupazio-tasa,,,,,Altzaga,%,Altzaga,70.0
2010,Okupazio-tasa,,,,,Altzo,%,Altzo,71.2
2020,Okupazio-tasa,,,,,Altzo,%,Altzo,70.7
2023,Okupazio-tasa,,,,,Altzo,%,Altzo,77.0
2016,Okupazio-tasa,,,,,Altzo,%,Altzo,71.0
2015,Okupazio-tasa,,,,,Altzo,%,Altzo,71.2
2022,Okupazio-tasa,,,,,Altzo,%,Altzo,79.5
2018,Okupazio-tasa,,,,,Altzo,%,Altzo,73.0
2021,Okupazio-tasa,,,,,Altzo,%,Altzo,73.0
2019,Okupazio-tasa,,,,,Altzo,%,Altzo,76.1
2010,Okupazio-tasa,,,,,Amezketa,%,Amezketa,71.8
2023,Okupazio-tasa,,,,,Amezketa,%,Amezketa,75.9
2018,Okupazio-tasa,,,,,Amezketa,%,Amezketa,73.1
2022,Okupazio-tasa,,,,,Amezketa,%,Amezketa,76.2
2019,Okupazio-tasa,,,,,Amezketa,%,Amezketa,74.0
2015,Okupazio-tasa,,,,,Amezketa,%,Amezketa,71.8
2020,Okupazio-tasa,,,,,Amezketa,%,Amezketa,73.7
2016,Okupazio-tasa,,,,,Amezketa,%,Amezketa,70.3
2021,Okupazio-tasa,,,,,Amezketa,%,Amezketa,73.0
2020,Okupazio-tasa,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,74.3
2021,Okupazio-tasa,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,73.5
2023,Okupazio-tasa,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,78.4
2015,Okupazio-tasa,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,69.2
2019,Okupazio-tasa,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,73.8
2016,Okupazio-tasa,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,70.1
2018,Okupazio-tasa,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,72.8
2010,Okupazio-tasa,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,67.6
2022,Okupazio-tasa,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,76.0
2019,Okupazio-tasa,,,,,Amoroto,%,Amoroto,69.6
2020,Okupazio-tasa,,,,,Amoroto,%,Amoroto,68.7
2023,Okupazio-tasa,,,,,Amoroto,%,Amoroto,74.0
2021,Okupazio-tasa,,,,,Amoroto,%,Amoroto,70.1
2010,Okupazio-tasa,,,,,Amoroto,%,Amoroto,69.7
2016,Okupazio-tasa,,,,,Amoroto,%,Amoroto,74.6
2018,Okupazio-tasa,,,,,Amoroto,%,Amoroto,71.2
2022,Okupazio-tasa,,,,,Amoroto,%,Amoroto,69.8
2015,Okupazio-tasa,,,,,Amoroto,%,Amoroto,76.3
2018,Okupazio-tasa,,,,,Amurrio,%,Amurrio,68.6
2010,Okupazio-tasa,,,,,Amurrio,%,Amurrio,65.4
2022,Okupazio-tasa,,,,,Amurrio,%,Amurrio,73.7
2023,Okupazio-tasa,,,,,Amurrio,%,Amurrio,74.4
2021,Okupazio-tasa,,,,,Amurrio,%,Amurrio,70.5
2020,Okupazio-tasa,,,,,Amurrio,%,Amurrio,70.7
2016,Okupazio-tasa,,,,,Amurrio,%,Amurrio,65.5
2015,Okupazio-tasa,,,,,Amurrio,%,Amurrio,65.6
2019,Okupazio-tasa,,,,,Amurrio,%,Amurrio,70.5
2019,Okupazio-tasa,,,,,Andoain,%,Andoain,73.5
2010,Okupazio-tasa,,,,,Andoain,%,Andoain,66.8
2021,Okupazio-tasa,,,,,Andoain,%,Andoain,73.7
2023,Okupazio-tasa,,,,,Andoain,%,Andoain,77.3
2020,Okupazio-tasa,,,,,Andoain,%,Andoain,74.6
2022,Okupazio-tasa,,,,,Andoain,%,Andoain,75.2
2015,Okupazio-tasa,,,,,Andoain,%,Andoain,68.5
2018,Okupazio-tasa,,,,,Andoain,%,Andoain,71.7
2016,Okupazio-tasa,,,,,Andoain,%,Andoain,68.4
2022,Okupazio-tasa,,,,,Anoeta,%,Anoeta,76.0
2010,Okupazio-tasa,,,,,Anoeta,%,Anoeta,68.7
2020,Okupazio-tasa,,,,,Anoeta,%,Anoeta,75.1
2019,Okupazio-tasa,,,,,Anoeta,%,Anoeta,74.6
2023,Okupazio-tasa,,,,,Anoeta,%,Anoeta,77.7
2015,Okupazio-tasa,,,,,Anoeta,%,Anoeta,69.2
2016,Okupazio-tasa,,,,,Anoeta,%,Anoeta,69.4
2021,Okupazio-tasa,,,,,Anoeta,%,Anoeta,73.7
2018,Okupazio-tasa,,,,,Anoeta,%,Anoeta,73.9
2018,Okupazio-tasa,,,,,Antzuola,%,Antzuola,78.5
