Year,Units,Value
2015,Indizea,6
2016,Indizea,6
2017,Indizea,6
2018,Indizea,6
2019,Indizea,6
2020,Indizea,6
2021,Indizea,6
2022,Indizea,6
2023,Indizea,6
2024,Indizea,6
