Year,Sexua,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2012,,,,,100.000 biztanleko,,0.0
2015,,,,,100.000 biztanleko,,0.09
2020,,,,,100.000 biztanleko,,0.05
2017,,,,,100.000 biztanleko,,0.23
2014,,,,,100.000 biztanleko,,0.05
2011,,,,,100.000 biztanleko,,0.14
2018,,,,,100.000 biztanleko,,0.18
2023,,,,,100.000 biztanleko,,0.09
2022,,,,,100.000 biztanleko,,0.27
2024,,,,,100.000 biztanleko,,0.18
2016,,,,,100.000 biztanleko,,0.14
2021,,,,,100.000 biztanleko,,0.0
2010,,,,,100.000 biztanleko,,0.18
2013,,,,,100.000 biztanleko,,0.14
2019,,,,,100.000 biztanleko,,0.09
2024,,,,Abadiño,100.000 biztanleko,Abadiño,0.0
2012,,,,Abadiño,100.000 biztanleko,Abadiño,0.0
2021,,,,Abadiño,100.000 biztanleko,Abadiño,0.0
2022,,,,Abadiño,100.000 biztanleko,Abadiño,0.0
2010,,,,Abadiño,100.000 biztanleko,Abadiño,0.0
2011,,,,Abadiño,100.000 biztanleko,Abadiño,0.0
2016,,,,Abadiño,100.000 biztanleko,Abadiño,0.0
2017,,,,Abadiño,100.000 biztanleko,Abadiño,0.0
2018,,,,Abadiño,100.000 biztanleko,Abadiño,0.0
2023,,,,Abadiño,100.000 biztanleko,Abadiño,0.0
2013,,,,Abadiño,100.000 biztanleko,Abadiño,0.0
2020,,,,Abadiño,100.000 biztanleko,Abadiño,0.0
2015,,,,Abadiño,100.000 biztanleko,Abadiño,0.0
2014,,,,Abadiño,100.000 biztanleko,Abadiño,0.0
2019,,,,Abadiño,100.000 biztanleko,Abadiño,0.0
2010,,,,Abaltzisketa,100.000 biztanleko,Abaltzisketa,0.0
2018,,,,Abaltzisketa,100.000 biztanleko,Abaltzisketa,0.0
2016,,,,Abaltzisketa,100.000 biztanleko,Abaltzisketa,0.0
2024,,,,Abaltzisketa,100.000 biztanleko,Abaltzisketa,0.0
2021,,,,Abaltzisketa,100.000 biztanleko,Abaltzisketa,0.0
2020,,,,Abaltzisketa,100.000 biztanleko,Abaltzisketa,0.0
2014,,,,Abaltzisketa,100.000 biztanleko,Abaltzisketa,0.0
2017,,,,Abaltzisketa,100.000 biztanleko,Abaltzisketa,0.0
2023,,,,Abaltzisketa,100.000 biztanleko,Abaltzisketa,0.0
2015,,,,Abaltzisketa,100.000 biztanleko,Abaltzisketa,0.0
2019,,,,Abaltzisketa,100.000 biztanleko,Abaltzisketa,0.0
2013,,,,Abaltzisketa,100.000 biztanleko,Abaltzisketa,0.0
2022,,,,Abaltzisketa,100.000 biztanleko,Abaltzisketa,0.0
2012,,,,Abaltzisketa,100.000 biztanleko,Abaltzisketa,0.0
2011,,,,Abaltzisketa,100.000 biztanleko,Abaltzisketa,0.0
2010,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,0.0
