Year,Series,Sexua,Units,Value
2015,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,,1.000 biztanleko,0.07
2019,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,,1.000 biztanleko,0.07
2012,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,,1.000 biztanleko,0.07
2023,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,,1.000 biztanleko,0.06
2013,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,,1.000 biztanleko,0.07
2020,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,,1.000 biztanleko,0.05
2014,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,,1.000 biztanleko,0.07
2016,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,,1.000 biztanleko,0.07
2022,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,,1.000 biztanleko,0.06
2011,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,,1.000 biztanleko,0.08
2018,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,,1.000 biztanleko,0.08
2024,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,,1.000 biztanleko,0.06
2010,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,,1.000 biztanleko,0.09
2021,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,,1.000 biztanleko,0.05
2017,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,,1.000 biztanleko,0.06
2013,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Emakumea,1.000 biztanleko,0.02
2016,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Emakumea,1.000 biztanleko,0.03
2022,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Emakumea,1.000 biztanleko,0.03
2015,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Emakumea,1.000 biztanleko,0.03
2017,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Emakumea,1.000 biztanleko,0.03
2020,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Emakumea,1.000 biztanleko,0.02
2019,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Emakumea,1.000 biztanleko,0.02
2024,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Emakumea,1.000 biztanleko,0.02
2021,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Emakumea,1.000 biztanleko,0.02
2023,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Emakumea,1.000 biztanleko,0.02
2010,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Emakumea,1.000 biztanleko,0.04
2014,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Emakumea,1.000 biztanleko,0.03
2018,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Emakumea,1.000 biztanleko,0.03
2012,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Emakumea,1.000 biztanleko,0.03
2011,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Emakumea,1.000 biztanleko,0.04
2019,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Gizona,1.000 biztanleko,0.11
2014,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Gizona,1.000 biztanleko,0.11
2015,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Gizona,1.000 biztanleko,0.11
2012,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Gizona,1.000 biztanleko,0.13
2010,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Gizona,1.000 biztanleko,0.14
2011,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Gizona,1.000 biztanleko,0.13
2020,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Gizona,1.000 biztanleko,0.08
2023,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Gizona,1.000 biztanleko,0.1
2017,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Gizona,1.000 biztanleko,0.1
2022,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Gizona,1.000 biztanleko,0.09
2013,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Gizona,1.000 biztanleko,0.12
2016,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Gizona,1.000 biztanleko,0.12
2024,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Gizona,1.000 biztanleko,0.1
2021,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Gizona,1.000 biztanleko,0.09
2018,GIBak eragindako infekzio berrien kopurua 1.000 biztanleko,Gizona,1.000 biztanleko,0.13
