Year,Units,Value
2015,100.000 biztanleko,6.5
2016,100.000 biztanleko,14.4
2017,100.000 biztanleko,15.9
2018,100.000 biztanleko,16.1
2019,100.000 biztanleko,17.6
2020,100.000 biztanleko,15.9
2021,100.000 biztanleko,18.3
2022,100.000 biztanleko,21.1
2023,100.000 biztanleko,30.0
