Year,Series,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2013,EU_SDG_02_40,,,Agurain / Salvatierra,%,Agurain / Salvatierra,0.3
2020,EU_SDG_02_40,,,Agurain / Salvatierra,%,Agurain / Salvatierra,0.4
2018,EU_SDG_02_40,,,Agurain / Salvatierra,%,Agurain / Salvatierra,0.4
2017,EU_SDG_02_40,,,Agurain / Salvatierra,%,Agurain / Salvatierra,0.4
2023,EU_SDG_02_40,,,Agurain / Salvatierra,%,Agurain / Salvatierra,0.1
2022,EU_SDG_02_40,,,Agurain / Salvatierra,%,Agurain / Salvatierra,0.0
2012,EU_SDG_02_40,,,Agurain / Salvatierra,%,Agurain / Salvatierra,0.3
2022,EU_SDG_02_40,,,Aia,%,Aia,2.1
2017,EU_SDG_02_40,,,Aia,%,Aia,0.6
2013,EU_SDG_02_40,,,Aia,%,Aia,0.5
2016,EU_SDG_02_40,,,Aia,%,Aia,0.5
2010,EU_SDG_02_40,,,Aia,%,Aia,0.4
2020,EU_SDG_02_40,,,Aia,%,Aia,1.2
2019,EU_SDG_02_40,,,Aia,%,Aia,1.6
2011,EU_SDG_02_40,,,Aia,%,Aia,0.7
2023,EU_SDG_02_40,,,Aia,%,Aia,2.1
2014,EU_SDG_02_40,,,Aia,%,Aia,0.5
2012,EU_SDG_02_40,,,Aia,%,Aia,0.7
2021,EU_SDG_02_40,,,Aia,%,Aia,1.9
2015,EU_SDG_02_40,,,Aia,%,Aia,0.5
2018,EU_SDG_02_40,,,Aia,%,Aia,0.6
2022,EU_SDG_02_40,,,Aizarnazabal,%,Aizarnazabal,0.9
2014,EU_SDG_02_40,,,Aizarnazabal,%,Aizarnazabal,1.6
2015,EU_SDG_02_40,,,Aizarnazabal,%,Aizarnazabal,1.6
2012,EU_SDG_02_40,,,Aizarnazabal,%,Aizarnazabal,2.3
2019,EU_SDG_02_40,,,Aizarnazabal,%,Aizarnazabal,1.6
2017,EU_SDG_02_40,,,Aizarnazabal,%,Aizarnazabal,1.5
2016,EU_SDG_02_40,,,Aizarnazabal,%,Aizarnazabal,1.7
2013,EU_SDG_02_40,,,Aizarnazabal,%,Aizarnazabal,2.3
2023,EU_SDG_02_40,,,Aizarnazabal,%,Aizarnazabal,0.9
2010,EU_SDG_02_40,,,Aizarnazabal,%,Aizarnazabal,2.4
2021,EU_SDG_02_40,,,Aizarnazabal,%,Aizarnazabal,0.9
2018,EU_SDG_02_40,,,Aizarnazabal,%,Aizarnazabal,1.6
2011,EU_SDG_02_40,,,Aizarnazabal,%,Aizarnazabal,2.3
2020,EU_SDG_02_40,,,Aizarnazabal,%,Aizarnazabal,1.6
2011,EU_SDG_02_40,,,Ajangiz,%,Ajangiz,4.0
2017,EU_SDG_02_40,,,Ajangiz,%,Ajangiz,3.8
2019,EU_SDG_02_40,,,Ajangiz,%,Ajangiz,3.8
2013,EU_SDG_02_40,,,Ajangiz,%,Ajangiz,4.5
2015,EU_SDG_02_40,,,Ajangiz,%,Ajangiz,4.0
2021,EU_SDG_02_40,,,Ajangiz,%,Ajangiz,4.0
2016,EU_SDG_02_40,,,Ajangiz,%,Ajangiz,3.7
2014,EU_SDG_02_40,,,Ajangiz,%,Ajangiz,4.5
2022,EU_SDG_02_40,,,Ajangiz,%,Ajangiz,4.0
2020,EU_SDG_02_40,,,Ajangiz,%,Ajangiz,3.8
2018,EU_SDG_02_40,,,Ajangiz,%,Ajangiz,3.7
2023,EU_SDG_02_40,,,Ajangiz,%,Ajangiz,14.9
2012,EU_SDG_02_40,,,Ajangiz,%,Ajangiz,4.0
2010,EU_SDG_02_40,,,Ajangiz,%,Ajangiz,1.8
2014,EU_SDG_02_40,,,Albiztur,%,Albiztur,0.0
2015,EU_SDG_02_40,,,Albiztur,%,Albiztur,0.0
2012,EU_SDG_02_40,,,Albiztur,%,Albiztur,0.0
2022,EU_SDG_02_40,,,Albiztur,%,Albiztur,0.0
2013,EU_SDG_02_40,,,Albiztur,%,Albiztur,0.0
2011,EU_SDG_02_40,,,Albiztur,%,Albiztur,0.0
2023,EU_SDG_02_40,,,Albiztur,%,Albiztur,0.0
2017,EU_SDG_02_40,,,Albiztur,%,Albiztur,0.0
2021,EU_SDG_02_40,,,Albiztur,%,Albiztur,0.0
2018,EU_SDG_02_40,,,Albiztur,%,Albiztur,0.0
2020,EU_SDG_02_40,,,Albiztur,%,Albiztur,0.0
2010,EU_SDG_02_40,,,Albiztur,%,Albiztur,0.0
2019,EU_SDG_02_40,,,Albiztur,%,Albiztur,0.0
2016,EU_SDG_02_40,,,Albiztur,%,Albiztur,0.0
2016,EU_SDG_02_40,,,Alegia,%,Alegia,0.0
2012,EU_SDG_02_40,,,Alegia,%,Alegia,0.0
2017,EU_SDG_02_40,,,Alegia,%,Alegia,0.5
2013,EU_SDG_02_40,,,Alegia,%,Alegia,0.0
2021,EU_SDG_02_40,,,Alegia,%,Alegia,0.5
2014,EU_SDG_02_40,,,Alegia,%,Alegia,0.0
2020,EU_SDG_02_40,,,Alegia,%,Alegia,0.5
2018,EU_SDG_02_40,,,Alegia,%,Alegia,0.5
2019,EU_SDG_02_40,,,Alegia,%,Alegia,0.5
2010,EU_SDG_02_40,,,Alegia,%,Alegia,0.0
2015,EU_SDG_02_40,,,Alegia,%,Alegia,0.0
2022,EU_SDG_02_40,,,Alegia,%,Alegia,0.5
2023,EU_SDG_02_40,,,Alegia,%,Alegia,0.5
2011,EU_SDG_02_40,,,Alegia,%,Alegia,0.0
2023,EU_SDG_02_40,,,Alegría-Dulantzi,%,Alegría-Dulantzi,1.4
2016,EU_SDG_02_40,,,Alegría-Dulantzi,%,Alegría-Dulantzi,0.3
2017,EU_SDG_02_40,,,Alegría-Dulantzi,%,Alegría-Dulantzi,0.3
2010,EU_SDG_02_40,,,Alegría-Dulantzi,%,Alegría-Dulantzi,0.2
2020,EU_SDG_02_40,,,Alegría-Dulantzi,%,Alegría-Dulantzi,1.0
2015,EU_SDG_02_40,,,Alegría-Dulantzi,%,Alegría-Dulantzi,0.3
2021,EU_SDG_02_40,,,Alegría-Dulantzi,%,Alegría-Dulantzi,1.0
2012,EU_SDG_02_40,,,Alegría-Dulantzi,%,Alegría-Dulantzi,0.2
2018,EU_SDG_02_40,,,Alegría-Dulantzi,%,Alegría-Dulantzi,0.5
2014,EU_SDG_02_40,,,Alegría-Dulantzi,%,Alegría-Dulantzi,0.3
2022,EU_SDG_02_40,,,Alegría-Dulantzi,%,Alegría-Dulantzi,1.4
2013,EU_SDG_02_40,,,Alegría-Dulantzi,%,Alegría-Dulantzi,0.5
2019,EU_SDG_02_40,,,Alegría-Dulantzi,%,Alegría-Dulantzi,1.0
2011,EU_SDG_02_40,,,Alegría-Dulantzi,%,Alegría-Dulantzi,0.2
2020,EU_SDG_02_40,,,Alkiza,%,Alkiza,0.4
2023,EU_SDG_02_40,,,Alkiza,%,Alkiza,2.6
2014,EU_SDG_02_40,,,Alkiza,%,Alkiza,0.2
2010,EU_SDG_02_40,,,Alkiza,%,Alkiza,0.2
2013,EU_SDG_02_40,,,Alkiza,%,Alkiza,0.2
2021,EU_SDG_02_40,,,Alkiza,%,Alkiza,0.4
2022,EU_SDG_02_40,,,Alkiza,%,Alkiza,3.0
2018,EU_SDG_02_40,,,Alkiza,%,Alkiza,0.2
2017,EU_SDG_02_40,,,Alkiza,%,Alkiza,0.2
2019,EU_SDG_02_40,,,Alkiza,%,Alkiza,0.2
2016,EU_SDG_02_40,,,Alkiza,%,Alkiza,0.2
2012,EU_SDG_02_40,,,Alkiza,%,Alkiza,0.2
2011,EU_SDG_02_40,,,Alkiza,%,Alkiza,0.2
2015,EU_SDG_02_40,,,Alkiza,%,Alkiza,0.2
2016,EU_SDG_02_40,,,Alonsotegi,%,Alonsotegi,0.1
2022,EU_SDG_02_40,,,Alonsotegi,%,Alonsotegi,0.2
2013,EU_SDG_02_40,,,Alonsotegi,%,Alonsotegi,0.1
2023,EU_SDG_02_40,,,Alonsotegi,%,Alonsotegi,0.2
2011,EU_SDG_02_40,,,Alonsotegi,%,Alonsotegi,0.0
2018,EU_SDG_02_40,,,Alonsotegi,%,Alonsotegi,0.1
2021,EU_SDG_02_40,,,Alonsotegi,%,Alonsotegi,0.0
2012,EU_SDG_02_40,,,Alonsotegi,%,Alonsotegi,0.5
2020,EU_SDG_02_40,,,Alonsotegi,%,Alonsotegi,0.1
2010,EU_SDG_02_40,,,Alonsotegi,%,Alonsotegi,0.0
2019,EU_SDG_02_40,,,Alonsotegi,%,Alonsotegi,0.1
2015,EU_SDG_02_40,,,Alonsotegi,%,Alonsotegi,0.1
2017,EU_SDG_02_40,,,Alonsotegi,%,Alonsotegi,0.1
2014,EU_SDG_02_40,,,Alonsotegi,%,Alonsotegi,0.7
2019,EU_SDG_02_40,,,Altzaga,%,Altzaga,6.0
