Year,Units,Value
2010,pH-a,8.08
2011,pH-a,8.08
2012,pH-a,8.08
2013,pH-a,8.08
2014,pH-a,8.07
2015,pH-a,8.08
2016,pH-a,8.07
2017,pH-a,8.07
2018,pH-a,8.07
2019,pH-a,8.07
2020,pH-a,8.07
