Year,Series,Lurralde historikoa,Units,Value
2022,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,,Erakundeak,93
2021,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,,Erakundeak,85
2023,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,,Erakundeak,99
2022,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,Araba / Álava,Erakundeak,9
2023,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,Araba / Álava,Erakundeak,9
2021,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,Araba / Álava,Erakundeak,8
2023,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,Bizkaia,Erakundeak,53
2022,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,Bizkaia,Erakundeak,48
2021,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,Bizkaia,Erakundeak,47
2022,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,Gipuzkoa,Erakundeak,36
2021,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,Gipuzkoa,Erakundeak,30
2023,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,Gipuzkoa,Erakundeak,37
2016,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,Lizentziak,40
2024,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,Lizentziak,65
2023,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,Lizentziak,61
2012,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,Lizentziak,16
2011,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,Lizentziak,15
2015,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,Lizentziak,19
2020,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,Lizentziak,55
2010,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,Lizentziak,13
2017,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,Lizentziak,43
2022,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,Lizentziak,58
2021,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,Lizentziak,57
2018,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,Lizentziak,52
2014,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,Lizentziak,19
2019,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,Lizentziak,51
2013,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,Lizentziak,18
2023,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),Araba / Álava,Lizentziak,14
2021,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),Araba / Álava,Lizentziak,14
2024,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),Araba / Álava,Lizentziak,14
2022,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),Araba / Álava,Lizentziak,14
2023,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),Bizkaia,Lizentziak,25
2022,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),Bizkaia,Lizentziak,25
2024,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),Bizkaia,Lizentziak,26
2021,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),Bizkaia,Lizentziak,26
2023,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),Gipuzkoa,Lizentziak,22
2024,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),Gipuzkoa,Lizentziak,25
2021,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),Gipuzkoa,Lizentziak,17
2022,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),Gipuzkoa,Lizentziak,19
