Year,Konpetentzia,Sexua,Units,Value
2023,Irakurmena,,%,77.6
2023,Matematika,,%,81.0
2013,Irakurmena,,%,68.1
2013,Matematika,,%,69.2
2023,Matematika,Emakumea,%,78.7
2013,Irakurmena,Emakumea,%,68.2
2013,Matematika,Emakumea,%,67.0
2023,Irakurmena,Emakumea,%,80.1
2023,Matematika,Gizona,%,83.4
2013,Matematika,Gizona,%,71.5
2023,Irakurmena,Gizona,%,74.9
2013,Irakurmena,Gizona,%,67.9
