Year,Series,Ur-masen Kategoria,Units,Value
2024,Kalitate oneko azaleko ur-masen proportzioa,Itsasertzeko urak,%,100.0
2015,Kalitate oneko azaleko ur-masen proportzioa,Trantsizio urak,%,21.4
2021,Kalitate oneko azaleko ur-masen proportzioa,Aintzira eta hezeguneak,%,22.2
2018,Kalitate oneko azaleko ur-masen proportzioa,Trantsizio urak,%,50.0
2021,Kalitate oneko azaleko ur-masen proportzioa,Urtegiak,%,100.0
2023,Kalitate oneko azaleko ur-masen proportzioa,Urtegiak,%,91.7
2022,Kalitate oneko azaleko ur-masen proportzioa,Aintzira eta hezeguneak,%,33.3
2020,Kalitate oneko azaleko ur-masen proportzioa,Urtegiak,%,91.7
2022,Kalitate oneko azaleko ur-masen proportzioa,Trantsizio urak,%,57.1
2018,Kalitate oneko azaleko ur-masen proportzioa,Aintzira eta hezeguneak,%,11.1
2016,Kalitate oneko azaleko ur-masen proportzioa,Urtegiak,%,75.0
2017,Kalitate oneko azaleko ur-masen proportzioa,Trantsizio urak,%,50.0
2017,Kalitate oneko azaleko ur-masen proportzioa,Aintzira eta hezeguneak,%,11.1
2020,Kalitate oneko azaleko ur-masen proportzioa,Trantsizio urak,%,71.4
2019,Kalitate oneko azaleko ur-masen proportzioa,Aintzira eta hezeguneak,%,11.1
2019,Kalitate oneko azaleko ur-masen proportzioa,Urtegiak,%,100.0
2017,Kalitate oneko azaleko ur-masen proportzioa,Urtegiak,%,100.0
2023,Kalitate oneko azaleko ur-masen proportzioa,Aintzira eta hezeguneak,%,33.3
2024,Kalitate oneko azaleko ur-masen proportzioa,Urtegiak,%,91.7
2019,Kalitate oneko azaleko ur-masen proportzioa,Trantsizio urak,%,50.0
2024,Kalitate oneko azaleko ur-masen proportzioa,Aintzira eta hezeguneak,%,44.4
2023,Kalitate oneko azaleko ur-masen proportzioa,Trantsizio urak,%,57.1
2021,Kalitate oneko azaleko ur-masen proportzioa,Trantsizio urak,%,42.9
2015,Kalitate oneko azaleko ur-masen proportzioa,,%,36.0
2019,Kalitate oneko azaleko ur-masen proportzioa,,%,54.8
2016,Kalitate oneko azaleko ur-masen proportzioa,Aintzira eta hezeguneak,%,22.2
2024,Kalitate oneko azaleko ur-masen proportzioa,Trantsizio urak,%,57.1
