Year,Series,Gaixotasun ez-kutsakorra,Sexua,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2021,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,100.000 biztanleko,,622.4
2016,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,100.000 biztanleko,,641.2
2015,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,,,,100.000 biztanleko,,651.4
2012,Heriotza-tasa,Minbizia,,,,,100.000 biztanleko,,272.4
2021,Heriotza-tasa,Gaixotasun kardiobaskularrak,,,,,100.000 biztanleko,,270.2
2015,Heriotza-tasa,Gaixotasun kardiobaskularrak,,,,,100.000 biztanleko,,266.4
2022,Heriotza-tasa,Gaixotasun kardiobaskularrak,,,,,100.000 biztanleko,,263.1
2023,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,100.000 biztanleko,,59.1
2017,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,100.000 biztanleko,,82.8
2022,Heriotza-tasa,Arnas gaixotasun kronikoak,,,,,100.000 biztanleko,,58.3
2011,Heriotza-tasa,Minbizia,,,,,100.000 biztanleko,,279.1
2016,Heriotza-tasa,Minbizia,,,,,100.000 biztanleko,,281.6
2010,Heriotza-tasa,Minbizia,,,,,100.000 biztanleko,,267.5
2012,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,100.000 biztanleko,Araba / Álava,524.5
2014,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,57.6
2022,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,218.9
2017,Heriotza-tasa,Diabetesa,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,16.9
2010,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,216.1
2023,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,232.4
2011,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,100.000 biztanleko,Araba / Álava,539.2
2020,Heriotza-tasa,Diabetesa,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,19.4
2019,Heriotza-tasa,Minbizia,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,250.4
2020,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,57.8
2016,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,218.3
2019,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,204.2
2014,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,100.000 biztanleko,Araba / Álava,496.1
2012,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,66.0
2013,Heriotza-tasa,Diabetesa,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,21.2
2016,Heriotza-tasa,Diabetesa,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,17.3
2016,Heriotza-tasa,Minbizia,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,250.5
2018,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,100.000 biztanleko,Araba / Álava,538.3
2010,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,100.000 biztanleko,Araba / Álava,521.0
2020,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,190.5
2013,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,206.2
2018,Heriotza-tasa,Diabetesa,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,17.1
2023,Heriotza-tasa,Minbizia,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,241.4
2010,Heriotza-tasa,Minbizia,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,224.0
2021,Heriotza-tasa,Minbizia,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,250.6
2014,Heriotza-tasa,Minbizia,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,234.3
2021,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,45.1
2017,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,100.000 biztanleko,Araba / Álava,567.5
2015,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,220.1
2022,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,56.0
2023,Heriotza-tasa,Diabetesa,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,19.5
