Year,Series,Gaixotasun ez-kutsakorra,Sexua,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2016,Heriotza-tasa,Minbizia,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,260.3
2015,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,244.0
2016,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,75.0
2017,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,16.7
2016,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,249.8
2014,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,73.5
2013,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,65.2
2012,Heriotza-tasa,Minbizia,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,263.6
2019,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,248.3
2021,Heriotza-tasa,Minbizia,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,264.4
2019,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,19.5
2013,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,25.3
2015,Heriotza-tasa,Minbizia,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,274.1
2013,Heriotza-tasa,Minbizia,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,260.5
2022,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,24.1
2022,Heriotza-tasa,Minbizia,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,269.7
2022,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,54.6
2023,Heriotza-tasa,Minbizia,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,278.5
2014,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,19.9
2023,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,58.7
2016,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,18.4
2017,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,79.3
2022,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,613.0
2010,Heriotza-tasa,Minbizia,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,254.3
2012,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,608.3
2011,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,249.5
2014,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,230.9
2012,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,22.8
2012,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,251.4
2018,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,253.9
2023,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,264.8
2017,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,253.9
2019,Heriotza-tasa,Minbizia,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,257.9
2021,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,284.9
2015,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,75.2
2021,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,18.3
2021,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,621.2
2010,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,26.1
2020,Heriotza-tasa,Minbizia,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,266.1
2013,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,595.4
2014,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,599.2
2023,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,627.4
2021,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,53.6
2010,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,250.3
2017,Heriotza-tasa,Minbizia,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,274.4
2019,Heriotza-tasa,Arnas gaixotasun kronikoak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,71.9
2022,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,264.6
2015,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,20.3
2013,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,244.4
2020,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,592.1
2020,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,21.7
2011,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,605.6
2023,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,25.4
2015,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,613.5
2011,Heriotza-tasa,Diabetesa,,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,22.0
2016,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,603.6
2016,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,100.000 biztanleko,,269.1
2011,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,100.000 biztanleko,,553.0
2019,Heriotza-tasa,Diabetesa,Emakumea,,,,100.000 biztanleko,,22.8
2017,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,100.000 biztanleko,,271.6
2012,Heriotza-tasa,Minbizia,Emakumea,,,,100.000 biztanleko,,193.8
2014,Heriotza-tasa,Minbizia,Emakumea,,,,100.000 biztanleko,,216.6
2015,Heriotza-tasa,Minbizia,Emakumea,,,,100.000 biztanleko,,218.4
2016,Heriotza-tasa,Diabetesa,Emakumea,,,,100.000 biztanleko,,20.2
2018,Heriotza-tasa,Minbizia,Emakumea,,,,100.000 biztanleko,,213.6
2021,Heriotza-tasa,Minbizia,Emakumea,,,,100.000 biztanleko,,220.5
2017,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,100.000 biztanleko,,581.7
2022,Heriotza-tasa,Minbizia,Emakumea,,,,100.000 biztanleko,,228.0
2010,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,100.000 biztanleko,,262.6
2011,Heriotza-tasa,Diabetesa,Emakumea,,,,100.000 biztanleko,,24.5
2019,Hilkortasun goiztiarraren tasa (30-70 urte),"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,%,,6.5
2020,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,100.000 biztanleko,,550.5
2010,Heriotza-tasa,Minbizia,Emakumea,,,,100.000 biztanleko,,195.2
2014,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,100.000 biztanleko,,556.0
2020,Heriotza-tasa,Diabetesa,Emakumea,,,,100.000 biztanleko,,23.2
2020,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,100.000 biztanleko,,267.0
2012,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,100.000 biztanleko,,275.6
2013,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,100.000 biztanleko,,538.5
2021,Heriotza-tasa,Diabetesa,Emakumea,,,,100.000 biztanleko,,23.1
2015,Hilkortasun goiztiarraren tasa (30-70 urte),"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,%,,6.6
2013,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,100.000 biztanleko,,252.4
2014,Heriotza-tasa,Diabetesa,Emakumea,,,,100.000 biztanleko,,22.4
2019,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,100.000 biztanleko,,567.0
2022,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,100.000 biztanleko,,272.8
2019,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,100.000 biztanleko,,260.7
2014,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,100.000 biztanleko,,60.0
2013,Heriotza-tasa,Minbizia,Emakumea,,,,100.000 biztanleko,,199.0
2012,Heriotza-tasa,Diabetesa,Emakumea,,,,100.000 biztanleko,,24.3
2016,Heriotza-tasa,Minbizia,Emakumea,,,,100.000 biztanleko,,215.0
2022,Heriotza-tasa,Diabetesa,Emakumea,,,,100.000 biztanleko,,22.8
2023,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,100.000 biztanleko,,262.0
2020,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,100.000 biztanleko,,49.8
2011,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,100.000 biztanleko,,53.7
2017,Heriotza-tasa,Diabetesa,Emakumea,,,,100.000 biztanleko,,18.5
2022,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,100.000 biztanleko,,573.5
2021,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,100.000 biztanleko,,566.5
2010,Hilkortasun goiztiarraren tasa (30-70 urte),"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,%,,6.7
2012,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,100.000 biztanleko,,60.5
2016,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,100.000 biztanleko,,572.1
2018,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,100.000 biztanleko,,580.4
2015,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,100.000 biztanleko,,275.9
2017,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,100.000 biztanleko,,76.2
2020,Heriotza-tasa,Minbizia,Emakumea,,,,100.000 biztanleko,,210.6
2010,Heriotza-tasa,Diabetesa,Emakumea,,,,100.000 biztanleko,,26.6
2023,Heriotza-tasa,Minbizia,Emakumea,,,,100.000 biztanleko,,213.6
2014,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,100.000 biztanleko,,257.0
2012,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,100.000 biztanleko,,554.2
2013,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,100.000 biztanleko,,60.1
2017,Heriotza-tasa,Minbizia,Emakumea,,,,100.000 biztanleko,,215.4
2015,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,100.000 biztanleko,,68.2
2019,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,100.000 biztanleko,,68.1
2023,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,100.000 biztanleko,,51.7
2011,Heriotza-tasa,Minbizia,Emakumea,,,,100.000 biztanleko,,209.7
2018,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,100.000 biztanleko,,269.6
2010,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,100.000 biztanleko,,52.5
2015,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,100.000 biztanleko,,586.7
2013,Heriotza-tasa,Diabetesa,Emakumea,,,,100.000 biztanleko,,27.0
2023,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,100.000 biztanleko,,550.8
2021,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,100.000 biztanleko,,43.8
2015,Heriotza-tasa,Diabetesa,Emakumea,,,,100.000 biztanleko,,24.2
2018,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,100.000 biztanleko,,75.0
2022,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,100.000 biztanleko,,50.0
2023,Heriotza-tasa,Diabetesa,Emakumea,,,,100.000 biztanleko,,23.5
2018,Heriotza-tasa,Diabetesa,Emakumea,,,,100.000 biztanleko,,22.2
2021,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,100.000 biztanleko,,279.1
2010,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,,,,100.000 biztanleko,,536.9
2011,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,,,,100.000 biztanleko,,265.1
2016,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,,,,100.000 biztanleko,,67.9
2019,Heriotza-tasa,Minbizia,Emakumea,,,,100.000 biztanleko,,215.3
2013,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,214.9
2018,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,62.1
2011,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,42.3
2016,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,58.7
2010,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,453.1
2019,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,64.0
2014,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,14.8
2020,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,48.8
2012,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,454.1
2016,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,468.7
2021,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,37.5
2019,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,14.9
2013,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,57.6
2014,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,48.1
2017,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,61.3
2021,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,202.8
2017,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,500.8
2023,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,38.2
2022,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,17.7
2012,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,19.2
2016,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,18.9
2013,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,19.8
2010,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,28.2
2022,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,208.2
2011,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,453.0
2023,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,247.0
2022,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,224.8
2020,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,180.4
2021,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,201.6
2020,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,19.1
2018,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,20.5
2015,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,526.7
2021,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,464.5
2017,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,20.0
2018,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,197.6
2017,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,213.1
2018,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,448.8
2015,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,22.1
2020,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,426.3
2016,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,213.9
2013,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,470.1
2015,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,224.7
2017,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,206.4
2023,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,191.7
2014,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,196.1
2018,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,168.7
2012,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,161.7
2015,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,220.4
2011,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,207.2
2019,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,187.7
2011,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,174.2
2010,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,224.0
2014,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,178.9
2023,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,496.3
2011,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,29.2
2019,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,471.7
2020,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,178.0
2010,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,160.0
2022,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,498.7
2012,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,227.4
2013,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,177.8
2015,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,59.5
2022,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,47.9
2016,Heriotza-tasa,Minbizia,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,177.2
2019,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,205.0
2014,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,437.9
2010,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,40.8
2021,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,22.6
2012,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,45.8
2023,Heriotza-tasa,Diabetesa,Emakumea,Araba / Álava,,,100.000 biztanleko,Araba / Álava,19.4
2013,Heriotza-tasa,Diabetesa,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,28.5
2012,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,60.0
2016,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,295.8
2019,Heriotza-tasa,Diabetesa,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,26.1
2023,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,258.7
2021,Heriotza-tasa,Diabetesa,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,25.7
2023,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,53.2
2018,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,80.8
2022,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,245.7
2019,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,71.1
2021,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,591.7
2020,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,225.3
2011,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,53.3
2023,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,222.4
2016,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,234.5
2020,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,51.6
2014,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,231.8
2012,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,205.2
2015,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,220.2
2017,Heriotza-tasa,Diabetesa,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,19.1
2018,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,224.1
