Year,Units,Value
2010,PT,15.6
2011,PT,15.0
2012,PT,13.9
2013,PT,15.3
2014,PT,16.0
2015,PT,14.5
2016,PT,15.7
2017,PT,14.4
2018,PT,17.8
2019,PT,17.8
2020,PT,19.8
2021,PT,20.2
2022,PT,18.2
2023,PT,20.4
