Year,Series,Units,Value
2022,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia,Milioi eurotan,78.48
2013,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia,Milioi eurotan,40.98
2021,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia,Milioi eurotan,73.9
2017,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia,Milioi eurotan,65.96
2012,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia,Milioi eurotan,61.89
2015,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia,Milioi eurotan,49.43
2016,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia,Milioi eurotan,52.35
2018,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia,Milioi eurotan,60.66
2010,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia,Milioi eurotan,70.73
2023,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia,Milioi eurotan,80.53
2020,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia,Milioi eurotan,65.98
2011,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia,Milioi eurotan,67.21
2019,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia,Milioi eurotan,63.9
2014,Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia,Milioi eurotan,49.62
2010,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",%,0.11
2011,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",%,0.1
2013,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",%,0.06
2014,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",%,0.07
2022,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",%,0.09
2015,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",%,0.07
2016,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",%,0.07
2017,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",%,0.09
2018,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",%,0.08
2012,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",%,0.09
2019,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",%,0.08
2020,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",%,0.09
2021,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",%,0.09
2023,"Administrazio publiko autonomikoen eta tokiko administrazio publikoen garapenerako laguntza ofizial garbia, BPGrekiko proportzioan",%,0.09
