Year,Series,Units,Value
2013,GF_XPD_GBPC,%,91.22
2018,GF_XPD_GBPC,%,99.46
2017,EU_XPD_LOCALGBPC,%,106.06
2022,GF_XPD_GBPC,%,105.06
2019,GF_XPD_GBPC,%,106.56
2014,GF_XPD_GBPC,%,98.26
2017,GF_XPD_GBPC,%,97.52
2021,EU_XPD_LOCALGBPC,%,107.29
2012,GF_XPD_GBPC,%,97.69
2020,EU_XPD_LOCALGBPC,%,90.48
2021,GF_XPD_GBPC,%,101.01
2020,GF_XPD_GBPC,%,99.79
2015,GF_XPD_GBPC,%,95.46
2010,GF_XPD_GBPC,%,100.0
2022,EU_XPD_LOCALGBPC,%,103.74
2023,EU_XPD_LOCALGBPC,%,101.37
2018,EU_XPD_LOCALGBPC,%,101.54
2019,EU_XPD_LOCALGBPC,%,100.69
2016,GF_XPD_GBPC,%,94.36
2011,GF_XPD_GBPC,%,96.27
