Year,Sexua,Lurralde historikoa,Units,Value
2013,,,Minutuak,173
2018,,,Minutuak,161
2023,,,Minutuak,154
2018,,Araba / Álava,Minutuak,166
2023,,Araba / Álava,Minutuak,155
2013,,Araba / Álava,Minutuak,175
2013,,Bizkaia,Minutuak,176
2023,,Bizkaia,Minutuak,156
2018,,Bizkaia,Minutuak,160
2018,,Gipuzkoa,Minutuak,158
2023,,Gipuzkoa,Minutuak,152
2013,,Gipuzkoa,Minutuak,166
2018,Emakumea,,Minutuak,209
2013,Emakumea,,Minutuak,224
2023,Emakumea,,Minutuak,182
2023,Emakumea,Araba / Álava,Minutuak,189
2013,Emakumea,Araba / Álava,Minutuak,223
2018,Emakumea,Araba / Álava,Minutuak,217
2013,Emakumea,Bizkaia,Minutuak,229
2023,Emakumea,Bizkaia,Minutuak,181
2018,Emakumea,Bizkaia,Minutuak,208
2023,Emakumea,Gipuzkoa,Minutuak,180
2018,Emakumea,Gipuzkoa,Minutuak,206
2013,Emakumea,Gipuzkoa,Minutuak,217
2013,Gizona,,Minutuak,118
2018,Gizona,,Minutuak,109
2023,Gizona,,Minutuak,124
2023,Gizona,Araba / Álava,Minutuak,118
2013,Gizona,Araba / Álava,Minutuak,127
2018,Gizona,Araba / Álava,Minutuak,111
2013,Gizona,Bizkaia,Minutuak,118
2023,Gizona,Bizkaia,Minutuak,128
2018,Gizona,Bizkaia,Minutuak,108
2013,Gizona,Gipuzkoa,Minutuak,113
2023,Gizona,Gipuzkoa,Minutuak,121
2018,Gizona,Gipuzkoa,Minutuak,108
