Year,Series,Units,Value
2016,Materialen bertako kontsumoa termino absolutuetan,Kilotona,21507.9
2017,Materialen bertako kontsumoa termino absolutuetan,Kilotona,26656.6
2020,Materialen bertako kontsumoa termino absolutuetan,Kilotona,22965.0
2013,Materialen bertako kontsumoa termino absolutuetan,Kilotona,18163.8
2018,Materialen bertako kontsumoa termino absolutuetan,Kilotona,28476.5
2015,Materialen bertako kontsumoa termino absolutuetan,Kilotona,23794.7
2022,Materialen bertako kontsumoa termino absolutuetan,Kilotona,22897.1
2011,Materialen bertako kontsumoa termino absolutuetan,Kilotona,23308.8
2012,Materialen bertako kontsumoa termino absolutuetan,Kilotona,21098.6
2019,Materialen bertako kontsumoa termino absolutuetan,Kilotona,27538.3
2010,Materialen bertako kontsumoa termino absolutuetan,Kilotona,30845.5
2014,Materialen bertako kontsumoa termino absolutuetan,Kilotona,19620.0
2021,Materialen bertako kontsumoa termino absolutuetan,Kilotona,26738.0
2020,Materialen bertako kontsumoa per capita,Tonak per capita,10.5
2013,Materialen bertako kontsumoa per capita,Tonak per capita,8.3
2016,Materialen bertako kontsumoa per capita,Tonak per capita,9.9
2015,Materialen bertako kontsumoa per capita,Tonak per capita,11.0
2022,Materialen bertako kontsumoa per capita,Tonak per capita,10.5
2012,Materialen bertako kontsumoa per capita,Tonak per capita,9.7
2011,Materialen bertako kontsumoa per capita,Tonak per capita,10.7
2014,Materialen bertako kontsumoa per capita,Tonak per capita,9.0
2021,Materialen bertako kontsumoa per capita,Tonak per capita,12.2
2018,Materialen bertako kontsumoa per capita,Tonak per capita,13.0
2010,Materialen bertako kontsumoa per capita,Tonak per capita,14.2
2019,Materialen bertako kontsumoa per capita,Tonak per capita,12.6
2017,Materialen bertako kontsumoa per capita,Tonak per capita,12.2
2010,Materialen bertako kontsumoa BPGarekiko,Kg BPGaren euro bakoitzeko,407.5
2011,Materialen bertako kontsumoa BPGarekiko,Kg BPGaren euro bakoitzeko,307.2
2012,Materialen bertako kontsumoa BPGarekiko,Kg BPGaren euro bakoitzeko,283.9
2015,Materialen bertako kontsumoa BPGarekiko,Kg BPGaren euro bakoitzeko,311.8
2013,Materialen bertako kontsumoa BPGarekiko,Kg BPGaren euro bakoitzeko,249.1
2014,Materialen bertako kontsumoa BPGarekiko,Kg BPGaren euro bakoitzeko,264.6
2016,Materialen bertako kontsumoa BPGarekiko,Kg BPGaren euro bakoitzeko,272.9
2017,Materialen bertako kontsumoa BPGarekiko,Kg BPGaren euro bakoitzeko,329.1
2018,Materialen bertako kontsumoa BPGarekiko,Kg BPGaren euro bakoitzeko,341.0
2019,Materialen bertako kontsumoa BPGarekiko,Kg BPGaren euro bakoitzeko,322.4
2020,Materialen bertako kontsumoa BPGarekiko,Kg BPGaren euro bakoitzeko,296.9
2021,Materialen bertako kontsumoa BPGarekiko,Kg BPGaren euro bakoitzeko,325.9
2022,Materialen bertako kontsumoa BPGarekiko,Kg BPGaren euro bakoitzeko,264.1
