Year,Value,Units,Series
2009,33.2,%,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia"
2009,54.5,%,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas
2016,51.7,%,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas
2020,30.6,%,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia"
2023,43.2,%,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas
2016,38.2,%,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia"
2023,32.9,%,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia"
2020,47.9,%,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas
2013,57.5,%,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas
2013,37.4,%,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia"
