Year,Value,Units
2023,1.8,Por 1.000 nacidos vivos
2017,1.4,Por 1.000 nacidos vivos
2020,1.8,Por 1.000 nacidos vivos
2024,1.2,Por 1.000 nacidos vivos
2019,2.1,Por 1.000 nacidos vivos
2014,1.5,Por 1.000 nacidos vivos
2013,1.5,Por 1.000 nacidos vivos
2011,1.7,Por 1.000 nacidos vivos
2010,1.7,Por 1.000 nacidos vivos
2022,2.2,Por 1.000 nacidos vivos
2016,1.4,Por 1.000 nacidos vivos
2021,1.5,Por 1.000 nacidos vivos
2018,2.2,Por 1.000 nacidos vivos
2012,1.7,Por 1.000 nacidos vivos
2015,1.7,Por 1.000 nacidos vivos
