Year,Value,Units,Series,GeoCode
2014,1.3,Porcentaje,All,
2010,0.8,Porcentaje,All,
2021,3.5,Porcentaje,All,
2018,2.0,Porcentaje,All,
2019,2.5,Porcentaje,All,
2013,1.2,Porcentaje,All,
2012,1.1,Porcentaje,All,
2023,4.8,Porcentaje,All,
2016,1.5,Porcentaje,All,
2009,0.7,Porcentaje,All,
2011,0.9,Porcentaje,All,
2020,3.0,Porcentaje,All,
2015,1.3,Porcentaje,All,
2022,4.1,Porcentaje,All,
2017,1.9,Porcentaje,All,
2008,0.6,Porcentaje,All,
