Year,Value,Units,Series
2010,27.8,Índice,Emisiones de CO2 respecto al año 1990
2011,14.36,Índice,Emisiones de CO2 respecto al año 1990
2012,20.94,Índice,Emisiones de CO2 respecto al año 1990
2013,10.21,Índice,Emisiones de CO2 respecto al año 1990
2014,9.1,Índice,Emisiones de CO2 respecto al año 1990
2015,11.36,Índice,Emisiones de CO2 respecto al año 1990
2016,11.09,Índice,Emisiones de CO2 respecto al año 1990
2017,16.19,Índice,Emisiones de CO2 respecto al año 1990
2018,12.84,Índice,Emisiones de CO2 respecto al año 1990
2019,18.75,Índice,Emisiones de CO2 respecto al año 1990
2020,4.52,Índice,Emisiones de CO2 respecto al año 1990
2021,13.46,Índice,Emisiones de CO2 respecto al año 1990
2022,22.47,Índice,Emisiones de CO2 respecto al año 1990
