Year,Value,Units,Series
2019,31.3,Por 100.000,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes
2017,29.0,Por 100.000,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes
2016,27.2,Por 100.000,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes
2015,39.5,Por 100.000,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes
2020,29.9,Por 100.000,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes
2021,30.0,Por 100.000,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes
2023,27.8,Por 100.000,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes
2018,41.1,Por 100.000,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes
2022,37.1,Por 100.000,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes
2023,569.0,Número,Número de muertes prematuras por exposición a partículas finas
2021,607.0,Número,Número de muertes prematuras por exposición a partículas finas
2016,560.0,Número,Número de muertes prematuras por exposición a partículas finas
2020,606.0,Número,Número de muertes prematuras por exposición a partículas finas
2018,836.0,Número,Número de muertes prematuras por exposición a partículas finas
2019,636.0,Número,Número de muertes prematuras por exposición a partículas finas
2015,821.0,Número,Número de muertes prematuras por exposición a partículas finas
2017,594.0,Número,Número de muertes prematuras por exposición a partículas finas
2022,750.0,Número,Número de muertes prematuras por exposición a partículas finas
