Year,Value,Units
2008,9.1,%
2009,10.0,%
2010,11.7,%
2011,13.8,%
2012,13.3,%
2013,10.5,%
2014,10.2,%
2015,10.9,%
2016,9.0,%
2017,9.7,%
2018,8.6,%
2019,10.0,%
2020,10.0,%
2021,12.2,%
2022,12.2,%
2023,10.2,%
2024,9.4,%
