Year,Value,Units
2012,26.2,%
2014,27.2,%
2015,27.3,%
2016,27.0,%
2017,26.8,%
2018,27.1,%
2019,27.7,%
2020,27.4,%
2021,26.7,%
2022,25.7,%
2023,25.7,%
